text,triplet
Result s in Rust can be chained using and_then . So you can do this:,
"There are no dangers of using slices, as that is what Rust lifetimes handle","(slices, handled by, lifetimes)"
Compare with src/examples/client/client.rs for an example that does a little more.,
"Display is the trait that provides the method behind {} , and Debug is for {:?}","(Display, provides formatting for, {}); (Debug, provides formatting for, {:?}); (Display, contrasted with, Debug)"
"I used to do this with my local Rust builds in order to have a version of Cargo at all, although rustup now automatically uses the cargo from the most recent stable version when there isn't one available in the current toolchain, which is nice.",
} You cannot ( yet ) use impl SomeTrait as a variable type.,
A Box<i32> is an “owning pointer”. It is the sole owner of what it points to and that's why it “feels responsible” to free the i32 's memory in its drop function,"(Box, owns, i32); (Box, frees memory in, Drop::drop)"
And there you have it: a ConditionHandler<T> is Sync if T is Sync but will never be Send (as is).,"(ConditionHandler<T>, is Sync if, T is Sync)"
Note: a Constraint is introduced by a requires clause and specifies either ad-hoc requirements or requirements based on Concepts.,
"For example, Vec<T> , &Vec<T> and &mut Vec<T> are three separate types that implement IntoIterator , and you'll notice that they all map to different iterators","(Vec<T>, implements, IntoIterator); (&Vec<T>, implements, IntoIterator); (&mut Vec<T>, implements, IntoIterator)"
The nice way would be creating a WASM library and passing it to the linker. rustc has an option for that (and there seem to be source-code directives too):,"(WASM, works with, rustc)"
"When impl Trait isn't available for use, closures make things more complicated",
"Note that while enumerate() is defined in Iterator trait directly, it can be a standalone function as well:","(enumerate, defined in, Iterator)"
This last-moment change reflects that From and Into are basically equivalent,"(From, equivalent to, Into)"
".collect() is generic in what collection it produces, and it can produce the String for you!","(.collect(), can produce, String)"
"In Rust there are proper pointers to functions, that work just like those in C. Their type is for example fn(i32) -> i32 . The Fn(i32) -> i32 , FnMut(i32) -> i32 and FnOnce(i32) -> i32 are actually traits",
"You can compare &'a T and &'b U and see whether they obey a subtyping relationship, but you cannot establish a subtyping relationship with two lifetimes in the abstract because:","(&a T, compared to, &b U)"
The section on structs on the Rust book has more info on newtypes.,"(structs, related to, Rust)"
"For example, syn's documentation starts with an example of a custom derive . You will parse the struct (or enum or union) and then handle the various ways of defining a struct (unit, tuple, named fields). You'll collect the information you need (type, maybe name), then you'll generate the appropriate code.",
"This situation will be improved with RFC 48 , but it's not the full story (it's not really any of the story). The relevant section is Coherence , and it certainly doesn't mention the operator overloading case specifically, and essentially says it is still illegal:",
"for reasons I don't understand, f32 and f64 do not implement Ord.","(f32, does not implement, Ord), (f64, does not implement, Ord), (f32, similar to, f64)"
"In the future, there might not be any AST past type-checking, so the metadata would encode an IR of sorts – one possibility is CFG, i.e. ""control flow graph"", which is already used internally in a couple places.",
"Speaking of ""someone smarter than me"", Veedrac points out that it's probably more efficient to convert the iterator back into a slice after the first capital codepoints are accessed","(iterator, convert into, slice)"
"A clone() on an Arc<T> won't clone the T , but merely create another owned handle ; which in turn is just a pointer that behaves as if it owns the underlying object.","(clone(), creates owned handle for, Arc<T>)"
You can do that fairly easily with the char_indices() iterator (alternatively you could use chars() with char::len_utf8() ):,"(chars(), works with, char::len_utf8())"
"Java interfaces can have generics (type parameters), SomeInterface<T> , but an object can implement an interface only once.",
There's a base Docker container that installs Rustup and copies in a Cargo.toml with all of the crates available for the playground,"(base Docker container, copies in, Cargo.toml)"
The book The Rust Programming Language has a chapter on traits and a chapter on trait objects that explain these two use cases.,"(traits, related to, trait objects)"
This Proc Macro Answer and Declarative Macro Answer should give you insight as well,
You can provide default values for your struct by implementing the Default trait,
"The foundation for ""creating a readable string representation of something"" is in the fmt module . Probably the most important trait in this module is Display . Display is an abstraction over types that can be formatted as a user-facing string (pretty much exactly what you want). Usually the Display trait is used by println!() and friends","(Display, is trait in, fmt); (Display, used by, println!)"
Note that all of the above is effectively true for Index and IndexMut as well.,"(Index, similar to, IndexMut)"
"As of Rust 1.0, either slice::to_vec or to_owned() method from the ToOwned trait can be used to create Vec<T> from &[T] .","(slice::to_vec, creates, Vec); (ToOwned::to_owned, creates, Vec)"
"The compiler is agnostic to the exact content of the prelude, therefore if one was to replace the std crate with their own (for example, in embedded development) then one would decide what goes into their std::prelude::v1 module.","(std, contains module, std::prelude); (std::prelude, contains module, std::prelude::v1)"
"As others have said, you probably want layout to be a String . A String is similar to &str , but it owns the underlying str . That means when you move the String , the underlying str moves with it","(String, similar to, &str), (String, owns, str)"
"In order to use it, you'll need to add chrono to your dependencies, and change the diesel line in Cargo.toml to include the chrono feature, so it'll look something like diesel = { version = ""0.7.0"", features = [""postgres"", ""chrono""] }","(diesel, altered in, Cargo.toml), (Cargo.toml, includes, chrono)"
"The one thing that Rust could not do for a while was higher-order typed traits , such as the infamous Functor and Monad typeclasses.",
"String is the dynamic heap string type, like Vec : use it when you need to own or modify your string data.","(String, similar to, Vec)"
"But there is something else: the ToString trait . This trait talks about types that can be converted to a String . And now, there is a magic implementation:","(ToString, convert into, String), (ToString, realized by, String)"
The reason is that I've followed the Package Layout and the cargo knows where to look for things.,
"Change Option<String> to Option<&str> before matching on it: Some(a).as_deref() . The as_deref() is a combo of as_ref() that makes Option<&String> (preventing move), and deref() / as_str() then unambiguously references it as a &str .","(deref(), works with, as_str())"
"I assume you are already aware of the issues with naively sending bytes around (like potential endianness issues or versioning), but I'll mention them just in case ^_^.",
"However, in your case, MyStruct cannot be made into an object because receive is a static method","(MyStruct, contains, receive)"
"However, the size of a usize is always guaranteed to be 8 bits or greater and a u8 to usize From conversion will always exist.","(u8, can be converted to, usize)"
"This solution works fine if you don't need to mutate the tree as you navigate it and you can keep the parent NavigableNode objects around (which works fine for a recursive algorithm, but doesn't work too well if you want to store a NavigableNode in some other data structure and keep it around). The second restriction can be alleviated by using something other than a borrowed pointer to store the parent; if you want maximum genericity, you can use the Borrow trait to allow direct values, borrowed pointers, Box es, Rc 's, etc.","(NavigableNode, can use, Borrow)"
One would likely then see Arc<Wrapped> (or some other pointer that allows sharing).,
"However, slices are different: a slice is an immutable, borrowed pointer to its data; immutable, borrowed pointers can be copied freely.  This means that the IntoIterator for immutable slices just borrows the data and doesn't consume it (not that it could ).  Or, to look at it another way, its IntoIterator implementation is simply taking a copy of the slice, whereas you can't copy a Vec .","(&[T], implements, IntoIterator); (Vec<T>, does not implement, Copy)"
"If you write println!(""{}"", &x) , you are then dealing with two levels of references; this has the same result because there is an implementation of std::fmt::Display for &T where T implements Display (shown as impl<'a, T> Display for &'a T where T: Display + ?Sized ) which just passes it through","(std::fmt::Display, has implementation for, &T where T: Display)"
"Instead, you can just #[path = ""b.rs""] mod b; in a.rs without renaming sources.",
"If you are certain that your strings contain ASCII characters only, you can use the as_bytes() method on &str which returns a byte slice, and then index into this slice:","(str::as_bytes, returns, &[u8])"
"You can also place the custom conversion logic from above into a From or TryFrom implementation, then instruct Serde to make use of that via the from or try_from attributes:",
"The major (and most common, in the rest of Rust) one is the shared reference &T . This normally doesn't work with std::thread::spawn 'd threads, because it generally points to data controlled by some other thread, and is hence usually not 'static (particularly so when it is a &Mutex<T> ). However, one can use a scoped thread to create a thread that can share data with its parent","(&T, is a type of, shared reference); (std::thread::spawn, works with, 'static); (&Mutex<T>, is a type of, &T); (scoped thread, can share data with, parent thread)"
"Notably, everything considers the ""receiver type"" of the method, not the Self type of the trait, i.e. impl ... for Foo { fn method(&self) {} } thinks about &Foo when matching the method, and fn method2(&mut self) would think about &mut Foo when matching.",
"As of Rust 1.32, you can also use the from_le_bytes / from_be_bytes / from_ne_bytes inherent methods on integers:","(from_le_bytes(), similar to, from_be_bytes())"
At this point I just added lld to llvm and succeeded with linking a test code manually from bitcode files:,
P.S. Might be interesting to see how stream reading is implemented in crossterm,
"A Box<T> is a pointer, i.e. it has a fixed size, so (u8, Option<Box<Recursive>>) is 1 + 8 bytes. (One way to regard Box<T> is that it's a normal T with the guarantee that it has a fixed size.)","(Box<T>, contains, T)"
"This means that going from Vec<u8> to CString is neither error-free nor allocation-free - the CString constructor both checks for zeros inside the data you provide, returning an error if it finds some, and appends a zero byte to the end of the byte vector which may require its reallocation.","(Vec, converted to, CString)"
ease of use: the values within an enum can only be accessed (directly) through matching; contrast with the ease of use of accessing a struct field,
"Does this help? I didn't actually compile this, so the syntax might be slightly off.",
You can find more details in this RFC discussion and the linked PR and issue.,"(PR, linked to, issue)"
"For example, awesome_greeting can be called with a string literal ( ""Anna"" ) or an allocated String . total_price can be called with a reference to an array ( &[1, 2, 3] ) or an allocated Vec .","(String, similar to, Vec)"
"The above will print [9, 10, 11, 12] . Note that decode returns a heap allocated Vec<u8> , if you want to decode into an array you'd want to use the decode_to_slice function","(decode(), returns, Vec<u8>)"
"With respect to memory representation, Rust's references often are just a single pointer, while C++'s references are supposed to be alternative names of the same object (and thus have no memory representation).",
There is some confusion here caused by Rust being able to coerce a Vec into a slice in some situations but not others.,"(Vec, can be coerced into, slice)"
"I built the itermore crate which implements both of these, providing the array_chunks() and array_windows() methods under separate extension traits.","(itermore, implements, array_chunks())"
"Unions were added to the language in ( RFC 1444 ), and they are stable as of Rust 1.19.0 . They require usage of unsafe blocks.",
"An iterator over Result<T, E> can be collect() -ed directly into a Result<Vec<T>, E> ; that is, your entire function can be replaced with:","(collect, returns, Result)"
"As my also brand new llvm+clang build runs into an internal error with this target, asking me to send an error report to the developers, it might be something to test on easy or medium, like on some *nix or Mac box.","(llvm, used with, clang)"
Ignore the Err variant of Result using if let or match :,"(if let, similar to, match)"
"If you have many enums which you want to print, you can write a trivial macro to generate the above implementation of Display for each of them.",
And the resulting binary prints the right thing for ldd and runs without setting LD_LIBRARY_PATH :,
How do I convert a usize to a u32 using TryFrom?,"(usize, convert to, u32)"
"It represents values that have a fixed size known at compile time, like u8 (1 byte) or &u32 (8 bytes on a platform with 64-bit pointers) etc","(u8, example of fixed size type, &u32)"
"For anything more than ad-hoc testing I would recommend writing a handle type with a proper destructor, e.g. one interacts with std::sync::Mutex via its MutexGuard type (returned by lock ): there's no need to call unlock on the mutex itself. (The explicit handle-with-destructor approach is more flexible too: it has mutable access to the data, whereas the deferred approach may not be able to, due to Rust's strong aliasing controls.)","(std::sync::Mutex, has method, lock); (std::sync::Mutex::lock, returns, std::sync::MutexGuard)"
"Update 2015-05-16 : the code in the original question applied to an old version of Rust, but the concepts remain the same",
"The bottom line is they are meant for different things: if you don't need shared access, use Box ; otherwise, use Rc (or Arc for multi-threaded shared usage) and keep in mind you will be needing Cell or RefCell for internal mutability.","(Box, alternative to, Rc); (Box, alternative to, Arc); (Rc, used with, Cell); (Rc, used with, RefCell); (Arc, used with, Cell); (Arc, used with, RefCell)"
"We'd need to impl Eq + Hash for dyn KeyPair , but Eq and Hash are both not object safe . We add the a() and b() methods to help implementing them manually.",
"An alternative is to store the map as HashMap<(Cow<A>, Cow<B>), f64> . Using this requires less ""clever code"", but there is now a memory cost to store the owned/borrowed flag as well as runtime cost in both get() and set() .","(HashMap, uses as key type, Cow)"
"Now switch something to be called before eat . Because something only takes a reference , g still has ownership and you can continue on. eat on the other hand moves g and you no longer can use g .",
"Since String implements the Drop trait, your struct can not implement the Copy trait.","(String, implements, Drop)"
"Each example spawns a number of threads and mutates a local vector in place with no locking, no Arc , and no cloning",
"String instead of &str , Vec<T> instead of &[T] , T instead of &T , etc.","(String, replaces, &str); (Vec<T>, replaces, &[T]); (T, replaces, &T)"
"If the struct is intended to hold any value but you want to offer extra behaviour when the trait is implemented, then no, the bound shouldn't be on the struct e.g.",
"It's also implemented on the owned types ( String and Vec<T> ), and in that case clone() will return another owned value.","(String, implements, Clone); (Vec, implements, Clone)"
Move your #[macro_use] extern crate glium; statement to the top of your lib.rs and/or main.rs file as needed.,"(#[macro_use], associated with, glium), (#[macro_use], associated with, lib.rs), (#[macro_use], associated with, main.rs), (extern crate, associated with, glium), (extern crate, associated with, lib.rs), (extern crate, associated with, main.rs), (glium, associated with, lib.rs), (glium, associated with, main.rs), (lib.rs, associated with, main.rs)"
"These restrictions follow directly from the type of self and the ""desugaring"" of closures into structs; described in my blog post Finding Closure in Rust .",
"You are attempting to slice a &str (but the same would happen for a String , &[T] , Vec<T> , etc.), but have not taken a reference to the result","(&str, similar to, String); (&str, similar to, &[T]); (&str, similar to, Vec<T>); (String, similar to, &str); (&[T], similar to, &str); (Vec<T>, similar to, &str)"
"You need a Arc<AtomicBool> for proper shared ownership, and this is done by changing Test :",
LLVM uses i8 (one byte) to represent i1 in memory for all the platforms supported by Rust for now,
"However, today rustc does not optimize anything: all optimizations are delegated to LLVM, and it seems you have hit a limitation of the LLVM optimizer here (it's unclear whether this limitation is due to LLVM being close to C's semantics or is just an omission).","(rustc, delegates optimizations to, LLVM)"
Rustup will install the MinGW linker and platform libraries automatically (as part of the rust-mingw component) and refuses to let you remove them,
This one consumes the Vec and its iterator yields values ( T directly):,"(Vec, has, iterator)"
"At the root of your project, create a .cargo/config.toml file with the following content:","(.cargo, possesses, config.toml)"
Currently there is no way for Serde to provide Serialize and Deserialize impls that work for every array size,"(Serde, cannot provide, Serialize)"
"That is, it returns an Option , which is an enum defined like",
"As pointed out by mdh.heydari, cppreference.com has much better documentation of orderings than Rust (C++ has an almost identical API).","(mdh.heydari, points out that, cppreference.com has better documentation)"
"That's how you can get away with just saying usize::BITS . The core crate is an implementation detail of the façade that is the std crate , so you can just substitute std for core in normal code.","(std, is facade for, core); (usize::BITS, is constant in, usize)"
"This will give you a unused result which must be used warning though, as printing to IO can fail (this is not something we usually think about when printing!). We can see that the existing methods simply panic in this case, so we can update our code to do the same:",
"A pointer to a function always implements all three of these, but Rust also has closures, that may or may not be converted to pointers (depending on whether the capture set is empty) to functions but they do implement some of these traits.",
How can I distinguish between a deserialized field that is missing and one that is null?,"(deserialize, relies on, field)"
"In previous versions, it might be a bit silly, but you could avoid creating your own iterator type by gluing some existing types together and using impl Iterator :","(Iterator, implemented by, impl Iterator)"
So I wonder if there is a way to convert an Iterator to a slice,"(Iterator, convert into, slice)"
"HashMap implements IntoIterator , so your loop is equivalent to :","(HashMap, implements, IntoIterator)"
"It's important to note that ""self-referential"" doesn't necessarily mean using a reference . Indeed, the example of a self-referential struct specifically says (emphasis mine):",
"This is because calling State::request_review will move Box<self> , which is allocated on heap, and Rust doesn't allow you to just move values away from heap unless you implement Copy , otherwise what's left there?  The book uses Option::take() to move ownership out and leave None on the place.","(State::request_review, moves, Box<Self>); (Option::take, moves ownership out, Option); (Option::take, leaves, None)"
"Yes, it is possible to move only one or some variables into a closure (rather than all or none).",
"Recall that T , &T and &mut T are all different types . In that context, your question is the same as asking ""How to avoid writing duplicate accessor functions for String and HashMap "".","(String, similar to, HashMap)"
This is because Rust defines an evaluation order for operands :,
"I don't know the exact reason, but I expect that the fact that there are multiple data structures that act maplike (such as both BTreeMap and HashMap ) would make it hard to pick one.","(BTreeMap, similar to, HashMap)"
"Another thing to note is that trait methods are polymorphic, even when they have a default implementation and they're not overridden, while inherent methods on a trait objects are monomorphic (there's only one function, no matter what's behind the trait). For example:",
"But what's the deal with the FnMut , why not just Fn ? Since closures hold captured values, Rust's usual mutation rules must apply when calling the closure","(FnMut, contrasted with, Fn)"
"This solution is similar to @Neikos's, but using owning_ref to do hold the MutexGuard and a reference to the Vec :",
"This is possible because IntoIterator is implemented differently for &Vec<T> , &mut Vec<T> and just Vec<T> .","(&Vec<T>, implements, IntoIterator); (&mut Vec<T>, implements, IntoIterator); (Vec<T>, implements, IntoIterator)"
"The best I could find is RFC 1023 , which says that a crate [...] cannot rely that Type: !Trait holds unless Type or Trait is local.",
"And, on the off-case that you actually do need a non-anonymous type, you can always construct the closure class yourself, and work with a functor rather than a lambda function.  Thus, they can make lambdas handle the 99% case, and leave you to code your own solution in the 1%.","(closure class, can be constructed to work with, functor)"
"Note: proc-macros are different from ""macro by example"" (which is declared via macro_rules! ). The latter is not as powerful as proc-macros.",
You could use a Cargo configuration file to specify a default target-triple for your project,
"Given that each closure has a distinct type, the generic Processor cannot handle proc.set_callback(|| println!(""hello"")) followed by proc.set_callback(|| println!(""world"")) .  Extending the struct to support two callbacks fields would require the whole struct to be parameterized to two types, which would quickly become unwieldy as the number of callbacks grows",
"the second one, instead, allows implementing MyTrait for Self for multiple Return","(Self, implements, MyTrait)"
"The type of self , in its full form, looks like &'b (dyn Foo + 'a) (the parentheses are required due to operator precedence). A Box<u8> owns its u8 – it doesn't borrow anything –, so you can create a &(dyn Foo + 'static) out of it","(self, related to, dyn Foo)"
"For example, the Default trait in Rust allows constructing a new instance of any implementing type by calling Default::default() or T::default() . In Java, you need to create an interface implemented by separate “factory” classes to do this (but then the factories can have their own state/data, so you might still choose to use a factory trait and types in Rust).","(Default, provides method, Default::default()); (Default, provides method, T::default())"
I also believe this addresses a few concerns about things implementing From instead of Into,"(Into, implemented instead of, From)"
"exactly the same bytes as the &str . strip_prefix(""~/"").unwrap() should never fail here,","(&str, uses, strip_prefix())"
"As VERSION is declared in main.rs , which is a crate root, you can access it using its absolute path: crate::VERSION 1 .","(main.rs, declares, VERSION)"
"It is possible to use a _ pattern for that (which is not a variable binding, it's a pattern of its own, but this is probably where the underscore prefix convention comes from), but you might want to document why you ignore the value, or what that value is",
"There are 3 function traits in Rust: Fn , FnMut and FnOnce . Going backward:","(Fn, related to, FnMut); (Fn, related to, FnOnce); (FnMut, related to, FnOnce)"
"String::from_utf8(u).unwrap() works, but prefer better error handling (see Error handling - The Result type and also Result::map .","(unwrap(), works with, Result::map)"
"in let example = Default::default(); , example can be anything which implements Default ,","(Default, has method, default)"
"the RefCell suggested by Renato Zannon, which allows seen to be borrowed as a shared & . The desugared closure code is basically the same other than changing the &mut Vec<i32> to &Vec<i32> . This change means ""reborrow"" of the &'b mut &'a RefCell<Vec<i32>> can just be a copy of the &'a ... out of the &mut . It's a literal copy, so the lifetime is retained.","(RefCell, possesses, Vec<i32>)"
".get looks for &Q as the parameter, where the key type K is Borrow<Q> . Since there's a blanket implementation that borrows &T into &T , &str (the key type) can be borrowed into &str (the argument type)","(.get, relies on, Borrow)"
"The trait FromIterator determines which elements you can collect into which kind of collection, and among the implementors you can find String twice:","(String, implements, FromIterator)"
"When Foo contains an Unsigned , implementing traits  on Unsigned doesn't affect the signature of Foo like it would to add them as bounds on Foo 's parameter (e.g","(Foo, contains, Unsigned)"
It's also common to just call the type Error and allow the consumer to prefix the type ( mycrate::Error ) or rename it on import ( use mycrate::Error as FooError ).,"(Error, can be prefixed as, mycrate::Error)"
"Note the paradigm with regards to accepting; you must initiate the accept() request yourself (in this example we're using the incoming() iterator which just calls accept() each time), and so you get real control of what tasks there are.","(incoming(), calls, accept())"
I.e. the usize was never the problem - the return type of top() was.,"(top(), has_problem_with, return type)"
"This dereferences s (which is of type &String ) to a String ""right hand side reference"", which is then dereferenced through the Deref trait to a str ""right hand side reference"" and then turned back into a &str . This is something that is very commonly seen in the compiler, and I therefor consider it idiomatic.","(String, implements, Deref); (String, dereferences to, str)"
"CString can be created from everything which can be converted to Vec<u8> . String , &str , Vec<u8> and &[u8] are valid arguments for the constructor function, CString::new() . Naturally, if you pass a byte slice or a string slice, a new allocation will be created, while Vec<u8> or String will be consumed.","(CString, can be created from, Vec<u8>)"
"The first and the last approach have the limitation that the array item must have a representation that can be evaluated at compile time - a constant, enum variant, empty Vec or String, or a primitive container (enum, tuple) composed of those",
"Also, notice that I write it all inline, placing the contents of foo/bar.rs in mod foo { mod bar { <contents> } } directly, changing this to mod foo { mod bar; } with the relevant file available should be identical.","(mod foo { mod bar; }, is_identical_to, mod foo { mod bar { <contents> } })"
"As DK. mentions , you could choose to implement Deref or DerefMut . However, I do not agree that these traits should be used in this manner",
"However , this only works for Copy -types ! If you have a type that doesn't implement Copy but does implement Clone , you could use the cloned() iterator adapter; see Chris Emerson's answer for more information.",
"In the trait method, we get the type name of the underlying type (here, u8 or u16 ), so we can conclude that the type of &self will vary from one implementer to the other (it'll be &u8 for the u8 implementer and &u16 for the u16 implementer – not a trait object). However, in the inherent method, we get the type name of dyn Foo ( + 'static ), so we can conclude that the type of &self is always &dyn Foo (a trait object).","(u8, implemented by, &self), (u16, implemented by, &self), (u8, similar to, u16), (dyn Foo, associated with, &dyn Foo)"
The general solution is to manually restrict your version of Serde in your Cargo.toml to match the rest of the dependencies:,"(Cargo.toml, restricts version of, Serde)"
You can use Vec 's extend method . extend takes a value of any type that implements IntoIterator (which includes all iterator types) and extends the Vec by all elements returned from the iterator:,"(Vec, realized by, extend), (extend, communicates with, IntoIterator)"
"If the HashMap 's value implements Default , you can use Entry::or_default , although you may need to provide some type hints:","(HashMap, has method, Entry::or_default); (Entry::or_default, requires trait, Default)"
When converting a String into a Chrono object you have to know what parts the input format of the string has,
"Note that if Cat had fields, size_of::<Cat>() would have been more than 0 , but size_of::<Box<Cat>>() and size_of::<Box<dyn Animal>>() wouldn't change at all.","(Cat, used as type parameter in, Box)"
"Your original code works if you mark main as returning a Result and then return Ok(()) in all the ""success"" cases:",
You implement Error exactly like you would any other trait ; there's nothing extremely special about it:,
"But then it's OK to use it, if you want to signal: at this point, it would be a programming bug.",
"Be reminded that String (or other containers such as Box ) are not ""nullable"" in Rust","(String, example of container like, Box)"
"There's a similar case for String and String , as &String can be dereferenced as &str .","(String, similar case to, &String)"
You may also want to implement From to go from Cat / Dog back to Animal .,"(From, converts from, Cat); (From, converts from, Dog); (From, converts to, Animal)"
"<T>::f is the syntax to explicitly call f associated with a type T . Usually just T::f is enough, but pedantically, :: requires a path , which is why it is used here since [_] is not",
"public void someMethod(??? value) {}  // Can't implement, must be one method",
"Serde provides implementations of Serialize and Deserialize for Arc<T> and Rc<T> , but only if the rc feature is enabled.","(Serde, provides implementations of, Serialize)"
"In Java, a class cannot conditionally implement an interface, which is problematic for any recursive property: for example, list instanceof Serializable might be true while the list will fail to serialize because one or more of its elements is not serializable.",
"When this mutability extends across multiple threads, you will instead use Mutex , RwLock or AtomicXXX ; they provide the same functionality:","(Mutex, provides same functionality as, RwLock)"
"If you'd like to ignore failures, use Iterator::flat_map . Since Result (and Option ) implement IntoIterator , this works:","(IntoIterator, implemented by, Result)"
I found an answer from Serde issue 891 : I should use DeserializeOwned instead of Deserialize .,"(DeserializeOwned, replace, Deserialize)"
"If you're not happy with all the assignments that are happening when switching to a String , you have two other options - use a Cow string or use a enum for the contained value type so that it can contain a string or a float, something like - val: Either<&str, f64> (There's a version using this at the end of this answer).","(String, replaced by, Cow)"
Another lightweight solution is to use Into::into which leverages From::from . This is also implemented efficiently .,
"I found the best practice from the excellent project ripgrep , which splits itself into several crates . For the binary crate in the root, they track Cargo.lock, but for library crates that provide functionality for the application (for example, pcre2 ), they don't.","(ripgrep, tracks, Cargo.lock), (ripgrep, provides functionality for, pcre2), (crates, related to, Cargo.lock), (crates, related to, pcre2)"
"If you think this feature should be in Rust's standard library, you can submit an RFC (be sure to read the README first!).",
"Arrays in Rust are fixed-length.  If you want a dynamically-sized array, use Vec .  In this case, the simplest way is with the vec! macro:",
"TL;DR: One can instead use &str , &[T] or &T to allow for more generic code.","(&str, alternative to, &[T])"
"In this case, since Processor needs to own the callback object, we cannot use borrowing, but must store the callback in a heap-allocated Box<dyn Trait> (the Rust equivalent of std::unique_ptr ), which is functionally equivalent to a trait object.",
"For example, you can turn *const i64 into *const i8 and then convert it into an appropriate byte slice &[u8] . However, this is easy to get wrong, unsafe and platform-dependent due to endiannness, so it should be used only as a last resort:","(*const i64, can be converted into, *const i8); (*const i8, can be converted into, &[u8])"
Accepting a &str allows a string literal (saved in the program data) and accepting a &[T] or &T allows a stack-allocated array or variable,"(&str, similar to, &[T])"
"Rust arrays have a fixed length, known at compile time, so I assume you really mean ""vector"". I would write it like this:","(array, should be replaced by, vector)"
