text,triples
"The Java Comparable interface,java.lang.Comparable, represents an object which can be compared to other objects.","(""Java Comparable"", ""The Java Comparable class is part of the java.lang.Comparable package."", ""java.lang.Comparable"")"
Several of the built-in classes in Java implements the Java Comparable interface.,"(""Java"", ""Java implements the Comparable interface, indicating a relationship between these two classes."", ""Comparable"")"
"You can also implement the Java Comparable interface yourself, to make your own classes comparable.","(""Java Comparable"", ""The Java Comparable is an interface that can be implemented."", ""interface""); (""interface"", ""The interface can be implemented by classes to make them comparable."", ""classes"")"
"When a class implements the Java Comparable interface, this means that instances (objects) of that class can be compared to each other, as mentioned above.","(""Java Comparable"", ""The class implements the Java Comparable interface, allowing instances of the class to be compared to each other."", ""Java Comparable"")"
Please keep in mind that the Comparable interface is intended for comparison of objects of the same class.,"(""Comparable"", ""The Comparable interface is a type of class used for comparison purposes."", ""interface""); (""Comparable"", ""The Comparable interface is used for comparison of objects within the same class."", ""class"")"
In the following section I will explain how the compareTo() method works.,"(""CompareTo"", ""Method"")"
The Java Comparable compareTo() method takes a single object as parameter and returns an int value.,"(""Comparable"", ""The compareTo method is a member of the Comparable class."", ""compareTo"")"
"The int returned signal whether the object the compareTo() method is called on is larger than, equal to or smaller than the parameter object.","(""CompareTo"", ""The CompareTo method returns an int to signal the comparison result."", ""Int""); (""CompareTo"", ""The CompareTo method is called on an object to compare it with the parameter object."", ""Object""); (""CompareTo"", ""The CompareTo method compares the object it is called on with the parameter object."", ""Parameter Object"")"
"The Java Integer class implements the Comparable interface, so you can call compareTo() Here is an example:","(""Integer"", ""The compareTo method is associated with the Integer class as it is a method that can be called on Integer objects."", ""compareTo"")"
Since the value 45 is smaller than 99 - the first comparison ( valA.compareTo(valB) = 45.compareTo(99) ) results in the value -1 being returned.,"(""VALA"", ""VALA is using the COMPARETO method to compare its value with another entity."", ""COMPARETO""); (""VALB"", ""VALB is being compared using the COMPARETO method."", ""COMPARETO""); (""VALA"", ""VALA and VALB are being compared to each other using the COMPARETO method."", ""VALB"")"
"In the second comparison, when 99 is compared to 45 ( valB.compareTo(valA) = 99.compareTo(45) ) the result is 1 - because 99 is larger than 45.","(""compareTo"", ""The method compareTo is used to compare the value 99."", ""99""); (""compareTo"", ""The method compareTo is used to compare the value 45."", ""45"")"
Here is an example of a Spaceship class which can compare itself to other Spaceship instances:,"(""Spaceship"", ""The Spaceship class can compare itself to other instances of the same class, indicating a relationship between the class and its instances."", ""Spaceship"")"
This way you can implement compareTo() to compare base on multiple factors.,"(""compareTo"", ""method"")"
"By specifying a type parameter when implementing the Comparable interface, the compareTo() method parameter changes from Object to whatever type you have specified.","(""Comparable"", ""The compareTo method is part of the Comparable interface, as it is used to define the natural ordering of objects that implement this interface."", ""compareTo"")"
"Notice how there is no type parameter specified after the ""implements Comparable"" interface in the class declaration.","(""class"", ""The class implements the Comparable interface, indicating a relationship where the class uses the interface for comparison functionality."", ""Comparable"")"
"Notice also, how the parameter type of the compareTo() object is no longer Spaceship, but Object.","(""compareTo"", ""The compareTo method originally had a parameter of type Spaceship."", ""Spaceship""); (""compareTo"", ""The compareTo method now has a parameter of type Object."", ""Object"")"
"Finally, also notice how it is now necessary to cast the parameter of the compareTo() method to Spaceship explicitly.","(""compareTo"", ""The compareTo method is used to compare instances of the Spaceship class."", ""Spaceship"")"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","(""CompareTo"", ""The CompareTo method should throw a NullPointerException if the parameter object is null, indicating a relationship where the method uses the class."", ""NullPointerException"")"
"Similarly, the compareTo() method should throw a ClassCastException if the input parameter is not of the same class as the class of the object compareTo() is called on.","(""compareTo"", ""The compareTo method should throw a ClassCastException if the input parameter is not of the same class."", ""ClassCastException""); (""compareTo"", ""The compareTo method is called on an object of a certain class."", ""class"")"
You can just cast to the desired class (as in the example above).,"(""Class"", ""class"")"
"If the classes do not match, the Java VM will throw a ClassCastException.","(""Java VM"", ""The Java VM throws a ClassCastException when classes do not match."", ""ClassCastException"")"
"The Java Comparator interface, java.util.Comparator, represents a component that can compare two objects so they can be sorted using sorting functionality in Java.","(""Java Comparator"", ""The Java Comparator class is part of the java.util.Comparator package, which provides sorting functionality."", ""java.util.Comparator"")"
When sorting e.g a Java List you can pass a Java Comparator to the sorting method.,"(""Java List"", ""The sorting method can be applied to a Java List to sort its elements."", ""sorting""); (""Java Comparator"", ""A Java Comparator is used by the sorting method to determine the order of elements."", ""sorting"")"
"This method, the compare() method, takes two objects which the Comparator implementation is intended to compare.","(""COMPARE"", ""The COMPARE method is used by the COMPARATOR class to compare two objects."", ""COMPARATOR"")"
The compare() method returns an int which signals which of the two objects was larger.,"(""COMPARE"", ""The compare() method returns an int, indicating a relationship where the method's output is of type int."", ""INT"")"
Imagine you have the following Spaceship class that you would like to be able to compare instances of:,"(""Spaceship"", ""The text suggests comparing instances of the Spaceship class, indicating a relationship between the class and its instances."", ""Spaceship"")"
"Notice that the Spaceship class already implements the Comparable interface which compares Spaceship objects on spaceshipClass first, and then registrationNo.","(""Spaceship"", ""The Spaceship class implements the Comparable interface, indicating a relationship where Spaceship uses Comparable for comparison purposes."", ""Comparable"")"
"First, notice how the SpaceshipComparator class implements the Comparator interface with the type Spaceship specified inside the < > characters ( implements Comparator<Spaceship> ).","(""SpaceshipComparator"", ""SpaceshipComparator class implements the Comparator interface."", ""Comparator""); (""Comparator"", ""Comparator interface is implemented with the type Spaceship."", ""Spaceship"")"
"Setting the generic type of the Comparator implementation to Spaceship means that the parameter types of the compare() method can be set to Spaceship, and not Object as it would have been - if no generic type had been specified ( implements Comparator ).","(""Comparator"", ""The compare method is part of the Comparator class, as it is a method that needs to be implemented when a class implements Comparator."", ""compare""); (""Spaceship"", ""The compare method uses Spaceship as its parameter type, indicating a relationship where Spaceship is the type being compared."", ""compare""); (""Spaceship"", ""The Comparator implementation is set to use Spaceship as its generic type, indicating a relationship where Spaceship is the type being compared by the Comparator."", ""Comparator"")"
"A Java Comparator implementation is pretty much always specialized to be able to compare objects of a specific type (class), so specifying a generic type in your Comparator implementation almost always makes sense.","(""Comparator"", ""The Comparator is a class that is specialized to compare objects of a specific type, which is also referred to as a class."", ""class"")"
"Second, notice how the compare() method returns the registrationNo of the first Spaceship parameter compared to the registrationNo of the second Spaceship parameter.","(""Compare"", ""The compare method operates on Spaceship objects by comparing their registration numbers."", ""Spaceship""); (""Spaceship"", ""The compare method compares the registration numbers of two Spaceship instances."", ""Spaceship"")"
"Imagine if the registrationNo variable of the Spaceship class was an int instead, so getRegistrationNo() would return an int.","(""Spaceship"", ""The method getRegistrationNo is associated with the Spaceship class as it is likely a method that retrieves the registration number of a Spaceship."", ""getRegistrationNo"")"
"The Java Deque interface, java.util.Deque, represents a double ended queue, meaning a queue where you can add and remove elements to and from both ends of the queue.","(""Java Deque"", ""The Java Deque class is part of the java.util.Deque package, which provides the interface for a double-ended queue."", ""java.util.Deque"")"
The LinkedList class is a pretty standard Deque and Queue implementation.,"(""LinkedList"", ""The LinkedList class is a standard implementation of the Deque class."", ""Deque""); (""LinkedList"", ""The LinkedList class is a standard implementation of the Queue class."", ""Queue"")"
The Java ArrayDeque class stores its elements internally in an array.,"(""ArrayDeque"", ""The ArrayDeque class is part of the Java package."", ""Java"")"
Before you can use a Java Deque you must create an instance of one of the classes that implements the Deque interface.,"(""Java Deque"", ""Java Deque is an instance of a class that implements the Deque interface."", ""Deque"")"
You add elements to the beginning end of a Deque using the add() method.,"(""Deque"", ""The add() method is used to add elements to a Deque."", ""add"")"
"If the element cannot be inserted into the Deque, the add() method will throw an exception.","(""Deque"", ""The add method is used to insert elements into the Deque class."", ""add"")"
"This is different from the offer() method, which will return false if it cannot insert the element.","(""OFFER"", ""The text specifies that 'offer()' is a method."", ""METHOD"")"
The addLast() method also adds an element to the end (tail) of a Java Deque.,"(""AddLast"", ""The AddLast method is a function that operates on the Deque class to add an element to its end."", ""Deque"")"
This is the Deque interface's equivalent of the add() method inherited from the Queue interface.,"(""Deque"", ""The add() method is associated with the Deque class as its equivalent method."", ""add""); (""add"", ""The add() method is inherited from the Queue class."", ""Queue""); (""Deque"", ""The Deque class is related to the Queue class through inheritance."", ""Queue"")"
Here is an example of adding an element to a Java Deque instance using the addLast() method:,"(""Deque"", ""The addLast method is used to add an element to a Deque instance."", ""addLast"")"
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.","(""addLast"", ""The addLast method is a function that operates on the Deque class to insert an element."", ""Deque"")"
This is different from the offerLast() method which will return false if the element cannot be added to the Deque.,"(""OfferLast"", ""The OfferLast method is used to add elements to the Deque class."", ""Deque"")"
To add an element at the beginning (head) instead of the end of a Java Deque you call the addFirst() method instead.,"(""addFirst"", ""The addFirst method is used to add an element at the beginning of a Java Deque."", ""Java Deque"")"
"If the element cannot be added to the beginning of the Deque, the addFirst() method will throw an exception.","(""Deque"", ""The addFirst method is a function that operates on the Deque class, allowing elements to be added to the beginning of the Deque."", ""addFirst"")"
This is different from the offerFirst() method which will return false if an element cannot be inserted in the beginning of the Deque.,"(""OfferFirst"", ""The OfferFirst method is used to insert an element at the beginning of the Deque class."", ""Deque"")"
The offer() method adds an element to the end (tail) of the Deque.,"(""Offer"", ""The offer() method is used to add an element to the Deque, indicating a functional relationship between the method and the class."", ""Deque"")"
This is different from the add() method which will throw an exception is adding an element to the end of the Deque fails.,"(""Add"", ""The Add method is used to add an element to the Deque class."", ""Deque"")"
Here is an example of how to add an element to the end of a Java Deque using the offer() method:,"(""Deque"", ""The offer method is used to add an element to the end of a Deque."", ""offer"")"
"The offerLast() method adds an element to the end (tail) of the Deque, just like offer().","(""OfferLast"", ""The OfferLast method is used to add an element to the Deque class."", ""Deque""); (""Offer"", ""The Offer method is used to add an element to the Deque class."", ""Deque""); (""OfferLast"", ""The OfferLast method functions similarly to the Offer method."", ""Offer"")"
The method name offerLast() is just a bit more saying about where the element is added to the Deque.,"(""offerLast"", ""The method offerLast() is related to the class Deque as it is a method that operates on or is part of the Deque class."", ""Deque"")"
This is different from the addLast() method which will throw an exception is adding an element to the end of the Deque fails.,"(""addLast"", ""The addLast method is used to add an element to the end of the Deque class."", ""Deque"")"
Here is an example of how to add an element to the end of a Java Deque using the offerLast() method:,"(""Deque"", ""The offerLast method is used to add an element to the end of a Deque."", ""offerLast"")"
The offerFirst() method adds an element to the beginning (head) of the Deque.,"(""OfferFirst"", ""The OfferFirst method is used to add an element to the Deque class."", ""Deque"")"
This is different from the addFirst() method which will throw an exception is adding an element to the beginning of the Deque fails.,"(""ADDFIRST"", ""The addFirst method is associated with the Deque class as it is used to add an element to the beginning of a Deque."", ""DEQUE"")"
Here is an example of how to add an element to the beginning of a Java Deque using the offerFirst() method:,"(""Deque"", ""The offerFirst method is used to add an element to the beginning of a Deque."", ""offerFirst"")"
The push() method adds an element to the beginning (head) of a Java Deque method.,"(""Push"", ""The Push method is used to add an element to the Deque class."", ""Deque"")"
"If adding the element fails, for instance if the Deque is full, the push() method will throw an exception.","(""Deque"", ""The push() method is a function that operates on the Deque class."", ""push()"")"
Here is an example of adding an element to the beginning of a Java Deque using the push() method:,"(""push()"", ""The push() method is used to add an element to the beginning of a Java Deque."", ""Deque"")"
The peek() method returns the first element from the beginning (head) of a Java Deque without removing it.,"(""Peek"", ""The peek() method is a function that operates on the Deque class to return the first element without removing it."", ""Deque"")"
Here is an example of peeking at the first element of a Java Deque using the peek() method:,"(""Deque"", ""The peek method is used to access the first element of the Deque class."", ""peek"")"
The peekFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,"(""PEEKFIRST"", ""The peekFirst() method is a function that operates on a Java Deque class to return the first element without removing it."", ""DEQUE"")"
"This is similar to how peek() works, but the method name peekFirst() is a bit more saying about which end of the Deque you peek at.","(""PEEKFIRST"", ""The method peekFirst() is related to the class Deque as it operates on it to peek at one end."", ""DEQUE""); (""PEEK"", ""The method peek() is similar to the method peekFirst(), indicating a functional relationship."", ""PEEKFIRST"")"
Here is an example of peeking at the first element of a Java Deque using the peekFirst() method:,"(""Deque"", ""The peekFirst method is used to access the first element of the Deque class."", ""peekFirst"")"
To peek at the last element of a Java Deque you can use the peekLast() method.,"(""Deque"", ""The peekLast method is used to access the last element of a Deque class in Java."", ""peekLast"")"
Here is an example of peeking at the last element of a Java Deque using the peekLast() method:,"(""Deque"", ""The peekLast method is used to access the last element of the Deque class."", ""peekLast"")"
The getFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,"(""GetFirst"", ""The GetFirst method operates on the Deque class to return the first element."", ""Deque""); (""GetFirst"", ""The GetFirst method is part of the Java package."", ""Java"")"
Here is an example of peeking at the first element of a Java Deque using the getFirst() method:,"(""Deque"", ""The getFirst method is used to access the first element of a Deque."", ""getFirst"")"
To peek at the last element of a Java Deque you can use the getLast() method.,"(""Deque"", ""The getLast method is used to peek at the last element of a Deque."", ""getLast"")"
Here is an example of peeking at the last element of a Java Deque using the getLast() method:,"(""Deque"", ""The getLast method is used to peek at the last element of a Deque class in Java."", ""getLast"")"
The remove() method removes the first element of a Java Deque.,"(""Remove"", ""The remove() method is a function that operates on the Deque class to remove its first element."", ""Deque"")"
The remove() method returns the element that is removed from the Deque.,"(""Remove"", ""The remove() method operates on the Deque class to remove an element."", ""Deque"")"
Here is an example of removing the first element a Java Deque using the remove() method:,"(""remove"", ""The remove method is used to remove the first element from the Deque class."", ""Deque"")"
This is different from poll() which returns null if the Deque is empty.,"(""Poll"", ""The method Poll is associated with the class Deque as it operates on it to check if it is empty."", ""Deque"")"
The removeFirst() method also removes the first element from a Deque - the element at the head of the Deque.,"(""RemoveFirst"", ""The RemoveFirst method is related to the Deque class because it operates on a Deque to remove the first element."", ""Deque"")"
Here is an example of removing the first element of a Java Deque using the removeFirst() method:,"(""Deque"", ""The removeFirst method is used to remove the first element of a Deque class in Java."", ""removeFirst"")"
This is different from pollFirst() which returns null if the Deque is empty.,"(""pollFirst"", ""The method pollFirst is associated with the class Deque as it operates on it."", ""Deque"")"
The removeLast() method removes the last element of a Deque - meaning the element at the tail of the Deque.,"(""RemoveLast"", ""The RemoveLast method is a function that operates on the Deque class to remove the last element."", ""Deque"")"
Here is an example of removing the last element of a Java Deque using the removeLast() method:,"(""Deque"", ""The removeLast method is used to remove the last element from a Deque."", ""removeLast"")"
After running this Java example the removedElement variable will point to the String object element 2 - since that element was the last element of the Deque when removeLast() was called.,"(""removeLast"", ""The method removeLast() is called on the Deque class."", ""Deque""); (""Java"", ""The Deque class is part of the Java package."", ""Deque"")"
This is different from pollLast() which returns null if the Deque is empty.,"(""PollLast"", ""PollLast is a method that operates on the Deque class"", ""Deque"")"
The poll() method removes an element from the beginning of the Deque.,"(""Poll"", ""The Poll method is used to remove an element from the Deque class."", ""Deque"")"
This is different than remove() which throws an exception if the Deque is empty.,"(""remove"", ""The method 'remove' is associated with the class 'Deque' as it operates on it."", ""Deque"")"
Here is an example of removing the first element from a Java Deque using the poll() method:,"(""poll()"", ""The poll() method is used to remove the first element from a Deque class in Java."", ""Deque"")"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","(""PollFirst"", ""The PollFirst method operates on the Deque class by removing an element from its beginning."", ""Deque""); (""Poll"", ""The Poll method operates on the Deque class similarly to PollFirst, by removing an element."", ""Deque"")"
The method name pollFirst() is just a bit more saying about from where the method removes elements.,"(""PollFirst"", ""PollFirst is identified as a method because the text explicitly refers to it as a method."", ""method"")"
This is different than removeFirst() which throws an exception if the Deque is empty.,"(""removeFirst"", ""The method removeFirst is associated with the class Deque as it operates on it."", ""Deque"")"
Here is an example of removing the first element from a Java Deque using the pollFirst() method:,"(""Deque"", ""The pollFirst method is used to remove the first element from a Deque class in Java."", ""pollFirst"")"
The pollLast() method removes an element from the end (tail) of the Deque.,"(""PollLast"", ""The PollLast method is used to remove an element from the Deque class."", ""Deque"")"
This is different than removeLast() which throws an exception if the Deque is empty.,"(""removeLast"", ""The method removeLast is associated with the class Deque as it operates on it."", ""Deque"")"
Here is an example of removing the last element from a Java Deque using the pollLast() method:,"(""Deque"", ""The pollLast method is used to remove the last element from a Deque."", ""pollLast"")"
The pop() method removes an element from the beginning (head) of a Java Deque.,"(""Pop"", ""The Pop method is used to remove an element from the Deque class."", ""Deque"")"
"If removing the element fails, for instance if the Deque is empty, the pop() method will throw an exception.","(""Deque"", ""The pop() method is used on the Deque class to remove an element."", ""pop"")"
Here is an example of removing the first element from a Java Deque using the pop() method:,"(""Deque"", ""The pop method is used to remove the first element from a Deque."", ""pop"")"
You can use the Java Deque contains() method to check if a Deque contains a given element.,"(""Deque"", ""The contains() method is used to check if a Deque contains a given element."", ""contains()""); (""Java"", ""Deque is a class that is part of the Java package."", ""Deque"")"
"The contains() method will return true if the Deque contains the element, and false if not.","(""Contains"", ""The contains() method is used to check if the Deque contains a specific element."", ""Deque"")"
