text_id,text,retrieved_context_triplets,retrieved_examples,extracted_triplets,triplet_count,kb_size_before,kb_size_after
140,After running this Java example the removedElement variable will point to the String object element 2 - since that element was the last element of the Deque when removeLast() was called.,"(removeLast(), removes, last element of Java Deque)
(remove(), removes, first element of Java Deque)
(remove(), returns, element removed from Deque)
(java.util.Deque, represents, double ended queue)
(addLast(), adds, element to end of Deque)","[Example 1]
Text: The remove() method removes the first element of a Java Deque.
Triplets: (remove(), removes, first element of Java Deque)

[Example 2]
Text: Here is an example of removing the last element of a Java Deque using the removeLast() method:
Triplets: (removeLast(), removes, last element of Java Deque)

[Example 3]
Text: The remove() method returns the element that is removed from the Deque.
Triplets: (remove(), returns, element removed from Deque)","(removeLast(), removes, last element of Deque)",1,208,208
144,Here is an example of removing the first element from a Java Deque using the poll() method:,"(remove(), removes, first element of Java Deque)
(removeFirst(), removes, first element of Java Deque)
(remove(), returns, element removed from Deque)
(getFirst(), returns, first element from beginning of Deque)
(java.util.Deque, represents, double ended queue)","[Example 1]
Text: Here is an example of removing the first element of a Java Deque using the removeFirst() method:
Triplets: (removeFirst(), removes, first element of Java Deque)

[Example 2]
Text: Here is an example of removing the last element of a Java Deque using the removeLast() method:
Triplets: (removeLast(), removes, last element of Java Deque)

[Example 3]
Text: The remove() method removes the first element of a Java Deque.
Triplets: (remove(), removes, first element of Java Deque)","(poll(), removes, first element of Java Deque)",1,211,212
145,"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","(poll(), removes, element from beginning of Deque)
(poll(), removes, first element of Java Deque)
(peekFirst(), returns, first element from beginning of Deque)
(getFirst(), returns, first element from beginning of Deque)
(peekFirst(), used_for, peeking at first element of Deque)","[Example 1]
Text: The poll() method removes an element from the beginning of the Deque.
Triplets: (poll(), removes, element from beginning of Deque)

[Example 2]
Text: Here is an example of removing the first element from a Java Deque using the poll() method:
Triplets: (poll(), removes, first element of Java Deque)

[Example 3]
Text: This is different from pollFirst() which returns null if the Deque is empty.
Triplets: (pollFirst(), returns, null)","(pollfirst(), similar to, poll)",2,212,214
148,Here is an example of removing the first element from a Java Deque using the pollFirst() method:,"(removeFirst(), removes, first element of Java Deque)
(remove(), removes, first element of Java Deque)
(remove(), returns, element removed from Deque)
(getFirst(), returns, first element from beginning of Deque)
(removeFirst(), throws_exception, empty Deque)","[Example 1]
Text: Here is an example of removing the first element from a Java Deque using the poll() method:
Triplets: (poll(), removes, first element of Java Deque)

[Example 2]
Text: Here is an example of removing the first element of a Java Deque using the removeFirst() method:
Triplets: (removeFirst(), removes, first element of Java Deque)

[Example 3]
Text: Here is an example of removing the last element of a Java Deque using the removeLast() method:
Triplets: (removeLast(), removes, last element of Java Deque)","(pollFirst(), removes, first element of Java Deque)",1,216,217
161,"When you have specified a generic type for a Java collection, that generic type also works for the Iterator returned by the iterator() method.","(java.util.Collections, used_for, working with collections)
(java.util.Collections, contains, utility methods)
(Java Collections, has_method, unmodifiableSet())
(Collections, part_of, java.util.Collections)
(Set, part_of, Java Collections)","[Example 1]
Text: The Java Collections class, java.util.Collections, contains a long list of utility methods for working with collections in Java.
Triplets: (Collections, part_of, java.util.Collections) | (java.util.Collections, contains, utility methods) | (java.util.Collections, used_for, working with collections)

[Example 2]
Text: Here is a java code example of calling the Collections addAll() method:
Triplets: (Collections, has_method, addAll())

[Example 3]
Text: The Java Collection addAll() adds all elements found in the Collection passed as parameter to the method.
Triplets: (addAll(), adds_elements_to, Collection)","(iterator, returned, iterator)",1,229,230
168,"The ArrayList again iterates all its elements and execute ""123"".equals(element) to determine if the element is equal to the parameter object ""123"".","(ArrayList, uses_method, equals())
(ArrayList, iterates, elements)
(equals(), part_of, Java equals() method)
(equals(), compares, element)
(String.equals(), determines, equality_of_strings)","[Example 1]
Text: The ArrayList iterates all its elements and execute ""123"".equals(element) to determine if the element is equal to the parameter object ""123"".
Triplets: (ArrayList, iterates, elements) | (ArrayList, uses_method, equals()) | (equals(), compares, element) | (element, compared_to, 123)

[Example 2]
Text: I have a written a few more details about how the equals() method works in my section about the Java equals() method.
Triplets: (equals(), part_of, Java equals() method)

[Example 3]
Text: equals() is used in most collections to determine if a collection contains a given element.
Triplets: (equals(), used_in, collections) | (collection, uses_method, equals()) | (collection, checks_presence_of, element)","(arraylist, relies on, equals)",4,243,243
182,The second way you can iterate the elements of a Java Iterable is by obtaining a Java Iterator from it by calling the Iterable iterator() method.,"(Iterable, provides, Java Iterator)
(class, implements, Java Iterable interface)
(ArrayList, iterates, elements)
(Iterable, allows, object iteration)
(Java Collection classes, use, them)","[Example 1]
Text: You can iterate the objects of a Java Iterable in three ways: Via the , by obtaining a Java Iterator from the Iterable, or by calling the Java Iterable forEach() method.
Triplets: (Iterable, has_method, forEach()) | (Iterable, provides, Java Iterator) | (Iterable, allows, object iteration)

[Example 2]
Text: When you have specified a generic type for a Java collection, that generic type also works for the Iterator returned by the iterator() method.
Triplets: (Iterator, returned_by, iterator())

[Example 3]
Text: This means, that a class that implements the Java Iterable interface can have its elements iterated.
Triplets: (class, implements, Java Iterable interface) | (class, can_have, elements iterated)","(iterable, obtaining, iterator); (iterable, calling, iterator)",3,276,278
191,By calling iterator() you can obtain an iterator from the given Collection.,"(Iterator, returned_by, iterator())
(Iterable, provides, Java Iterator)
(Collection, contains_method, iterator())
(iterator(), called_on, items)
(Iterable, has_method, iterator())","[Example 1]
Text: The standard Java collection interface Collection contains a method called iterator().
Triplets: (Collection, contains_method, iterator())

[Example 2]
Text: When you have specified a generic type for a Java collection, that generic type also works for the Iterator returned by the iterator() method.
Triplets: (Iterator, returned_by, iterator())

[Example 3]
Text: You can iterate the objects of a Java Iterable in three ways: Via the , by obtaining a Java Iterator from the Iterable, or by calling the Java Iterable forEach() method.
Triplets: (Iterable, has_method, forEach()) | (Iterable, provides, Java Iterator) | (Iterable, allows, object iteration)","(Collection, provides, iterator) | (iterator(), called_on, Collection) | (iterator(), returns, Iterator)",3,288,291
200,"The Java Iterator forEachRemaining() method can iterate over all of the elements remaining in the Iterator internally, and for each element call a Java Lambda Expression passed as parameter to forEachRemaining() .","(Iterable, provides, Java Iterator)
(Iterable, provides, Java Spliterator)
(Iterable, allows, element iteration)
(iterator(), returns, Iterator)
(for-each loop, iterates, elements)","[Example 1]
Text: The second way you can iterate the elements of a Java Iterable is by obtaining a Java Iterator from it by calling the Iterable iterator() method.
Triplets: (Iterable, has_method, iterator()) | (Iterable, allows, element iteration)

[Example 2]
Text: You can iterate the objects of a Java Iterable in three ways: Via the , by obtaining a Java Iterator from the Iterable, or by calling the Java Iterable forEach() method.
Triplets: (Iterable, has_method, forEach()) | (Iterable, provides, Java Iterator) | (Iterable, allows, object iteration)

[Example 3]
Text: The standard Java collection interface Collection contains a method called iterator().
Triplets: (Collection, contains_method, iterator())","(Iterator, has_method, forEachRemaining()) | (forEachRemaining(), uses, Java Lambda Expression)",2,306,308
233,You can convert a Java List to a Java Array using the List toArray() method.,"(ArrayList, iterates, elements)
(List, uses, Java Generics)
(Iterable, provides, Java Spliterator)
(Iterable, provides, Java Iterator)
(java.util.List, represents, ordered sequence of objects)","[Example 1]
Text: The Java List interface has a method called subList() which can create a new List with a subset of the elements from the original List.
Triplets: (List, has_method, subList()) | (subList(), creates, List) | (subList(), uses_elements_from, List)

[Example 2]
Text: You can also add a collection of objects to a Java Collection using the addAll().
Triplets: (Collection, has_method, addAll())

[Example 3]
Text: You can iterate the objects of a Java Iterable in three ways: Via the , by obtaining a Java Iterator from the Iterable, or by calling the Java Iterable forEach() method.
Triplets: (Iterable, has_method, forEach()) | (Iterable, provides, Java Iterator) | (Iterable, allows, object iteration)","(list, convert, array)",3,360,363
244,"Inside the for loop the example accesses the elements in the List via its get() method, passing the incrementing variable i as parameter.","(ArrayList, iterates, elements)
(List, iterates, elements)
(List, iterated_by, for-each loop)
(List, iterated_by, standard for-loop)
(iterator(), called_on, List)","[Example 1]
Text: Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.
Triplets: (List, iterates, elements) | (for-each loop, iterates, elements) | (elements, has_method, toString()) | (toString(), called_on, elements)

[Example 2]
Text: You obtain an Iterator by calling the iterator() method of the List interface.
Triplets: (iterator(), called_on, List)

[Example 3]
Text: Inside the while loop you call the Iterator next() method of the Iterator interface to obtain the next element pointed to by the Iterator.
Triplets: (Iterator, part_of, Iterator interface)","(List, accessed_by, for loop) | (List, has_method, get()) | (get(), uses_parameter, i)",3,383,386
269,"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).","(get(), returns, String)
(get(), returns, null)
(equals(), part_of, Java equals() method)
(compareTo(), should_throw, NullPointerException)
(Java Integer class, has_method, compareTo())","[Example 1]
Text: Therefore you do not need to cast the element returned by get() to String.
Triplets: (get(), returns, element)

[Example 2]
Text: To get a specific element stored in a Java Map you call its get() method, passing along the key for that element as parameter.
Triplets: (Map, has_method, get()) | (get(), requires_parameter, key)

[Example 3]
Text: To obtain the value stored by the null key you call the get() method with null as parameter value.
Triplets: (get(), uses_parameter, null)","(get(), returns, Java Object) | (get(), requires_cast, String)",2,418,420
271,The Java Map interface has a getOrDefault() method which can return a default value supplied by you - in case no value is stored in the Map by the given key.,"(java.util.Map, represents, mapping between a key and a value)
(classes, implement, Java Map interface)
(get(), returns, Java Object)
(Map, has_method, get())
(get(), returns, null)","[Example 1]
Text: To get a specific element stored in a Java Map you call its get() method, passing along the key for that element as parameter.
Triplets: (Map, has_method, get()) | (get(), requires_parameter, key)

[Example 2]
Text: The Java Map interface, java.util.Map, represents a mapping between a key and a value.
Triplets: (java.util.Map, represents, mapping between a key and a value)

[Example 3]
Text: The Java Map interface has a method called putAll() which can copy all key + value pairs (entries) from another Map instance into itself.
Triplets: (Map, has_method, putAll()) | (putAll(), copies_entries_from, Map instance)","(map, includes, getordefault)",3,422,425
278,"In the example above, the Iterator next() method returns an Object - and so does the get() method.","(iterator.next(), returns, String)
(Iterator, has_method, next())
(iterator(), returns, Iterator)
(Iterator, returned_by, iterator())
(Iterator, has_method, forEachRemaining())","[Example 1]
Text: The next() method returns the next element of the collection the Iterator is iterating over.
Triplets: (next(), returns, element) | (Iterator, iterates_over, collection)

[Example 2]
Text: Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.
Triplets: (next(), returns, String)

[Example 3]
Text: Inside the while loop you call the Iterator next() method of the Iterator interface to obtain the next element pointed to by the Iterator.
Triplets: (Iterator, part_of, Iterator interface)","(next(), returns, Object) | (get(), returns, Object)",2,437,438
282,You can remove all entries in a Java Map using the clear() method.,"(removeLast(), removes, last element of Java Deque)
(remove(), removes, first element of Java Deque)
(java.util.Map, represents, mapping between a key and a value)
(classes, implement, Java Map interface)
(Map.Entry, contains, key)","[Example 1]
Text: The Java List interface contains a clear() method which removes all elements from the list when called.
Triplets: (List, contains_method, clear()) | (clear(), removes_all_elements_from, list)

[Example 2]
Text: The Java Collection removeAll() removes all elements found the Collection passed as parameter to the method.
Triplets: (removeAll(), removes_elements_from, Collection)

[Example 3]
Text: You can iterate all the keys of a Java Map via its keySet() method.
Triplets: (Map, has_method, keySet()) | (keySet(), iterates, keys)","(Map, has_method, clear()) | (clear(), removes_all_entries_from, Map)",2,446,448
288,The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,"(size(), used_for, reading number of entries in Java Map)
(size(), returns, number of elements in Java Deque)
(size(), used_for, obtaining number of elements in Java Deque)
(classes, implement, Java Map interface)
(java.util.Map, represents, mapping between a key and a value)","[Example 1]
Text: You can read the number of entries in a Java Map using the size() method.
Triplets: (size(), used_for, reading number of entries in Java Map)

[Example 2]
Text: The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.
Triplets: (size(), returns, number of elements in Java Deque)

[Example 3]
Text: The Java Map interface, java.util.Map, represents a mapping between a key and a value.
Triplets: (java.util.Map, represents, mapping between a key and a value)","(size(), refers_to, number of entries in Java Map)",1,456,457
298,"The Map merge() method takes a key, a value, and a lambda expression implementing the BiFunction interface as parameters.","(java.util.Map, represents, mapping between a key and a value)
(value, mapped_to, key)
(compute(), takes_parameter, value stored in Map)
(Map, stores_values_using_keys, B)
(Map, stores_values_using_keys, A)","[Example 1]
Text: The Map compute() method takes a key object and a lambda expression as parameters.
Triplets: (Map, has_method, compute()) | (compute(), takes_parameter, key) | (compute(), takes_parameter, lambda expression)

[Example 2]
Text: The Map computeIfAbsent() method works similarly to the compute() method, but the lambda expression is only called if no entry exists already for the given key.
Triplets: (Map, has_method, computeIfAbsent()) | (computeIfAbsent(), similar_to, compute()) | (computeIfAbsent(), calls, lambda expression) | (lambda expression, called_if, no entry exists for key)

[Example 3]
Text: The compute() method will call the lambda expression internally, passing the key object and whatever value is stored in the Map for that key object, as parameters to the lambda expression.
Triplets: (compute(), calls_internally, lambda expression) | (compute(), takes_parameter, key object) | (compute(), takes_parameter, value stored in Map)","(Map, has_method, merge()) | (merge(), takes_parameter, key) | (merge(), takes_parameter, value) | (merge(), takes_parameter, lambda expression) | (lambda expression, implements, BiFunction interface)",5,476,481
308,"The headMap() method returns a view of the original NavigableMap which only contains elements that are ""less than"" the given element.","(descendingMap(), returns, NavigableMap)
(NavigableMap, has_method, descendingKeySet())
(java.util.TreeMap, implements, NavigableMap)
(classes, implement, NavigableMap)
(java.util.NavigableMap, is_subinterface_of, Java SortedMap interface)","[Example 1]
Text: The descendingMap() method returns a NavigableMap which is a view of the original Map.
Triplets: (descendingMap(), returns, NavigableMap)

[Example 2]
Text: The first interesting navigation method of NavigableMap is the descendingKeySet() method.
Triplets: (NavigableMap, has_method, descendingKeySet())

[Example 3]
Text: The Java NavigableMap interface, java.util.NavigableMap, is a sub-interface of the Java SortedMap interface.
Triplets: (java.util.NavigableMap, is_subinterface_of, Java SortedMap interface)","(headMap(), returns, NavigableMap)",1,493,494
318,"Each of the methods ceilingEntry(), floorEntry(), higherEntry() and lowerEntry() will be covered in the following sections.","(Several built-in classes, implements, Java Comparable interface)
(classes, implements, Java Comparable interface)
(ceilingKey(), compares, element passed as parameter)
(sorted, uses, sorting functionality in Java)
(next(), is_method, second)","[Example 1]
Text: The second method to pay attention to is the next() method.
Triplets: (next(), is_method, second)

[Example 2]
Text: Thus, floorKey() returns the greatest key which is less than or equal to the parameter value passed to ceilingKey().
Triplets: (floorKey(), returns, greatest key) | (floorKey(), compares, parameter value)

[Example 3]
Text: The ceilingKey() method returns the least (smallest) key in this map that is greater than or equal to the element passed as parameter to the ceilingKey() method.
Triplets: (ceilingKey(), returns, least key) | (ceilingKey(), compares, element passed as parameter)","(ceilingEntry(), is_method, methods) | (floorEntry(), is_method, methods) | (higherEntry(), is_method, methods) | (lowerEntry(), is_method, methods)",4,510,514
330,"The Java NavigableSet interface, java.util.NavigableSet, is a subtype of the Java SortedSet interface.","(java.util.NavigableMap, is_subinterface_of, Java SortedMap interface)
(java.util.TreeMap, implements, NavigableMap)
(sorted, uses, sorting functionality in Java)
(classes, implements, Java Comparable interface)
(classes, implement, NavigableMap)","[Example 1]
Text: The Java NavigableMap interface, java.util.NavigableMap, is a sub-interface of the Java SortedMap interface.
Triplets: (java.util.NavigableMap, is_subinterface_of, Java SortedMap interface)

[Example 2]
Text: Several of the built-in classes in Java implements the Java Comparable interface.
Triplets: (Several built-in classes, implements, Java Comparable interface)

[Example 3]
Text: The java.util package only has one implementation of the NavigableMap interface: The java.util.TreeMap class.
Triplets: (java.util.TreeMap, implements, NavigableMap)","(java.util.navigableset, is a subtype of, java.util.sortedset)",0,547,547
368,"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.","(Java InputStream, references, file)
(getResourceAsStream(), returns, Java InputStream)
(getResourceAsStream(), requires, path)
(file, located_in, JAR file)
(JAR file, available_on, Java classpath)","[Example 1]
Text: Once I have the Class instance I can call its getResourceAsStream() method which returns a Java InputStream referencing the file.
Triplets: (Class, has_method, getResourceAsStream()) | (getResourceAsStream(), returns, Java InputStream) | (Java InputStream, references, file)

[Example 2]
Text: You can load properties from an XML property file into a Java Properties object via its loadFromXML() method.
Triplets: (Properties, has_method, loadFromXML())

[Example 3]
Text: It is possible to load properties into a Java Properties from a file that is available on the classpath.
Triplets: (Properties, loads_from, file on classpath)","(inputstream, load into, properties); (load, equivalence, loadfromxml)",3,603,604
395,Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"(poll(), removes, element from Java Queue)
(remove(), removes, element from Java Queue)
(java.util.Queue, represents, data structure)
(java.util.Deque, represents, double ended queue)
(double ended queue, allows, remove elements from both ends)","[Example 1]
Text: To take an element from a Java Queue you can call either its poll() or remove() method.
Triplets: (poll(), removes, element from Java Queue) | (remove(), removes, element from Java Queue)

[Example 2]
Text: The poll() and remove() both removes the first element in the Queue.
Triplets: (poll(), removes, first element in Queue) | (remove(), removes, first element in Queue)

[Example 3]
Text: The Java Queue interface, java.util.Queue represents a data structure designed to have elements inserted at the end of the queue, and elements removed from the beginning of the queue.
Triplets: (java.util.Queue, represents, data structure) | (data structure, allows, insert elements at end) | (data structure, allows, remove elements from beginning)","(queue, contains,poll()); (queue, contains,remove())",2,641,641
399,Here is an example of peeking at the first element of a Java Queue using the element() method:,"(java.util.Queue, represents, data structure)
(java.util.Deque, represents, double ended queue)
(remove(), removes, element from Java Queue)
(poll(), removes, element from Java Queue)
(java.util.concurrent, has_implementation, Queue)","[Example 1]
Text: Here is an example of peeking at the first element of a Java Deque using the peek() method:
Triplets: (peek(), used_for, peeking at first element of Deque)

[Example 2]
Text: Here is an example of peeking at the first element of a Java Deque using the peekFirst() method:
Triplets: (peekFirst(), used_for, peeking at first element of Deque)

[Example 3]
Text: Here is an example of peeking at the first element of a Java Deque using the getFirst() method:
Triplets: (getFirst(), used_for, peeking at first element of Deque)","(element(), used_for, peeking at first element of Queue)",1,644,645
402,"To remove elements from a Java Queue, you call the remove() method.","(remove(), removes, element from Java Queue)
(poll(), removes, element from Java Queue)
(java.util.Queue, represents, data structure)
(remove(), throws_exception, empty Queue)
(java.util.Deque, represents, double ended queue)","[Example 1]
Text: To take an element from a Java Queue you can call either its poll() or remove() method.
Triplets: (poll(), removes, element from Java Queue) | (remove(), removes, element from Java Queue)

[Example 2]
Text: The remove() method throws an exception if the Queue is empty.
Triplets: (remove(), throws_exception, empty Queue)

[Example 3]
Text: The call to poll() will remove the first element of the Queue - which is the first Java String instance added - ""element 1"".
Triplets: (poll(), removes, first element of Queue)","(remove(), removes, elements from Java Queue)",1,647,648
407,After running this code the size variable should contain the value 3 - because the Queue contains 3 elements at the time size() is called.,"(size(), used_for, reading number of elements in Java Queue)
(size(), used_for, obtaining size of Java Queue)
(java.util.Queue, represents, data structure)
(element(), throws_exception, empty Queue)
(remove(), removes, first element in Queue)","[Example 1]
Text: After running this code the size variable will contain the value 2 because the Deque contains 2 element at the time size() is called.
Triplets: (size(), returns, value 2) | (size(), used_for, obtaining number of elements in Deque)

[Example 2]
Text: Here is an example of obtaining the size of a Java Queue via its size() method:
Triplets: (size(), used_for, obtaining size of Java Queue)

[Example 3]
Text: You can read the number of elements stored in a Java Queue via its size() method.
Triplets: (size(), used_for, reading number of elements in Java Queue)","(size(), returns, value 3) | (size(), used_for, obtaining number of elements in Queue)",2,651,653
409,"The contains() method will return true if the Queue contains the given element, and false if not.","(Queue, has_method, contains())
(contains(), checks_presence_of, element)
(contains(), checks_presence_of, element in Deque)
(contains(), does_not_use, equals())
(element(), used_for, peeking at first element of Queue)","[Example 1]
Text: The contains() method will return true if the Deque contains the element, and false if not.
Triplets: (Deque, has_method, contains())

[Example 2]
Text: You can check if a Java Queue contains a certain element via its contains() method.
Triplets: (Queue, has_method, contains())

[Example 3]
Text: contains() returns true if the collection contains the element, and false if not.
Triplets: (Collection, has_method, contains()) | (contains(), checks_presence_of, element)","(Queue, has_method, contains()) | (contains(), checks_presence_of, element)",2,654,654
430,"After running this Java code the isEmpty variable will contain the value true, because the Set size() method returns 0 - because the Set in the example contains no elements.","(size(), returns, number of elements in Java Deque)
(isEmpty(), returns, false)
(equals(), part_of, Java equals() method)
(of(), is_a, Java Set static factory method)
(Java Integer class, has_method, compareTo())","[Example 1]
Text: You can check if a Java Set is empty, meaning it contains no elements, by calling the isEmpty() method on the Set.
Triplets: (Set, has_method, isEmpty())

[Example 2]
Text: You can check the size of a Java Set using the size() method.
Triplets: (Set, has_method, size())

[Example 3]
Text: This method is called isEmpty() and it returns either true or false.
Triplets: (isEmpty(), returns, true) | (isEmpty(), returns, false)","(Set, has_method, size()) | (size(), returns, 0) | (isEmpty, contains, true)",3,686,688
