text,triplet
"Adding/Getting items Java's HashMap has the put and get methods for setting/getting items myMap.put(key, value) MyObject value = myMap.get(key) C#'s Dictionary uses [] indexing for setting/getting items myDictionary[key] = value MyObject value = myDictionary[key]","(HashMap, realized by, put()), (HashMap, realized by, get()), (HashMap, similar to, Dictionary), (put(), works with, get())"
You just have to call Count() on that Grouping to get the subtotal.,"(Count(), called on, Grouping)"
Now i use VS 2013 + R# v8 and when i have any problem with my resharper i just try the following instruction and it solve my problems :,
"The number of logical processors is available through the Environment class, but the other information is only available through WMI (and you may have to install some hotfixes or service packs to get it on some systems):",
"In a VSTO 2005 application, it will be the directory containing the VSTO managed assemblies for your application, not, say, the path to the Excel executable.","(VSTO, distinct from, Excel)"
"The CLR deals with finalizable objects differently to non-finalizable objects, even if SuppressFinalize is called.",
Independent work is done on let's assume the Main Thread (Thread ID = 1) then await longRunningTask is reached,
"Having a look at the code requires the source code for the CLR. You can get that from the SSCLI20 distribution . It was written around the .NET 2.0 time frame, I've found the low-level implementations, like Math.Pow() to be still largely accurate for later versions of the CLR.","(Math, contains method, Math.Pow)"
"Assuming the e-mail address is valid, you could look for known top-level domains, check the domain for an MX record, check for spelling errors from common domain names (gmail.cmo), etc",
"How do you find the source of a NullReferenceException ? Apart from looking at the exception itself, which will be thrown exactly at the location where it occurs, the general rules of debugging in Visual Studio apply: place strategic breakpoints and inspect your variables , either by hovering the mouse over their names, opening a (Quick)Watch window or using the various debugging panels like Locals and Autos.",
"Falling through switch - case s can be achieved by having no code in a case (see case 0 ), or using the special goto case (see case 1 ) or goto default (see case 2 ) forms:","(goto case, distinct from, goto default)"
"If you're wrong about your assumption about the type, your program will fail immediately and you'll be able to see the cause of failure immediately rather than waiting for a NullReferenceException or ArgumentNullException or even a logical error sometime in the future","(NullReferenceException, distinct from, ArgumentNullException)"
"So, if our app is running, WaitOne will return false, and we'll get a",
To get it working with IEnumerable<T> you could add some wrapper methods that go via AsQueryable - but the code below is the core Expression logic needed.,"(IEnumerable<T>, employs, Expression)"
"But if we had returned a List from AllSpotted() , then it may run slower because the database could return far more data than is actually needed, and we waste cycles doing the filtering in the client.",
"If you completely forget everything I just explained, please remember one extremely important fact",
Then just create an instance of Drawable and you're good to go:,
"If the JWT token is validated and the principal is returned, you should build a new local identity and put more information into it to check role authorization.","(principal, used to build, identity)"
"It's the null coalescing operator, and quite like the ternary (immediate-if) operator","(null coalescing operator, similar to, ternary operator)"
"These are very important optimizations that can make a great deal of difference when, for example, you profile the Debug build of your app and compare it to the Release build.  That only really matters though when the code is on your critical path, the 5 to 10% of the code you write that actually affects the perf of your program.  The JIT optimizer isn't smart enough to know up front what is critical, it can only apply the ""turn it to eleven"" dial for all the code.","(Debug, varies from, Release)"
"It basically checks for corner cases, then calls the CRT's version of pow() .",
This allows the Task returned by Continuations_GetSomeDataAsync to complete without having to re-enter the request context.,"(Continuations_GetSomeDataAsync, returns, Task)"
"From the C# Annotated Standard (the ECMA version, not the MS version):","(ECMA version, distinct from, MS version)"
"I wrote a library to perform this task in a simpler way, it is here: https://github.com/ademargomes/JsonRequest",
But most line-of-business programmers do not do anything even vaguely like those sorts of things . .NET is not a platform that is tailored for the needs of the Human Genome Project; DNA analysis programmers have to solve problems with those string usage characteristics every day; odds are good that you do not,
Most likely the socket is held by some process.  Use netstat -o to find which one.,"(socket, can be identified using, netstat)"
If you are using .NET 4.0+ you can also use WebUtility.HtmlDecode which does not require an extra assembly reference as it is available in the System.Net namespace.,"(WebUtility, available in, System.Net)"
There's nothing wrong with System.Random if it's used in the way it was intended,
"The lock achieves the first (and simpler) of these approaches; however, another approach might be:",
"It logically represents a single value, similar to primitive types (integer, double, and so on).","(integer, similar to, double)"
"If you said True and False great! Wait, what? That's because == on reference types uses reference-equality which checks if the references are equal, not if the underlying values are equal","(True, distinct from, False)"
"As a generic collection, List<T> implements the generic IEnumerable<T> interface and can be used easily in LINQ (without requiring any Cast or OfType call).","(List<T>, implements, IEnumerable<T>); (List<T>, can be used in, LINQ)"
"The guarantee of what happens internally is the bigger issue, though; since Random does not make any guarantees of thread-safety",
"The Linq OfType() extension method also uses the is operator and the cast.  This is however a cast to a generic type.  The JIT compiler generates a call to a helper function, JIT_Unbox() that can perform a cast to an arbitrary value type.  I don't have a great explanation why it is as slow as the cast to Nullable<int> , given that less work ought to be necessary.  I suspect that ngen.exe might cause trouble here.",
Accessing the current HTTP context from a separate class library is the type of messy architecture that ASP.NET Core tries to avoid,
Notice that I haven't declared a finalizer in B ; you should only implement a finalizer if you have actual unmanaged resources to dispose,"(finalizer, not implemented by, B)"
"EDIT (January 10 2015) Thought I'd revisit this, to mention I recently started using (Newtonsoft) Json to do this, it should be lighter, and avoids the overhead of [Serializable] tags. ( NB @atconway has pointed out in the comments that private members are not cloned using the JSON method)",
"Somewhere, I have got some code that re-writes an expression-tree replacing nodes to remove the need for Invoke , but it is quite lengthy (and I can't remember where I left it...)","(expression-tree, contains, nodes)"
"It has been compared to a zombie virus . The best solution is to allow it to grow, but sometimes that's not possible.",
If you're using .NET 3.5 you can do this in a one-liner with LINQ:,
"HtmlDocument and HtmlNode are the classes you'll use most.  Similar to an XML parser, it provides the selectSingleNode and selectNodes methods that accept XPath expressions.",
"Compatibility: Libraries that target .NET Standard will run on any .NET Standard compliant runtime, such as .NET Core, .NET Framework, Mono / Xamarin . On the other hand, libraries that target .NET Core can only run on the .NET Core runtime.",
"Note that DateTime disregards daylight saving time transitions, representing ""naive"" Gregorian time in both directions (see Remarks section in the DateTime docs ). The only exceptions are .Now and .Today : they retrieve current system time which reflects these events as they occur.","(.Now, similar to, .Today)"
"By writing a null check like this you prevent the NullReferenceException , but you move the NullArgumentException to the point of the iteration , not to the point of the call , and that is very confusing to debug .",
"Do you like .Net enough that using a different dev stack would take the fun out of it for you? Again, I like both stacks (Apple and Mono), but for me MonoTouch makes the experience that much more fun",
"I'd also strongly suggest that you read the HttpClient chapter from Designing Evolvable Web APIs with ASP.NET for context on what is going on under the hood, particularly the ""Lifecycle"" section quoted here:",
"System.Uri.EscapeUriString() can be problematic with certain characters, for me it was a number / pound '#' sign in the string.",
"I am assuming you are not using Json.NET (Newtonsoft.Json NuGet package). If this the case, then you should try it.","(Json.NET, equivalent to, Newtonsoft.Json NuGet package)"
"You can't query against the DataTable 's Rows collection, since DataRowCollection doesn't implement IEnumerable<T> . You need to use the AsEnumerable() extension for DataTable . Like so:","(DataTable, has extension method, AsEnumerable()); (DataRowCollection, does not implement, IEnumerable<T>); (DataTable, has property, Rows)"
C# 1.2 (bizarrely enough); released with .NET 1.1 and VS2003 (April 2003). First version to call Dispose on IEnumerator s which implemented IDisposable . A few other small features.,"(IDisposable.Dispose, called on, IEnumerator); (IEnumerator, implements, IDisposable)"
"Within each of the static/non-static groups of fields,  order by readonly, then non-readonly : (SA1214 and SA1215)","(SA1214, related to, SA1215)"
"The HTTP request is sent out, and HttpClient.GetAsync returns an uncompleted Task .","(HttpClient.GetAsync, returns, Task)"
"I tend to almost never use 2 since if something is not the right type, I usually expect an exception to occur",
"First, this is what it says in MSDN about the Boolean.ToString() method:","(Boolean, has method, Boolean.ToString())"
A little tip when asserting on exception messages is to decorate the test method with the SetCultureAttribute to make sure that the thrown message is using the expected culture,
"But I have to agree with the comments, I'd probably try to deal with the source of the illegal paths, rather than try to mangle an illegal path into a legitimate but probably unintended one.",
If you have access to C#7 and the latest .NET this is the best way.,
"When an async method resumes execution, it grabs a thread from the ASP.NET thread pool","(async method, grabs thread from, ASP.NET thread pool)"
Updated NOTE on this solution : Checking with FileAccess.ReadWrite will fail for Read-Only files so the solution has been modified to check with FileAccess.Read .,"(FileAccess.ReadWrite, replaced by, FileAccess.Read)"
"The default implementation of ToString obtains the name of the class that threw the current exception, the message, the result of calling ToString on the inner exception, and the result of calling Environment.StackTrace","(ToString, utilizes, Environment)"
"However, with ASP.NET Web Api, if your request is coming in on one thread, and you await some function and call ConfigureAwait(false) that could potentially put you on a different thread when you are returning the final result of your ApiController function.","(ConfigureAwait(false), can affect threading in, ApiController)"
Select the script that doesn't do auto-complete then right-click and select Include In Project .,
"Or, if you want your mock to be loose, use the .Throws( Exception )","(Throws, takes_parameter, Exception)"
"It assumes the default comparer for the keys though - if you want to pass in an equality comparer, just pass it on to the HashSet constructor.",
I've built Encrypt/Decrypt methods that work with URL-friendly string).  It also has the methods that work with byte arrays.,"(Encrypt(), works with, byte arrays)"
"All the code leading up to await , including the call to GetSomethingAsync",
"Available in: .NET Framework 1.1+, NET Standard 2.0+, and .NET Core 2.0+.","(.NET Framework, similar to, NET Standard), (.NET Framework, similar to, .NET Core), (NET Standard, similar to, .NET Core)"
just passing in some default parameters.  When you pass an Action to,
"I'm late to the game, but I took it as a challenge to see how it could be done.  It's not possible in C# (or VB.NET, but scroll down for F#), but is possible in MSIL.  I wrote this little....thing",
"Casting to int? takes a lot more work.  The value representation of the boxed integer is not compatible with the memory layout of Nullable<int> .  A conversion is required and the code is tricky due to possible boxed enum types.  The JIT compiler generates a call to a CLR helper function named JIT_Unbox_Nullable to get the job done.  This is a general purpose function for any value type, lots of code there to check types.  And the value is copied.  Hard to estimate the cost since this code is locked up inside mscorwks.dll, but hundreds of machine code instructions is likely.",
The code project article Creating a Tasktray Application gives a very simple explanation and example of creating an application that only ever exists in the System Tray.,
We avoid this issue by calling Task.Run to execute the asynchronous method in a thread pool thread.,"(Task.Run, executes in, ThreadPool)"
"Update : according to a comment the actual class here is not an IDictionary but a PhysicalAddressDictionary , so the methods are Contains and TryGetValue but they work in the same way.","(Contains, similar to, TryGetValue)"
My suggestion is to use File.ReadLines because it is clean and efficient,
"As in the comments and the documentation, The method should be inlined if possible",
"Also in .NET objects do not change type as they are constructed, but start out as the most derived type, with the method table being for the most derived type",
"Note that C# has the concept of nullable datatypes for variables (like database tables can have nullable fields) - you can assign null to them to indicate there is no value stored in it, for example int? a = null; (which is a shortcut for Nullable<int> a = null; ) where the question mark indicates it is allowed to store null in variable a . You can check that either with if (a.HasValue) {...} or with if (a==null) {...} . Nullable variables, like a in this example, allow to access the value via a.Value explicitly, or just as normal via a . Note that accessing it via a.Value throws an InvalidOperationException instead of a NullReferenceException if a is null - you should do the check beforehand, i.e. if you have another non-nullable variable int b; then you should do assignments like if (a.HasValue) { b = a.Value; } or shorter if (a != null) { b = a; } .","(InvalidOperationException, differs from, NullReferenceException)"
In this case it doesn't matter whether TargetType is a reference type or a value type.,"(reference type, distinct from, value type)"
Simply change your code to use the overloaded version of GetMethod that accepts BindingFlags:,"(GetMethod, accepts, BindingFlags)"
This allows AsyncAwait_GetSomeDataAsync to use the ASP.NET request context when it is ready to continue.,"(AsyncAwait_GetSomeDataAsync, utilizes, ASP.NET)"
"So when you're going to run .NET Core ""RTM"" behind nginx, you can only do it by proxying requests to kestrell (that semi-finished nodeJS-derived web-server) - there's no fastcgi support at present in .NET Core ""RTM"", AFAIK. Since there is no .net core fastcgi library, and no samples, it's also highly unlikely that anybody did any testing on the framework to make sure fastcgi works as expected.","(.NET Core, lacks support for, fastcgi)"
How is the author of D supposed to make this work? Are they required in your world to call up the author of B on the phone and ask them to please ship them a new version of B that makes the method have an optional parameter?,""
Here comes the fun fact #1: it doesn't return TrueString or FalseString at all,
"Objective-C tends to be more verbose where you have to write it . You'll find yourself writing code with C# you wouldn't have to write with ObjC, but it goes both ways",
Put all radio buttons for a group in a container object like a Panel or a GroupBox .  That will automatically group them together in Windows Forms.,"(container object, includes, Panel)"
Which you would also call using Task.Run (since it is partially CPU-bound):,"(Task.Run, executes, Task)"
IntPtr.Size won't return the correct value if running in 32-bit .NET Framework 2.0 on 64-bit Windows (it would return 32-bit).,"(.NET Framework, distinct from, Windows)"
"Will first call Base.DoIt , then Derived.DoIt . They're effectively two entirely separate methods which happen to have the same name, rather than the derived method overriding the base method.","(Base.DoIt, distinct from, Derived.DoIt)"
"Use a List<string> instead - it will allow you to add as many items as you need and if you need to return an array, call ToArray() on the variable.","(List<T>, has method, ToArray)"
You can use the static method Enum.GetNames which returns an array representing the names of all the items in the enum,"(Enum, retrieves names using, Enum.GetNames)"
To use the Cast function on an Array you need to have the System.Linq in your using section.,"(Cast(), requires, System.Linq), (Cast(), utilizes, Array)"
"This allows more granular usage, and allows use of Monitor.Wait / Monitor.Pulse etc to communicate between threads.","(Monitor.Wait, used to communicate with, Monitor.Pulse)"
"As a note for future users who would like to avoid using FolderBrowserDialog , Microsoft once released an API called the WindowsAPICodePack that had a helpful dialog called CommonOpenFileDialog , that could be set into a IsFolderPicker mode","(FolderBrowserDialog, replaced by, CommonOpenFileDialog)"
"In other words, instead of using EventHandler , you can use EventHandler<dynamic> which would cause the second argument of the handler to be dynamic .","(EventHandler, can be replaced by, EventHandler<TEventArgs>)"
"The is operator test is easy, just check if the object isn't null and is of the expected type, takes but a few machine code instructions.  The cast is also easy, the JIT compiler knows the location of the value bits in the object and uses them directly.  No copying or conversion occurs, all machine code is inline and takes but about a dozen instructions.  This needed to be really efficient back in .NET 1.0 when boxing was common.","(is, similar to, cast), (is, utilized in, .NET), (cast, utilized in, .NET)"
Lamar - A fast IoC container heavily optimized for usage within ASP.NET Core and other .NET server side applications.,"(Lamar, optimized for, ASP.NET Core)"
You can alternatively do this with Fluent API overriding OnModelCreating function in your DBContext class:,"(Fluent API, used in, OnModelCreating())"
"It should also be pointed out that Noda Time has a representation called ZonedDateTime for this, while the .Net base class library does not have anything similar.  You would need to store both a DateTimeOffset and a TimeZoneInfo.Id value.",
Some people deliberately use a proxy or VPN to further confound you.,
You will have to configure IIS to host those two as separate ASP.NET applications if you want to avoid such kind of conflicts,"(IIS, host, ASP.NET applications)"
"However, JetBrains Rider (2018 EAP at this point in time) is definitely a lot nicer and more reliable (and the included decompiler is a life-safer), that is to say, if you develop .NET-Core on Linux or Mac","(JetBrains Rider, includes, decompiler)"
"Also, you can validate email addresses using the MailAddress class as Microsoft explains here in a note:","(Microsoft, explains, MailAddress)"
"Oh - for convenience, you might also consider providing == and != operators when overriding Equals and GetHashCode .","(Equals, should be overridden with, GetHashCode); (==, should be provided when overriding, Equals); (!=, should be provided when overriding, Equals); (==, should be provided when overriding, GetHashCode); (!=, should be provided when overriding, GetHashCode)"
The CorsPolicyBuilder in builder allows you to configure the policy to your needs,"(CorsPolicyBuilder, allows configuration of, CorsPolicy)"
"Update: ASP.NET Core does not have a SynchronizationContext . If you are on ASP.NET Core, it does not matter whether you use ConfigureAwait(false) or not.","(ASP.NET Core, does not require, ConfigureAwait(false))"
"Others have already covered the difference between Dispose and Finalize (btw the Finalize method is still called a destructor in the language specification), so I'll just add a little about the scenarios where the Finalize method comes in handy.",
"For example, the keyword int refers to the struct System.Int32 . As a matter of style, use of the keyword is favoured over use of the complete system type name.","(int, refers to, System.Int32)"
"It's just shorthand for ""constructor"" - and it's what the constructor is called in IL, too",
"HtmlHelper (@Html) also has an overload of the ActionLink method that you can use in razor to create an anchor element, but it also requires the hostName and fragment parameters","(HtmlHelper, has_method, ActionLink)"
"C# 4.0 released with .NET 4 and VS2010 (April 2010). Major new features: late binding ( dynamic ), delegate and interface generic variance, more COM support, named arguments, tuple data type and optional parameters","(dynamic, is a feature alongside, delegate)"
"Second, as was already pointed out, ExpandoObject implements INotifyPropertyChanged interface which gives you more control over properties than a dictionary.","(ExpandoObject, implements, INotifyPropertyChanged)"
"To avoid boxing, the best way to compare generics for equality is with EqualityComparer<T>.Default . This respects IEquatable<T> (without boxing) as well as object.Equals , and handles all the Nullable<T> ""lifted"" nuances","(EqualityComparer<T>.Default, respects, IEquatable<T>); (EqualityComparer<T>.Default, respects, object.Equals); (EqualityComparer<T>.Default, handles, Nullable<T>)"
"C# supports ""iterator blocks"" (called ""generators"" in some other popular languages). NullReferenceException can be particularly tricky to debug in iterator blocks because of deferred execution:",
"Without overriding the default values, printing default(E) returns Foo since it's the first-occurring element.","(default(E), returns, Foo)"
"The value can only be seen directly after returning from the function, thus the easiest way to access it is by putting a breakpoint on the function call and step over (F10) the call.",
"f 's exception is always ""observed"". An exception that leaves a top-level asynchronous method is simply treated like any other unhandled exception. g 's exception is never observed","(method, contains, exception)"
"The .NET framework is casting the lambda (emp1,emp2)=>int as a Comparer<Employee>.","(Comparer, type_parameter, Employee)"
".NET 4.0 allows primary interop assemblies (or rather, the bits of it that you need) to be embedded into your assembly so that you don't need to deploy them alongside your application.","(.NET, embeds, assembly), (assembly, included in, application)"
"EDIT : The WebBrowser control is an embedded copy of IE. Therefore, any links inside of it will open in IE.",""
"Does the new server machine have the clock set correctly (i.e. so that the UTC time is correct [ignore local time, it is largely irrelevant]) - this certainly matters for WCF, so may impact regular SOAP?",
"But do you really want to leave 250MB of memory just sitting there – waiting for the garbage collector to eventually come along and free it? What if there's an open database connection ? Surely we don't want that connection sitting open, waiting for the GC to finalize the object.","(garbage collector, equivalent to, GC)"
The IServiceCollection interface is used for building a dependency injection container,
"When HTTP request comes to the server, an authentication action filter is implemented to parse the request to get information: HTTP verb, timestamp, uri, form data and query string, then based on these to build signature (use hmac hash) with the secret key (hashed password) on the server.",
"So what you need is a way for Finalize() to tell Dispose() that it should not touch any managed resources (because they might not be there anymore), while still freeing unmanaged resources.","(Finalize(), tells, Dispose())"
There are several ways to perform HTTP GET and POST requests:,
Shutdown  is implicitly called by Windows Presentation Foundation (WPF) in the following situations:,"(System.Windows.Application.Shutdown, is called by, Windows Presentation Foundation)"
"In C#, the 'int' type is the same as System.Int32 and is a value type (ie more like the java 'int'). An integer (just like any other value types) can be boxed (""wrapped"") into an object.","(int, equivalent to, System.Int32)"
"With async void methods, there is no Task object, so any exceptions thrown out of an async void method will be raised directly on the SynchronizationContext that was active when the async void method started.","(SynchronizationContext, handles exceptions from, async void)"
"If your directory may have many files, EnumerateFiles() is more efficient than GetFiles() , because when you use EnumerateFiles() you can start enumerating it before the whole collection is returned, as opposed to GetFiles() where you need to load the entire collection in memory before begin to enumerate it","(EnumerateFiles(), more efficient than, GetFiles()); (EnumerateFiles(), allows enumeration before, complete collection return); (GetFiles(), requires loading, entire collection in memory)"
Here's an example using AsyncContext ; GeneralThreadAffineContext has almost identical usage:,"(AsyncContext, similar to, GeneralThreadAffineContext)"
White-space characters are defined by the Unicode standard and return true if they are passed to the Char.IsWhiteSpace method.,"(Char, has method, IsWhiteSpace)"
