Type Triples
"('class', 'dependency', 'class')"
"('method', 'difference', 'class')"
"('method', 'difference', 'method')"
"('method', 'difference', 'interface')"
"('method', 'difference', 'package')"
"('interface', 'difference', 'class')"
"('interface', 'difference', 'method')"
"('interface', 'difference', 'interface')"
"('interface', 'difference', 'package')"
"('package', 'difference', 'class')"
"('package', 'difference', 'method')"
"('package', 'difference', 'interface')"
"('package', 'difference', 'package')"
"('class', 'replacement', 'class')"
"('class', 'replacement', 'method')"
"('class', 'replacement', 'interface')"
"('class', 'replacement', 'package')"
"('method', 'replacement', 'class')"
"('method', 'replacement', 'method')"
"('method', 'replacement', 'interface')"
"('method', 'replacement', 'package')"
"('interface', 'replacement', 'class')"
"('interface', 'replacement', 'method')"
"('interface', 'replacement', 'interface')"
"('interface', 'replacement', 'package')"
"('package', 'replacement', 'class')"
"('package', 'replacement', 'method')"
"('package', 'replacement', 'interface')"
"('package', 'replacement', 'package')"
"('class', 'execution', 'class')"
"('class', 'execution', 'method')"
"('class', 'execution', 'interface')"
"('class', 'execution', 'package')"
"('method', 'execution', 'class')"
"('method', 'execution', 'method')"
"('method', 'execution', 'interface')"
"('method', 'execution', 'package')"
"('interface', 'execution', 'class')"
"('interface', 'execution', 'method')"
"('interface', 'execution', 'interface')"
"('interface', 'execution', 'package')"
"('package', 'execution', 'class')"
"('package', 'execution', 'method')"
"('package', 'execution', 'interface')"
"('package', 'execution', 'package')"
"('class', 'access', 'class')"
"('class', 'access', 'method')"
"('class', 'access', 'interface')"
"('class', 'access', 'package')"
"('method', 'access', 'class')"
"('method', 'access', 'method')"
"('method', 'access', 'interface')"
"('method', 'access', 'package')"
"('interface', 'access', 'class')"
"('interface', 'access', 'method')"
"('interface', 'access', 'interface')"
"('interface', 'access', 'package')"
"('package', 'access', 'class')"
"('package', 'access', 'method')"
"('package', 'access', 'interface')"
"('package', 'access', 'package')"
"('class', 'equivalence', 'class')"
"('class', 'equivalence', 'method')"
"('class', 'equivalence', 'interface')"
"('class', 'equivalence', 'package')"
"('method', 'equivalence', 'class')"
"('method', 'equivalence', 'method')"
"('method', 'equivalence', 'interface')"
"('method', 'equivalence', 'package')"
"('interface', 'equivalence', 'class')"
"('interface', 'equivalence', 'method')"
"('interface', 'equivalence', 'interface')"
"('interface', 'equivalence', 'package')"
"('package', 'equivalence', 'class')"
"('package', 'equivalence', 'method')"
"('package', 'equivalence', 'interface')"
"('package', 'equivalence', 'package')"
"('class', 'support', 'class')"
"('class', 'support', 'method')"
"('class', 'support', 'interface')"
"('class', 'support', 'package')"
"('method', 'support', 'class')"
"('method', 'support', 'method')"
"('method', 'support', 'interface')"
"('method', 'support', 'package')"
"('interface', 'support', 'class')"
"('interface', 'support', 'method')"
"('interface', 'support', 'interface')"
"('interface', 'support', 'package')"
"('package', 'support', 'class')"
"('package', 'support', 'method')"
"('package', 'support', 'interface')"
"('package', 'support', 'package')"
