"There is a very similar case, namely when you have an interface value which wraps a value of MyType, and you try to type assert another interface value from it, Stringer","['Containment: (interface, wraps, MyType)  ', 'Equivalence: (interface, type asserts, Stringer)  ']","['(unknown, Containment, unknown): ((interface, wraps, MyType)  )', '(unknown, Equivalence, unknown): ((interface, type asserts, Stringer)  )']"
"Note: Go 1.18 (Q1 2022) does rename interface{} to any (alias for interface{}).
See issue 49884, CL 368254 and commit 2580d0e.
See the last part of this answer.","['Replacement: (interface{}, renamed to, any)']","['(type, Replacement, type): (interface{}, renamed to, any)']"
"When using structs and embedding, often it's not ""you"" that implement an interface (provide a method implementation), but a type you embed in your struct","['Embedding: (struct, incorporates, interface)  ', 'Containment: (struct, includes, method)  ', 'Satisfaction: (interface, fulfilled by, method)']","['(unknown, Embedding, unknown): ((struct, incorporates, interface)  )', '(unknown, Containment, unknown): ((struct, includes, method)  )', '(type, Satisfaction, method): (interface, fulfilled by, method)']"
"We can also make it work, if we embed *MyType and using only a non-pointer MyType2 (try it on the Go Playground):","['Embedding: (MyType, embeds, MyType2)']","['(type, Embedding, type): (MyType, embeds, MyType2)']"
"Since there is no implements keyword, all types implement at least zero methods, and satisfying an interface is done automatically, therefore all types satisfy the empty interface.
That means that if you write a function that takes an interface{} value as a parameter, you can supply that function with any value.","['Satisfaction: (interface{}, satisfies, function)']","['(type, Satisfaction, func): (interface{}, satisfies, function)']"
"The _ used as a name of the variable tells the compiler to effectively discard the RHS value, but to type-check it and evaluate it if it has any side effects, but the anonymous variable per se doesn't take any process space.",,[]
It is a handy construct when developing and the method set of an interface and/or the methods implemented by a type are frequently changed,,[]
"Note: Helper functions to acquire a pointer to a non-zero value are available in my github.com/icza/gox library, in the gox package, so you don't have to add these to all your projects where you need it.",,[]
"Also, whatever we embed (either MyType or *MyType), if we use a pointer *MyType2, it will always work (try it on the Go Playground):","['Embedding: (MyType, incorporates, *MyType)', 'Dependency: (MyType, relies on, *MyType2)', 'Dependency: (*MyType, relies on, *MyType2)']","['(type, Embedding, type): (MyType, incorporates, *MyType)', '(type, Dependency, type): (MyType, relies on, *MyType2)', '(type, Dependency, type): (*MyType, relies on, *MyType2)']"
That signal channel is used to push a value into when you want the goroutine to stop,,[]
"Your solution is not a worker goroutine pool in any sense: your code does not limit concurrent goroutines, and it does not ""reuse"" goroutines (it always starts a new one when a new job is received).",,[]
It provides a static (compile time) check that boolType satisfies the ValueConverter interface,,[]
"If 'any' is allowed in generics but not non-generic code, then it might encourage people to overuse generics simply because 'any' is nicer to write than 'interface{}', when the decision about generics or not should really be made by considering other factors.","['Equivalence: (any, similar to, interface{})']","['(type, Equivalence, type): (any, similar to, interface{})']"
"5 of them) which would loop over the channel on which jobs are delivered, and each would execute / complete the received jobs.",,[]
"The producer goroutine could simply close the jobs channel when all jobs were generated and sent, properly signalling consumers that no more jobs will be coming",,[]
Also note that in the background the following will happen (this is also a valid syntax):,,[]
"The second word in the interface value points at the actual data, in this case a copy of b.
The assignment var s Stringer = b makes a copy of b rather than point at b for the same reason that var c uint64 = b makes a copy: if b later changes, s and c are supposed to have the original value, not the new one.
Values stored in interfaces might be arbitrarily large, but only one word is dedicated to holding the value in the interface structure, so the assignment allocates a chunk of memory on the heap and records the pointer in the one-word slot.","['Difference: (Stringer, compared to, uint64)']","['(type, Difference, type): (Stringer, compared to, uint64)']"
"Again, compile-time error, because the method set of MyType2 does not contain the String() method of the embedded MyType, only the method set of *MyType2, so the following works (try it on the Go Playground):",,[]
"It's not a special design, but a logical consequence of Go's type declaration syntax.","['Containment: (Go, includes, type)']","['(package, Containment, entity type): (Go, includes, type)']"
Note that this model to have a designated producer goroutine is not mandatory,,[]
"You could have multiple goroutines to produce jobs too, but then you must synchronize them too to only close the jobs channel when all producer goroutines are done producing jobs - else attempting to send another job on the jobs channel when it has already been closed results in a runtime panic",,[]
It effectively prevents to go install a broken (intermediate) version with such omission.,,[]
"So, range uses a[i] as its second value for arrays/slices, which effectively means that the
value is copied, making the original value untouchable.",,[]
"Usually producing jobs are cheap and can be produced at a much quicker rate than they can be executed, so this model to produce them in 1 goroutine while many are consuming / executing them is good in practice.",,[]
"If jobs have results, you may choose to have a designated result channel on which results could be delivered (""sent back""), or you may choose to handle the results in the consumer when the job is completed / finished",,[]
"The first word in the interface value points at what I call an interface table or itable (pronounced i-table; in the runtime sources, the C implementation name is Itab).
The itable begins with some metadata about the types involved and then becomes a list of function pointers.
Note that the itable corresponds to the interface type, not the dynamic type.
In terms of our example, the itable for Stringer holding type Binary lists the methods used to satisfy Stringer, which is just String: Binary's other methods (Get) make no appearance in the itable.","['Satisfaction: (Stringer, fulfilled by methods of, Binary)']","['(type, Satisfaction, type): (Stringer, fulfilled by methods of, Binary)']"
"The Go compiler performs escape analysis, and allocates local variables on the heap (instead of the stack) if they may escape the function","['Containment: (variables, included in, function)']","['(var, Containment, func): (variables, included in, function)']"
The important thing is whether results can be processed independently or they need to be merged (e.g,,[]
"Note that the Job struct also wraps the result, so when we send back the result, it also contains the original Job as the context - often very useful",,[]
"Instead of sending simple string values as jobs and results, I would create a wrapper type which can hold any additional info and so it is much more flexible:",,[]
"The operand must be addressable, that is, either a variable, pointer indirection, or slice indexing operation; or a field selector of an addressable struct operand; or an array indexing operation of an addressable array","['Difference: (slice, compared to, array)']","['(type, Difference, type): (slice, compared to, array)']"
"This latter may even be implemented by having a ""callback"" function that handles the results",,[]
Note that all jobs sent before closing the channel will still be delivered.,,[]
"The consumer's responsibility is to receive jobs as long as jobs can be received, and execute them:",,[]
"An accidental receive in the producer would be a compile time error (detected early, at compile time).",,[]
Note that consume() sees the jobs channel as receive only; consumer only needs to receive from it,,[]
"Note that produce() sees the jobs channel as send only, because that's what the producer needs to do only with that: send jobs on it (besides closing it, but that is also permitted on a send only channel)",,[]
"As posted at Bruteforce MD5 Password cracker, you can make use of the producer-consumer pattern",,[]
"Until then, you can use github.com/icza/gog, the gog.Ptr() function (disclosure: I'm the author).","['Containment: (gog.Ptr(), part of, github.com/icza/gog)']","['(func, Containment, package): (gog.Ptr(), part of, github.com/icza/gog)']"
"Also note that the results channel cannot be closed here as there are multiple consumer goroutines, and only the first attempting to close it would succeed and further ones would result in runtime panic! results channel can (must) be closed after all consumer goroutines ended, because then we can be sure no further values (results) will be sent on the results channel.",,[]
"Please note the use of channel types: whenever it is sufficient, use only a unidirectional channel type to detect and prevent errors early, at compile time",,[]
"As you can see, results are coming and getting analyzed before all the jobs would be enqueued:",,[]
Only use bidirectional channel type if you do need both directions.,,[]
You can simply use the builtin new() function to allocate a new zero-valued int64 and get its address:,"['Conversion: (new(), allocates, int64)']","['(func, Conversion, type): (new(), allocates, int64)']"
In this case we don't need 2 sync.WaitGroup values (the 2nd was only needed to wait for the analyzer to complete).,,[]
"But if it does not, you can't force it or kill it.",,[]
Edit: The problem is that you used Short variable declaration := and you just stored the created *DB value in a local variable and not in the global one.,,[]
"If you can't do anything about the 3rd party lib you're using, the most that you could do is run it in a different process (in a different application started by your go app) which you can kill, but that is just ugly and too cumbersome.",,[]
You have to assign the created *DB to the global variable,,[]
"It's a pointer type, you have to initialize it before you use it",,[]
"Output is ""like"" that of with results channel (but of course execution/completion order is random).",,[]
"Note that it doesn't matter that you have multiple files as long as they are part of the same package, they can access identifiers defined in one another.",,[]
"To verify that the data source name is valid, call DB.Ping().",,[]
Note that sql.Open() may just validate its arguments without creating a connection to the database,,[]
"If we do so, we will have the struct value allocated and a pointer obtained to it",,[]
"This way no matter what the keys or values are, you will have all pairs in a map which you can print or loop over.",,[]
"Also note that although your example contained only string values, but if the value type is varying (e.g",,[]
"Please note that when you pass a slice to a function, if the function modifies the ""existing"" elements of the slice, the caller will see / observe the changes","['Modification: (slice, modifies, function)']","['(type, Modification, func): (slice, modifies, function)']"
"As you can see, this also receives results as long as they may come (until results channel is closed)",,[]
Also note that I created a library to easily work with such dynamic objects which may be a great help in these cases: github.com/icza/dyno.,,[]
A good solution would be to do it in the package init() function which is called automatically.,,[]
You don't have to export it (that's what starting it with a capital letter does),,[]
"So when you pass a slice to a function, a copy will be made from this header, including the pointer, which will point to the same backing array","['Containment: (slice, includes, pointer)  ', 'Collaboration: (slice, interacts with, func)  ']","['(unknown, Containment, unknown): ((slice, includes, pointer)  )', '(unknown, Collaboration, unknown): ((slice, interacts with, func)  )']"
"Modifying the elements of the slice implies modifying the elements of the backing array, and so all slices which share the same backing array will ""observe"" the change.","['Containment: (slice, share, backing array)  ', 'Dependency: (slice, relies on, backing array)']","['(unknown, Containment, unknown): ((slice, share, backing array)  )', '(type, Dependency, type): (slice, relies on, backing array)']"
"Also regarding slices and maps, see Map initialization in Go and why slice values can sometimes go stale but never map values?","['Difference: (slice, goes stale, map)']","['(type, Difference, type): (slice, goes stale, map)']"
"The reason for this is that range copies the values from the slice you're iterating over.
The specification about range says:","['Containment: (range, copies values from, slice)']","['(method, Containment, type): (range, copies values from, slice)']"
"The code prints you completely different memory locations for the value from range and the actual
value  in the slice:","['Difference: (range, different memory location, slice)']","['(type, Difference, type): (range, different memory location, slice)']"
"If the function adds new elements to the slice, that requires changing the slice header (the length at a minimum, but may also involve allocating a new backing array), which the caller will not see (not without returning the new slice header).","['Containment: (slice, contains, slice header)', 'Containment: (slice, contains, backing array)', 'Containment: (slice header, contains, backing array)']","['(type, Containment, type): (slice, contains, slice header)', '(type, Containment, type): (slice, contains, backing array)', '(type, Containment, type): (slice header, contains, backing array)']"
"So the only thing you can do is to either use pointers or the index, as already proposed by jnml and peterSO.","['Replacement: (pointer, substitute for, index)']","['(type, Replacement, type): (pointer, substitute for, index)']"
"See related / possible duplicate question:
Performance of function slice parameter vs global variable?","['Difference: (slice, performance comparison, global variable)']","['(type, Difference, var): (slice, performance comparison, global variable)']"
"Following the advice that the receiver type should be consistent, if you have a pointer receiver, then your (p *type) String() string method should also use a pointer receiver.",,[]
"Not with maps, because maps are pointers under the hood, and if you pass a map to a function and the function adds a new entry to the map, the map pointer will not change so the caller will see the changed map (the new entry) without returning the map after change.","['Containment: (map, is a pointer under the hood, pointer)']","['(type, Containment, type): (map, is a pointer under the hood, pointer)']"
"The statement is suggesting that if you have a method that reslices or reallocates the slice, then you should use a pointer receiver.",,[]
"It also has the advantage that it can be ""throttled"" with the proper selection of the channel capacity (buffered channel) and the number of consumer goroutines.","['Limitation: (channel, limits, goroutines)']","['(type, Limitation, type): (channel, limits, goroutines)']"
"Interface values are fundamentally pointers, while your value receiver methods require values; ergo every call requires Go to create a new copy of the value, call your method with it, and then throw the value away.
There is no way to avoid this as long as you use value receiver methods and call them through interface values; it's a fundamental requirement of Go.",,[]
"But this does not implement the Stringer interface, unless the caller of your API also uses pointer to your type, which might be a usability problem of your API.",,[]
Note: irbull points out in the comments a warning about interface methods:,,[]
The construct serves as a guard against forgetting to match the method sets of a type and of an interface where the intent is to have them compatible,"['Equivalence: (type, compatible with, interface)']","['(type, Equivalence, type): (type, compatible with, interface)']"
"This would result in a clean design, would result in fixed (but arbitrary) number of goroutines, and it would always utilize 100% CPU (if # of goroutines is greater than # of CPU cores)","['Limitation: (goroutines, utilizes 100% of, CPU)']","['(type, Limitation, type): (goroutines, utilizes 100% of, CPU)']"
"range construct on a channel handles the ""close"" event and terminates properly","['Collaboration: (range, handles, channel)']","['(func, Collaboration, type): (range, handles, channel)']"
"You could have a designated producer goroutine that would generate the jobs (things to do / calculate), and send them on a jobs channel","['Creation: (goroutine, generates, jobs)', 'Collaboration: (goroutine, sends through, channel)', 'Containment: (jobs, contained in, channel)']","['(type, Creation, var): (goroutine, generates, jobs)', '(type, Collaboration, type): (goroutine, sends through, channel)', '(var, Containment, type): (jobs, contained in, channel)']"
"If you go with a results channel, you also need a goroutine that receives values from it, preventing consumers to get blocked (would occur if buffer of results would get filled).","['Collaboration: (goroutine, interacts with, channel)']","['(type, Collaboration, type): (goroutine, interacts with, channel)']"
"string, numbers etc.), you may use interface{} for the value type, in which case your map would be of type map[string]interface{}.","['Containment: (map[string], part of, interface{})']","['(type, Containment, type): (map[string], part of, interface{})']"
This is very similar to a question I just answered: https://stackoverflow.com/a/12990540/727643,,[]
"When done (no more jobs), the jobs channel is closed which signals consumers that no more jobs will arrive.","['Dependency: (jobs, signals, channel)', 'Dependency: (channel, signals, consumers)']","['(var, Dependency, type): (jobs, signals, channel)', '(type, Dependency, var): (channel, signals, consumers)']"
The goroutine has to support some kind of termination signalling (most often a channel),"['Dependency: (goroutine, relies on for termination signalling, channel)']","['(type, Dependency, type): (goroutine, relies on for termination signalling, channel)']"
"Also note that it is profitable to just send pointers (*Job) on the channels instead of Job values so no need to make ""countless"" copies of Jobs, and also the size of the Job struct value becomes irrelevant.","['Replacement: (Job, replaced by, *Job)']","['(type, Replacement, type): (Job, replaced by, *Job)']"
This is because the types they are slices of have different memory layouts,,[]
A Model is an interface value which means that in memory it is two words in size,,[]
"For example, this function retrieves the CPU model name using piped commands:",,[]
"Concept of unaddressable values, which are the opposite of addressable values",,[]
Code simplifies significantly if we don't use a results channel but the consumer goroutines handle the result right away (print it in our case),"['Dependency: (channel, operation handled by, goroutines)']","['(type, Dependency, type): (channel, operation handled by, goroutines)']"
"One word for the type information, the other for the data",,[]
Calling value receiver methods through interfaces always creates extra copies of your values.,,[]
"values for receivers is that value methods can
be invoked on pointers and values, but pointer methods can only be invoked
on pointers","['Limitation: (pointer, constraints on invocation, value)', 'Difference: (value, invocation difference, pointer)']","['(type, Limitation, type): (pointer, constraints on invocation, value)', '(type, Difference, type): (value, invocation difference, pointer)']"
"Since this conversion is an O(n) operation and would result in a new slice being created, Go refuses to do it implicitly",,[]
"If some of the methods of the type must have pointer receivers, the rest should too, so the method set is consistent regardless of how the type is used","['Limitation: (pointer receivers, impose consistency boundaries on, method set)']","['(type, Limitation, type): (pointer receivers, impose consistency boundaries on, method set)']"
Can someone tell me a case where a value receiver clearly makes more sense then a pointer receiver?,"['Preference: (value receiver, preferred over, pointer receiver)']","['(method, Preference, method): (value receiver, preferred over, pointer receiver)']"
"github.com), so other packages (inside other modules) can simply refer to it by importing it like:",,[]
The easiest and working out-of-the-box solution is to put your database package / module into a VCS (e.g,,[]
"In this example, the Insert and Delete methods are modifying the slice by appending and removing elements.
As a result, a pointer receiver is used to ensure the modifications are visible outside the method.","['Collaboration: (Insert(), modifies slice with, Delete())']","['(method, Collaboration, method): (Insert(), modifies slice with, Delete())']"
"you're just experimenting or you haven't decided what to use yet), then you can still do it",,[]
"And you created another module, let's call it main, and you want to use this database package.",,[]
