"('class', 'dependency', 'class')"
"('package', 'implementation', 'class')"
"('package', 'implementation', 'interface')"
"('package', 'implementation', 'method')"
"('package', 'implementation', 'package')"
"('class', 'containment', 'class')"
"('class', 'containment', 'interface')"
"('class', 'containment', 'method')"
"('class', 'containment', 'package')"
"('interface', 'containment', 'class')"
"('interface', 'containment', 'interface')"
"('interface', 'containment', 'method')"
"('interface', 'containment', 'package')"
"('method', 'containment', 'class')"
"('method', 'containment', 'interface')"
"('method', 'containment', 'method')"
"('method', 'containment', 'package')"
"('package', 'containment', 'class')"
"('package', 'containment', 'interface')"
"('package', 'containment', 'method')"
"('package', 'containment', 'package')"
"('class', 'access', 'class')"
"('class', 'access', 'interface')"
"('class', 'access', 'method')"
"('class', 'access', 'package')"
"('interface', 'access', 'class')"
"('interface', 'access', 'interface')"
"('interface', 'access', 'method')"
"('interface', 'access', 'package')"
"('method', 'access', 'class')"
"('method', 'access', 'interface')"
"('method', 'access', 'method')"
"('method', 'access', 'package')"
"('package', 'access', 'class')"
"('package', 'access', 'interface')"
"('package', 'access', 'method')"
"('package', 'access', 'package')"
"('class', 'execution', 'class')"
"('class', 'execution', 'interface')"
"('class', 'execution', 'method')"
"('class', 'execution', 'package')"
"('interface', 'execution', 'class')"
"('interface', 'execution', 'interface')"
"('interface', 'execution', 'method')"
"('interface', 'execution', 'package')"
"('method', 'execution', 'class')"
"('method', 'execution', 'interface')"
"('method', 'execution', 'method')"
"('method', 'execution', 'package')"
"('package', 'execution', 'class')"
"('package', 'execution', 'interface')"
"('package', 'execution', 'method')"
"('package', 'execution', 'package')"
"('class', 'modification', 'class')"
"('class', 'modification', 'interface')"
"('class', 'modification', 'method')"
"('class', 'modification', 'package')"
"('interface', 'modification', 'class')"
"('interface', 'modification', 'interface')"
"('interface', 'modification', 'method')"
"('interface', 'modification', 'package')"
"('method', 'modification', 'class')"
"('method', 'modification', 'interface')"
"('method', 'modification', 'method')"
"('method', 'modification', 'package')"
"('package', 'modification', 'class')"
"('package', 'modification', 'interface')"
"('package', 'modification', 'method')"
"('package', 'modification', 'package')"
"('class', 'collaboration', 'class')"
"('class', 'collaboration', 'interface')"
"('class', 'collaboration', 'method')"
"('class', 'collaboration', 'package')"
"('interface', 'collaboration', 'class')"
"('interface', 'collaboration', 'interface')"
"('interface', 'collaboration', 'method')"
"('interface', 'collaboration', 'package')"
"('method', 'collaboration', 'class')"
"('method', 'collaboration', 'interface')"
"('method', 'collaboration', 'method')"
"('method', 'collaboration', 'package')"
"('package', 'collaboration', 'class')"
"('package', 'collaboration', 'interface')"
"('package', 'collaboration', 'method')"
"('package', 'collaboration', 'package')"
"('class', 'difference', 'class')"
"('class', 'difference', 'interface')"
"('class', 'difference', 'method')"
"('class', 'difference', 'package')"
"('interface', 'difference', 'class')"
"('interface', 'difference', 'interface')"
"('interface', 'difference', 'method')"
"('interface', 'difference', 'package')"
"('method', 'difference', 'class')"
"('method', 'difference', 'interface')"
"('method', 'difference', 'method')"
"('method', 'difference', 'package')"
"('package', 'difference', 'class')"
"('package', 'difference', 'interface')"
"('package', 'difference', 'method')"
"('package', 'difference', 'package')"
"('class', 'support', 'class')"
"('class', 'support', 'interface')"
"('class', 'support', 'method')"
"('class', 'support', 'package')"
"('interface', 'support', 'class')"
"('interface', 'support', 'interface')"
"('interface', 'support', 'method')"
"('interface', 'support', 'package')"
"('method', 'support', 'class')"
"('method', 'support', 'interface')"
"('method', 'support', 'method')"
"('method', 'support', 'package')"
"('package', 'support', 'class')"
"('package', 'support', 'interface')"
"('package', 'support', 'method')"
"('package', 'support', 'package')"
