text,triplet
Here is an example of how to add an element to the beginning of a Java Deque using the offerFirst() method:,"['(interface, implementation, method): (java.util.Deque, provides, offerFirst())']"
Here is an example of removing the first element from a Java Deque using the pollFirst() method:,[]
"The offerLast() method adds an element to the end (tail) of the Deque, just like offer().","['(method, similarity, method): (offerLast(), similar to, offer())', '(method, implementation, interface): (offerLast(), provides implementation for, Deque)', '(method, implementation, interface): (offer(), provides implementation for, Deque)']"
The peek() method returns the first element from the beginning (head) of a Java Deque without removing it.,"['(interface, implementation, method): (java.util.Deque, provides implementation for, peek())']"
The push() method adds an element to the beginning (head) of a Java Deque method.,[]
The method name offerLast() is just a bit more saying about where the element is added to the Deque.,"['(method, implementation, interface): (java.util.Deque.offerLast(), provides implementation for, java.util.Deque)']"
The method name pollFirst() is just a bit more saying about from where the method removes elements.,[]
"Setting the generic type of the Comparator implementation to Spaceship means that the parameter types of the compare() method can be set to Spaceship, and not Object as it would have been - if no generic type had been specified ( implements Comparator ).","['(interface, implementation, method): (java.util.Comparator, provides, compare())']"
"If adding the element fails, for instance if the Deque is full, the push() method will throw an exception.","['(class, implementation, method): (java.util.Deque, provides, java.util.Deque.push())']"
Here is an example of peeking at the first element of a Java Deque using the getFirst() method:,"['(interface, implementation, method): (java.util.Deque, provides, java.util.Deque.getFirst())']"
This is different from pollFirst() which returns null if the Deque is empty.,[]
Here is an example of peeking at the last element of a Java Deque using the getLast() method:,"['(interface, implementation, method): (java.util.Deque, provides method, java.util.Deque.getLast())']"
This is different from the addLast() method which will throw an exception is adding an element to the end of the Deque fails.,[]
To peek at the last element of a Java Deque you can use the getLast() method.,"['(interface, implementation, method): (java.util.Deque, provides, getLast())']"
Here is an example of removing the first element a Java Deque using the remove() method:,"['(entity, relation, entity): (deque, using, remove)']"
Here is an example of removing the first element of a Java Deque using the removeFirst() method:,"['(interface, implementation, method): (deque, depends on, removefirst)']"
The getFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,"['(method, implementation, interface): (getFirst(), provides method for, java.util.Deque)']"
Here is an example of removing the last element of a Java Deque using the removeLast() method:,"['(interface, implementation, method): (java.util.Deque, provides, java.util.Deque.removeLast())']"
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.",[]
The removeFirst() method also removes the first element from a Deque - the element at the head of the Deque.,[]
Here is an example of peeking at the first element of a Java Deque using the peekFirst() method:,"['(interface, implementation, method): (java.util.Deque, provides method, java.util.Deque.peekFirst())']"
The removeLast() method removes the last element of a Deque - meaning the element at the tail of the Deque.,"['(method, modification, interface): (deque, collaboration, removelast)']"
The remove() method returns the element that is removed from the Deque.,"['(method, implementation, interface): (java.util.Deque.remove(), provides method for, java.util.Deque)']"
Here is an example of peeking at the last element of a Java Deque using the peekLast() method:,"['(interface, implementation, method): (java.util.Deque, provides method, java.util.Deque.peekLast())']"
This is different from poll() which returns null if the Deque is empty.,[]
Here is an example of peeking at the first element of a Java Deque using the peek() method:,"['(interface, implementation, method): (deque, peeking, peek)']"
equals() is used in most collections to determine if a collection contains a given element.,[]
The poll() method removes an element from the beginning of the Deque.,"['(method, modification, interface): (java.util.Deque.poll(), modifies, java.util.Deque)']"
"If you do not know the theory of how a hashtable works internally, you can read about hastables on Wikipedia.org.",[]
Here is an example of removing the first element from a Java Deque using the poll() method:,"['(method, modification, interface): (poll(), modifies, java.util.Deque)']"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","['(method, similarity, method): (pollfirst(), similar to, poll)']"
It is the String.equals() implementation that determines if two strings are equal.,[]
Here are two example implementation of the hashCode() method matching the equals() methods shown earlier:,[]
Here is an example of checking if a Java Deque contains a specific element using the contains() method:,"['(interface, implementation, method): (java.util.Deque, provides, contains())']"
The remove() method removes the first element of a Java Deque.,[]
This is different than remove() which throws an exception if the Deque is empty.,"['(method, implementation, interface): (java.util.Deque.remove(), provides implementation for, java.util.Deque)']"
This is different from pollLast() which returns null if the Deque is empty.,[]
Notice how it is not necessary to cast the String returned from the iterator.next() method call.,[]
"If removing the element fails, for instance if the Deque is empty, the pop() method will throw an exception.","['(interface, implementation, method): (java.util.Deque, provides method, java.util.Deque.pop())']"
The purpose of this text was mostly to explain how they are used by the Java Collection classes.,[]
You can use the Java Deque contains() method to check if a Deque contains a given element.,"['(interface, implementation, method): (java.util.Deque, provides method, java.util.Deque.contains())']"
"That depends on your application, the classes, and what you are trying to do.",[]
Here is an example of removing the first element from a Java Deque using the pop() method:,"['(method, implementation, interface): (pop(), provides method for, java.util.Deque)']"
"Therefore, there are several classes in Java that implements the Java Iterable interface.",[]
This is different than removeFirst() which throws an exception if the Deque is empty.,[]
"This means, that a class that implements the Java Iterable interface can have its elements iterated.",[]
The Java Iterable interface (java.lang.Iterable) is one of the root interfaces of the Java Collections API.,[]
After running this Java example the removedElement variable will point to the String object element 2 - since that element was the last element of the Deque when removeLast() was called.,"['(class, implementation, method): (removelast(), was called, deque)']"
Here is an example of obtaining the number of elements in a Java Deque using its size() method:,"['(method, access, class): (size(), accesses, java.util.Deque)']"
"If you are writing some code that needs to iterate a collection lots of times in a tight loop, let's say iterate a Java List thousands of times per second, iterating the List via the Java for-each loop is slower than iterating the list via a standard for-loop as seen here: () .",[]
The pop() method removes an element from the beginning (head) of a Java Deque.,"['(method, modification, interface): (pop(), removes element from, java.util.Deque)']"
The pollLast() method removes an element from the end (tail) of the Deque.,"['(method, implementation, interface): (java.util.Deque.pollLast(), method of, java.util.Deque)']"
This is different than removeLast() which throws an exception if the Deque is empty.,[]
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"['(interface, implementation, method): (java.util.Deque, provides, size())']"
Here is an example of removing the last element from a Java Deque using the pollLast() method:,"['(method, implementation, interface): (java.util.Deque.pollLast(), method of, java.util.Deque)']"
"When you have specified a generic type for a Java collection, that generic type also works for the Iterator returned by the iterator() method.","['(interface, implementation, method): (iterator, returned, iterator)']"
"The ArrayList iterates all its elements and execute ""123"".equals(element) to determine if the element is equal to the parameter object ""123"".",[]
After running this code the size variable will contain the value 2 because the Deque contains 2 element at the time size() is called.,"['(method, access, interface): (size(), accesses, java.util.Deque)']"
The methods hashCode() and equals() play a distinct role in the objects you insert into Java collections.,"['(method, difference, method): (java.lang.Object.hashCode(), differs from, java.lang.Object.equals())']"
"Thus, you need to cast them to the concrete class (or interface) that you know the object to be of.",[]
Here is an example of adding elements to a Java List using the add() method:,[]
"If the List is not typed, using Java Generics, then you can even mix objects of different types (classes) in the same List.",[]
"The ArrayList again iterates all its elements and execute ""123"".equals(element) to determine if the element is equal to the parameter object ""123"".","['(entity, relation, entity): (arraylist, relies on, equals)']"
"The contains() method will return true if the Deque contains the element, and false if not.","['(interface, implementation, method): (java.util.Deque, provides, contains())']"
The second method to pay attention to is the next() method.,[]
The third way to iterate the elements of a Java Iterable is via its forEach() method.,"['(interface, implementation, method): (java.lang.Iterable, provides method, forEach())']"
Here is an example of iterating the elements of an Iterable via its forEach() method:,"['(interface, implementation, method): (java.lang.Iterable, provides, forEach())']"
The first method is the Iterator hasNext() method which returns true if the Iterator contains more elements.,[]
You create a List instance by creating an instance of one of the classes that implements the List interface.,[]
If the Iterator has iterated over all elements in the underlying collection - the hasNext() method returns false.,[]
"The Java List interface, java.util.List, represents an ordered sequence of objects.",[]
For a 100% precise description of how to implement equals() and hashCode() you should check out the official JavaDoc's.,[]
"Remember, most often you will use the ArrayList class, but there can be cases where using one of the other implementations might make sense.",[]
The hashtable then iterates this area (all keys with the same hash code) and uses the key's equals() method to find the right key.,"['(class, implementation, method): (java.util.Hashtable, uses, java.lang.Object.equals())']"
"You can iterate the objects of a Java Iterable in three ways: Via the , by obtaining a Java Iterator from the Iterable, or by calling the Java Iterable forEach() method.","['(interface, conversion, interface): (java.lang.Iterable, provides, java.util.Iterator)', '(interface, implementation, method): (java.lang.Iterable, provides, forEach())']"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.","['(interface, implementation, method): (java.util.Iterator, provides method, next())']"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g.",[]
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.",[]
Here is an example of using the Java Iterator forEachRemaining() method:,"['(interface, implementation, method): (java.util.Iterator, provides method, forEachRemaining())']"
Here is simple example of removing all elements from a List (clearing) with the clear() method:,[]
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.",[]
The second way you can iterate the elements of a Java Iterable is by obtaining a Java Iterator from it by calling the Iterable iterator() method.,"['(entity, relation, entity): (iterable, obtaining, iterator); (iterable, calling, iterator)']"
"The hashCode() method of objects is used when you insert them into a HashTable, HashMap or HashSet.",[]
By calling iterator() you can obtain an iterator from the given Collection.,"['(method, access, interface): (iterator(), obtain, collection)']"
The subList() method takes 2 parameters: A start index and and end index.,[]
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.","['(interface, implementation, method): (java.util.Iterator, provides, java.util.Iterator.hasNext())']"
"Third, the retainAll() method is called on list, passing otherList as parameter.",[]
You can obtain a Java Spliterator from a Java Iterable via its spliterator() method.,[]
"After executing the list.subList(1,3) instruction the sublist will contain the elements at index 1 and 2.",[]
These List implementations are explained in more detail in my java.util.concurrent tutorial .,[]
The standard Java collection interface Collection contains a method called iterator().,[]
You insert elements (objects) into a Java List using its add() method.,"['(interface, implementation, method): (java.util.List, provides, add())']"
"Here are two rules that are good to know about implementing the hashCode() method in your own classes, if the hashtables in the Java Collections API are to work correctly:",[]
"After list.retainAll(otherList) has finished executing, the list will only contain those elements which were both present in list and otherList before retainAll() was called.",[]
The next() method returns the next element of the collection the Iterator is iterating over.,[]
"The list.subList(1,3) call will include index 1, but exclude index 3, thereby keeping the elements at index 1 and 2.",[]
The first three add() calls add a String instance to the end of the list.,"['(method, execution, class): (add(), receives, java.lang.String)']"
"Again, if the List is typed using Java Generics to e.g.",[]
To peek at the last element of a Java Deque you can use the peekLast() method.,"['(interface, implementation, method): (java.util.Deque, provides, peekLast())']"
In that case you will get a ConcurrentModificationException the next time you call the Iterator next() method.,"['(interface, implementation, method): (java.util.Iterator, provides, next())']"
"After the clear() method has been called, the List will be completely empty.","['(method, modification, class): (java.util.List.clear(), modifies, java.util.List)']"
Therefore you do not need to cast the element returned by get() to String.,[]
Calling hasNext() is done inside a while loop as you can see.,[]
You can check if a Java List contains a given element using the List contains() method.,"['(method, implementation, interface): (contains(), implemented by, java.util.List)']"
"Obviously, if the input parameter to contains() is null, the contains() method will not use the equals() method to compare against each element, but rather use the == operator.",[]
"The Java Iterator forEachRemaining() method can iterate over all of the elements remaining in the Iterator internally, and for each element call a Java Lambda Expression passed as parameter to forEachRemaining() .",[]
The Java Iterator interface has a remove() method which lets you remove the element just returned by next() from the underlying collection.,"['(interface, implementation, method): (java.util.Iterator, provides, remove())', '(interface, implementation, method): (java.util.Iterator, provides, next())', '(method, dependency, method): (remove(), depends on, next())']"
Here is a Java example of calling the List retainAll() method:,"['(interface, implementation, method): (java.util.List, provides implementation for, java.util.Collection.retainAll())']"
The indexOf() method finds the index of the first occurrence in the List of the given element.,"['(method, implementation, interface): (java.util.List.indexOf(), provides method for, java.util.List)']"
The Java List interface contains a clear() method which removes all elements from the list when called.,[]
To create a Java Map you must create an instance of one the classes that implement the Java Map interface.,[]
The lastIndexOf() method finds the index of the last occurrence in the List of a given element.,"['(method, implementation, interface): (java.util.List.lastIndexOf(), provides method for, java.util.List)']"
You can obtain the number of elements in the List by calling the size() method.,[]
"The Java Map interface, java.util.Map, represents a mapping between a key and a value.",[]
The Java List interface has a method called retainAll() which is capable of retaining all elements from one List which are also present in another List.,"['(interface, implementation, method): (java.util.List, provides, java.util.List.retainAll())']"
"The List interface has a version of the add() method that takes an index as first parameter, and the element to insert as the second parameter.",[]
It is the Arrays.asList() method that converts the array to a List.,[]
The three put() calls maps a string value to a string key.,[]
"In other words, the retain() method removes all the elements from the target List which are not found in the other List.","['(method, modification, interface): (retain(), modifies, java.util.List)']"
"Inside the for loop the example accesses the elements in the List via its get() method, passing the incrementing variable i as parameter.","['(entity, relation, entity): (get(), accesses, list)']"
Auto-boxing would also happen if you passed a primitive as key to the put() method.,[]
Here is an example of auto-boxing primitive parameters passed to the put() method:,[]
"In other words, you can add all elements from a List or Set into a List with addAll() .","['(interface, containment, interface): (java.util.List, contains, java.util.Set)', '(method, execution, interface): (java.util.Collection.addAll(), receives, java.util.List)', '(method, execution, interface): (java.util.Collection.addAll(), receives, java.util.Set)']"
The Java List interface has a method called subList() which can create a new List with a subset of the elements from the original List.,"['(method, implementation, interface): (subList(), implemented by, java.util.List)']"
Just keep in mind that you will get a null out when you call get() later with that key - so this will return null:,[]
Here is an example of checking if a Java List contains an element using the contains() method:,"['(interface, implementation, method): (java.util.List, provides implementation for, java.util.List.contains())']"
To obtain the value stored by the null key you call the get() method with null as parameter value.,[]
"Calling mapB.putAll(mapA) will only copy entries from mapA into mapB, not from mapB into mapA.",[]
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.","['(interface, implementation, method): (java.util.List, provides, java.util.List.iterator())']"
"If the List contains objects that implement the Comparable interface (java.lang.Comparable), then the objects can compare themselves to each other.","['(interface, containment, interface): (java.util.List, contains, java.lang.Comparable)']"
Here is a Java example of creating a sublist of elements from another List using the subList() method:,"['(method, access, interface): (subList(), accesses, java.util.List)']"
"To copy entries the other way, you would have to execute the code mapA.putAll(mapB).",[]
You can sort a Java List using the Collections sort() method.,"['(class, implementation, method): (java.util.Collections, provides, sort())', '(method, execution, interface): (sort(), takes, java.util.List)']"
Inside the while loop you call the Iterator next() method of the Iterator interface to obtain the next element pointed to by the Iterator.,"['(interface, implementation, method): (java.util.Iterator, provides, next())']"
You can convert a Java List to a Java Array using the List toArray() method.,"['(entity, relation, entity): (list, convert, array)']"
"If you call put() more than once with the same key, the latest value passed to put() for that key will overwrite what is already stored in the Map for that key.",[]
"Note that even if we pass a String array of size 0 to the toArray(), the array returned will have all the elements in the List in it.","['(method, execution, class): (java.util.Collection.toArray(), receives, java.lang.String)', '(interface, implementation, method): (java.util.List, implements, java.util.Collection.toArray())']"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.","['(method, execution, interface): (addAll(), takes, java.util.Collection)', '(method, execution, interface): (addAll(), takes, java.util.List)', '(method, execution, interface): (addAll(), takes, java.util.Set)', '(interface, containment, interface): (java.util.Collection, contains, java.util.List)', '(interface, containment, interface): (java.util.Collection, contains, java.util.Set)']"
The value passed to the put() method in the above example is a primitive int.,[]
Obtaining a Stream from a List in Java is done by calling the List stream() method.,[]
Once you have obtained a Stream from a List you can iterate the Stream by calling its forEach() method.,[]
To add elements to a Map you call its put() method.,"['(class, implementation, method): (java.util.Map, provides, java.util.Map.put())']"
Once you have obtained an Iterator you can keep calling its hasNext() method until it returns false.,"['(interface, implementation, method): (java.util.Iterator, provides, hasNext())']"
Here is an example of copying all entries from one Java Map into another via putAll():,[]
"Calling the forEach() method will make the Stream iterate all the element of the Stream internally, and call the Consumer passed as parameter to the forEach() method for each element in the Stream.","['(method, execution, interface): (forEach(), receives, java.util.stream.Stream)', '(method, execution, interface): (forEach(), receives, java.util.function.Consumer)']"
"To get a specific element stored in a Java Map you call its get() method, passing along the key for that element as parameter.","['(class, implementation, method): (java.util.Map, provides, get())']"
It is the last line of this example that calls the List stream() method to obtain the Stream representing the elements in the List.,[]
This method is called isEmpty() and it returns either true or false.,[]
"However, the lambda expression could have calculated the value in any way it needed to - e.g.",[]
"If the objects in the Java List do not implement the Comparable interface, or if you want to sort the objects in another order than their compare() implementation, then you need to use a Comparator implementation (java.util.Comparator).","['(interface, dependency, interface): (java.util.List, depends on, java.lang.Comparable)', '(interface, dependency, interface): (java.util.List, depends on, java.util.Comparator)']"
The Java Map interface has a method called putAll() which can copy all key + value pairs (entries) from another Map instance into itself.,"['(interface, implementation, method): (java.util.Map, provides method, java.util.Map.putAll())']"
"This is different from how put() works, which always insert the value no matter what.",[]
You obtain an Iterator by calling the iterator() method of the List interface.,"['(interface, conversion, interface): (java.util.Iterator, obtained from, java.util.List)']"
"Hence, the compiler knows that only a String can be returned from the get() method.",[]
The replace() method will only insert the new value if there is already an existing value mapped to the key.,[]
