Text,Label1,Label2,Relations
To decrypt data you would have passed cipher text (encrypted data) into the doFinal() or doUpdate() method instead.,"(dofinal(), be similar with, doupdate)","(dofinal(), similar, doupdate)","(dofinal(), be similar with, doupdate)"
As you saw in the previous section when you register a Channel with a Selector the register() method returns a SelectionKey objects,"(register(), returns, selectionkey)","(register(), returns, selectionkey)","(register(), returns, selectionkey)"
You can use addBatch() and executeBatch() methods to execute batch updates.,"(addbatch(), used with, executebatch)","(addbatch(), use and, executebatch)","(addbatch(), used with, executebatch)"
To add an element at the beginning (head) instead of the end of a Java Deque you call the addFirst() method instead.,"(deque, used with, addfirst)","(deque, use and, addfirst)","(deque, used with, addfirst)"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"(queue, contains,poll()); (queue, contains,remove())","(queue, contains,poll()); (queue, contains,remove())","(queue, contains,poll()); (queue, contains,remove())"
a stop() or pause() method too) then you can no longer create your Runnable implementation with a Java lambda expression,"(stop(), be simialr with, pause())","(stop(), simialr, pause())","(stop(), be simialr with, pause())"
Please keep in mind that if your Runnable implementation needs more than just the run() method (e.g.,"(runnable, needs, run)","(runnable, needs, run)","(runnable, needs, run)"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.","(bufferedoutputstream, contains, close)","(bufferedoutputstream, contains, close)","(bufferedoutputstream, contains, close)"
"If the Deque is empty, pollFirst() returns null. This is different than removeFirst() which throws an exception if the Deque is empty.","(pollfirst(), be different from, removefirst)","(pollfirst(), different, removefirst)","(pollfirst(), be different from, removefirst)"
In this example a java.util.ArrayList() instance is created inside the call to setSomeList().,"(java.util.arraylist, call, setsomelist)","(java.util.arraylist, call, setsomelist)","(java.util.arraylist, call, setsomelist)"
"If the Deque is empty, pollLast() returns null. This is different than removeLast() which throws an exception if the Deque is empty.","(polllast(), be different from, removelast)","(polllast(), different, removelast)","(polllast(), be different from, removelast)"
"If the class is marked with the default access modifier, then no other class outside the same Java package can access that class, including its constructors, fields and methods.",,,
"Here is the Car class from before with a single, simple method named getBrand added:","(car, includes, getbrand)","(car, contain, getbrand)","(car, includes, getbrand)"
java.awt.List is the last line of this example that calls the List stream() method to obtain the Stream representing the elements in the List,"(java.awt.list, calls, stream)","(java.awt.list, calls, stream)","(java.awt.list, calls, stream)"
"When you divide classes into multiple Java packages, it becomes easier to figure out where a certain class you are looking for is.",,,
Here is an example of writing a cyclic object graph to RION using the RionObjectWriter writeCyclic() method.,,,
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",,,
Nested Classes and Inheritance The same Java inheritance rules apply to nested classes.,,,
"The formatted() method is only a preview feature that was added together with Java Text Blocks in Java 13, so we do not yet know if it will stay in.",,,
The missed signals problems is the reason that the FairLock implementation shown in the text Starvation and Fairness has turned the QueueObject class into a semaphore with two methods: doWait() and doNotify().,"(FairLock, works_with, QueueObject)","(FairLock, work with, QueueObject)","(FairLock, works_with, QueueObject)"
"Then the example calls Files.copy(), passing the two Path instances as parameters.","(files.copy(), passing, path)","(files.copy(), passing, path)","(files.copy(), passing, path)"
"After running this Java code the isEmpty variable will contain the value true, because the Set size() method returns 0 - because the Set in the example contains no elements.",,,
"The comparison follows the rules for the Comparable interface, meaning the compareTo() method returns:",,,
"The lookingAt() method only matches the regular expression against the beginning of the text, whereas matches() matches the regular expression against the whole text.","(lookingat(), be different from, matches)","(lookingat(), different , matches)","(lookingat(), be different from, matches)"
The Collection interface has two methods to check if a Collection contains one or more certain elements. These are the contains() and containsAll() methods.,"(collection, includes, contains); (collection, includes, containsall); (contains, be similar with, containsall)","(collection, contain, contains); (collection, contain, containsall); (contains, similar, containsall)","(collection, includes, contains); (collection, includes, containsall); (contains, be similar with, containsall)"
"If there is no more data to read from the underlying Reader, then the BufferedReader's readLine() method will return null .","(bufferedreader, includes, readline); (readline(), relies on, reader)","(bufferedreader, contain, readline); (readline(), relies on, reader)","(bufferedreader, includes, readline); (readline(), relies on, reader)"
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.",,,
The Collections reverse() method can reverse the elements in a Java List.,"(collections.reverse(), reverse, list)","(collections.reverse(), reverse, list)","(collections.reverse(), reverse, list)"
This also means that threads calling doWait() on the first MyWaitNotify instance risk being awakened by doNotify() calls on the second MyWaitNotify instance.,"(dowait(), being awakened by, donotify)","(dowait(), awakened, donotify)","(dowait(), being awakened by, donotify)"
"Truck truck = new Truck(); // upcast to Vehicle Vehicle vehicle = truck; // downcast to car again Car car = (Car) vehicle; The Truck object can be upcast to a Vehicle object, but it cannot be downcast to a Car object later.","(truck, upcast to, vehicle); (vehicle, cannot upcast to, car)","(truck, upcast to, vehicle); (vehicle, cannot upcast to, car)","(truck, upcast to, vehicle); (vehicle, cannot upcast to, car)"
You can read a Java float from the DataInputStream using its readFloat() method.,,,
The instanceof instruction can determine whether a given object is an instance of some class.,"",,""
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,"(collections.sort(), takes as parameter, comparator)","(collections.sort(), takes as parameter, comparator)","(collections.sort(), takes as parameter, comparator)"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.","(simpledateformat, formatting, date); (simpledateformat, formatting into, stringbuffer)","(simpledateformat, formatting, date); (simpledateformat, formatting into, stringbuffer)","(simpledateformat, formatting, date); (simpledateformat, formatting into, stringbuffer)"
The String class has several other useful methods than the ones described in this tutorial.,"","",""
Here is an example of peeking at the first element of a Java Deque using the peek() method:,"(deque, peeking, peek)","(deque, peeking, peek)","(deque, peeking, peek)"
Here is a Java method override example: public class Vehicle { String licensePlate = null; public void setLicensePlate(String licensePlate) { this.licensePlate = licensePlate; } } public class Car extends Vehicle { public void setLicensePlate(String license) { this.licensePlate = license.toLowerCase(); } } Notice how both the Vehicle class and the Car class defines a method called setLicensePlate().,"(car, contains,setLicensePlate()); (vehicle, contains,setLicensePlate())","(car, contains,setLicensePlate()); (vehicle, contains,setLicensePlate())","(car, contains,setLicensePlate()); (vehicle, contains,setLicensePlate())"
"TreeSet also guarantees the order of the elements when iterated, but the order is the sorting order of the elements. In other words, the order in which the elements whould be sorted if you used a Collections.sort() on a List or array containing these elements. This order is determined either by their natural order (if they implement Comparable), or by a specific Comparator implementation","(comparable, be simialr with, comparator)","(comparable, be simialr with, comparator)","(comparable, be simialr with, comparator)"
The Java OutputStreamWriter is a subclass of the Java Writer class.,"(outputstreamwriter, subclass of, writer)","(outputstreamwriter, subclass of, writer)","(outputstreamwriter, subclass of, writer)"
"You can obtain both reference and stamp from an AtomicStampedReference in a single, atomic operation using the get() method.","(atomicstampedreference, obtain, get)","(atomicstampedreference, obtain, get)","(atomicstampedreference, obtain, get)"
The PrintWriter class has all the same methods as the PrintStream except for the methods to write raw bytes.,"(printwriter, be similar with, printstream)","(printwriter, be similar with, printstream)","(printwriter, be similar with, printstream)"
The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference and the stored stamp with an expected stamp and if they two references and stamps are the same (not equal as in equals() but same as in ==) then a new reference can be set on the AtomicStampedReference instance,"(compareandset(), works_with, atomicstampedreference)","(compareandset(), works_with, atomicstampedreference)","(compareandset(), works_with, atomicstampedreference)"
"By calling flush() you can assure that any buffered data will be flushed (written) to disk (or network, or whatever else the destination of your OutputStream has).",,,
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"(atomicintegerarray, contains, addandget())","(atomicintegerarray, contains, addandget())","(atomicintegerarray, contains, addandget())"
"Here is diagram illustrating a class called Vehicle, which has two subclasses called Car and Truck.","(vehicle, has subclass, car); (vehicle, has subclass, truck)","(vehicle, has subclass, car); (vehicle, has subclass, truck)","(vehicle, has subclass, car); (vehicle, has subclass, truck)"
JCA is structured around some central general purpose classes and interfaces.,,,
The static method matches() creates a new matcher and returns it.,"(matches(), creates, matcher)","(matches(), creates, matcher)","(matches(), creates, matcher)"
"The serviceMock instance passed to the getMock() method should be the mock object obtained from the mockService factory, using the container.instance(""mockService"") method call.","(getmock(), relies on, instance)","(getmock(), relies on, instance)","(getmock(), relies on, instance)"
"However, the Cache class may choose to make the CacheEntry class visible to the outside world, so they can access more than just the cached value (for instance information about when the value was last refreshed etc.","(cache, works with, cacheentry)","(cache, works with, cacheentry)","(cache, works with, cacheentry)"
It is also possible to create other types of KeyStore instance by passing a different parameter to the getInstance() method.,"(getinstance(), create, keystore)","(getinstance(), create, keystore)","(getinstance(), create, keystore)"
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",,,
The Java Map interface has a getOrDefault() method which can return a default value supplied by you - in case no value is stored in the Map by the given key.,"(map, includes, getordefault)","(map, includes, getordefault)","(map, includes, getordefault)"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","(compareto(), relies on, nullpointerexception)","(compareto(), relies on, nullpointerexception)","(compareto(), relies on, nullpointerexception)"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"(resourcebundle, access, getstring); (resourcebundle, access, getobject)","(resourcebundle, access, getstring); (resourcebundle, access, getobject)","(resourcebundle, access, getstring); (resourcebundle, access, getobject)"
Using Java Reflection you can inspect the constructors of classes and instantiate objects at runtime.,,,
"The ReentrantLock hasQueuedThreads() method returns true if any threads are queued up waiting to lock this Lock, and false if not.","(reentrantlock, includes, hasqueuedthreads)","(reentrantlock, includes, hasqueuedthreads)","(reentrantlock, includes, hasqueuedthreads)"
"If you have multiple blocks of data to include in the same message digest, call the update() method and finish off with a call to digest().","(update(), finish off with a call to, digest)","(update(), finish off with a call to, digest)","(update(), finish off with a call to, digest)"
Reading a byte from a Java RandomAccessFile is done using its read() method.,"(randomaccessfile, reading a byte, read)","(randomaccessfile, reading a byte, read)","(randomaccessfile, reading a byte, read)"
"Non-static nested classes (inner classes) have access to the fields of the enclosing class, even if they are declared private.","","",""
Here is an example of removing the first element a Java Deque using the remove() method:,"(deque, using, remove)","(deque, using, remove)","(deque, using, remove)"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"(localdatetime, create, now)","(localdatetime, create, now)","(localdatetime, create, now)"
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"(sortedmap, contains, headmap)","(sortedmap, contains, headmap)","(sortedmap, contains, headmap)"
The AtomicBoolean class is located in the java.util.concurrent.atomic package so the full class name is java.util.concurrent.atomic.AtomicBoolean,"(java.util.concurrent.atomic, includes, java.util.concurrent.atomic.atomicboolean)","(java.util.concurrent.atomic, contain, java.util.concurrent.atomic.atomicboolean)","(java.util.concurrent.atomic, includes, java.util.concurrent.atomic.atomicboolean)"
Only the full Java SDK contains the Java compiler which turns your .java source files into byte code .class files.,"(Java SDK, contains, Java compiler)","(Java SDK, contains, Java compiler)","(Java SDK, contains, Java compiler)"
The RionWriter contains a method named writeBytes() which can be used to write a RION Bytes field to the destination byte array.,"(rionwriter, contains, writebytes)","(rionwriter, contains, writebytes)","(rionwriter, contains, writebytes)"
Here is an example of obtaining the current position of a RandomAccessFile using its getFilePointer() method:,"(randomaccessfile, collaboration, getfilepointer)","(randomaccessfile, collaboration, getfilepointer)","(randomaccessfile, collaboration, getfilepointer)"
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).","(get(), returns, Java Object)","(get(), returns, Java Object)","(get(), returns, Java Object)"
Here is an example of obtaining the Comparator used by a SortedSet via the comparator() method:,"(comparator, used by, sortedset)); (comparator(), obtain, comparator)","(comparator, used by, sortedset)); (comparator(), obtain, comparator)","(comparator, used by, sortedset)); (comparator(), obtain, comparator)"
The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method,"(dowait(), collaboration, synchronized); (unlock(), collaboration, synchronized); (dowait(), collaboration, unlock())","(dowait(), collaboration, synchronized); (unlock(), collaboration, synchronized); (dowait(), collaboration, unlock())","(dowait(), collaboration, synchronized); (unlock(), collaboration, synchronized); (dowait(), collaboration, unlock())"
If a thread calls lock() twice without calling unlock() in between the second call to lock() will block,"(lock(), relies on, unlock)","(lock(), relies on, unlock)","(lock(), relies on, unlock)"
It is worth noting that both unlockRead() and unlockWrite() calls notifyAll() rather than notify().,"(unlockread(), be similar with, unlockwrite); (unlockread(), call, notifyAll); (unlockread(), call, notify); (notifyAll(), rather than, notify)","(unlockread(), similar, unlockwrite); (unlockread(), call, notifyAll); (unlockread(), call, notify); (notifyAll(), rather than, notify)","(unlockread(), be similar with, unlockwrite); (unlockread(), call, notifyAll); (unlockread(), call, notify); (notifyAll(), rather than, notify)"
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","(wait(), replacement, notify)","(wait(), replacement, notify)","(wait(), replacement, notify)"
The Files.exists() method checks if a given Path exists in the file system.,"(files.exists(), checks, path)","(files.exists(), checks, path)","(files.exists(), checks, path)"
"You don't have to define a constructor for a class, but if you don't define any constructor, the Java compiler will insert a default, no-argument constructor for you.",,,
"use Integer.valueOf(1) multiple times as monitor object), then you risk that those synchronized blocks all get synchronized on the same object.",,,
After running this code the size variable should contain the value 3 - because the Queue contains 3 elements at the time size() is called.,"(queue, collaboration, size)","(queue, collaboration, size)","(queue, collaboration, size)"
java.io.InputStreamReader example creates a FileInputStream and wraps it in a InputStreamReader,"(InputStreamReader, creates, FileInputStream)","(InputStreamReader, creates, FileInputStream)","(InputStreamReader, creates, FileInputStream)"
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.","(hashcode(), compares, equals)","(hashcode(), compares, equals)","(hashcode(), compares, equals)"
If your Java SortedMap was created using a Comparator you can obtain the Comparator used via the SortedMap comparator() method,"(SortedMap, created, Comparator)","(SortedMap, created, Comparator)","(SortedMap, created, Comparator)"
The AtomicReferenceArray in the java.util.concurrent.atomic package is an array of object references which can be updated atomically.,"(java.util.concurrent.atomic, includes, atomicreferencearray)","(java.util.concurrent.atomic, includes, atomicreferencearray)","(java.util.concurrent.atomic, includes, atomicreferencearray)"
"As parameter to the Arrays.sort() method we pass the employee array, and a Comparator implementation which can determine the order of Employee objects.","(arrays.sort(), relies on, comparator)","(arrays.sort(), relies on, comparator)","(arrays.sort(), relies on, comparator)"
"If the Deque is empty, poll() returns null. This is different than remove() which throws an exception if the Deque is empty. ","(poll(), be different from, remove)","(poll(), different, remove)","(poll(), be different from, remove)"
If you look at the example in the previous section imagine what happens if an exception is thrown between the call to lock.lock() and lock.unlock(),"(lock.lock(), used with, lock.unlock)","(lock.lock(), used with, lock.unlock)","(lock.lock(), used with, lock.unlock)"
After running this Java example the removedElement variable will point to the String object element 2 - since that element was the last element of the Deque when removeLast() was called.,"(removelast(), was called, deque)","(removelast(), was called, deque)","(removelast(), was called, deque)"
"The channel returned by the SelectionKey.channel() method should be cast to the channel you need to work with, e.g a ServerSocketChannel or SocketChannel etc.","(selectionkey.channel(), cast to, serversocketchannel); (selectionkey.channel(), cast to, socketchannel)","(selectionkey.channel(), cast to, serversocketchannel); (selectionkey.channel(), cast to, socketchannel)","(selectionkey.channel(), cast to, serversocketchannel); (selectionkey.channel(), cast to, socketchannel)"
Java allows this because the class MyInterfaceImpl implements the MyInterface interface.,"(myinterfaceimpl, implements, myinterface)","(myinterfaceimpl, implements, myinterface)","(myinterfaceimpl, implements, myinterface)"
"Once allocated, no other allocate() call can allocate the same block until it has been freed.","","",""
"But, since the thread waiting in lock() has not yet called queueObject.wait(), the call to queueObject.notify() passes into oblivion.","(lock(), collaboration, wait); (notify, relies on, wait)","(lock(), collaboration, wait); (notify, relies on, wait)","(lock(), collaboration, wait); (notify, relies on, wait)"
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.","(movetoinsertrow, signal, resultset)","(movetoinsertrow, signal, resultset)","(movetoinsertrow, signal, resultset)"
Inside the inner() method the thread will again try to lock the Lock instance.,"(inner(), try to lock, lock)","(inner(), try to lock, lock)","(inner(), try to lock, lock)"
You can convert a Java List to a Java Array using the List toArray() method.,"(list, convert, array)","(list, convert, array)","(list, convert, array)"
"More precisely, a Java enum type is a special kind of Java class.","","",""
The read() and write() calls on the streams are blocking meaning if you try to use the same thread to both read and write this may result in the thread deadlocking itself,"(read(), used with, write)","(read(), used with, write)","(read(), used with, write)"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"(readnumberfromurl(), needs to declare throwing, badurlexception); (readnumberfromurl(), needs to declare throwing, badnumberexception); (BadUrlException, are thrown from, readdatafromurl); (BadNumberException, are thrown from, converdata)","(readnumberfromurl(), needs to declare throwing, badurlexception); (readnumberfromurl(), needs to declare throwing, badnumberexception); (BadUrlException, are thrown from, readdatafromurl); (BadNumberException, are thrown from, converdata)","(readnumberfromurl(), needs to declare throwing, badurlexception); (readnumberfromurl(), needs to declare throwing, badnumberexception); (BadUrlException, are thrown from, readdatafromurl); (BadNumberException, are thrown from, converdata)"
"In fact, a subclass constructor is required to call one of the constructors in the superclass as the very first action inside the constructor body.","","",""
"The waiting thread would call doWait(), and the notifying thread would call doNotify().","(dowait(), be different from, donotify)","(dowait(), different, donotify)","(dowait(), be different from, donotify)"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,"(stringreader, used with, stringwriter)","(stringreader, used with, stringwriter)","(stringreader, used with, stringwriter)"
Here is an example of adding an element to the beginning of a Java Deque using the push() method:,"(deque, adding an element, push)","(deque, adding an element, push)","(deque, adding an element, push)"
java.io.CharArrayReader is also possible to write data to an ByteArrayOutputStream or CharArrayWriter,"(java.io.chararrayreader, write data to, java.io.bytearrayoutputstream); (java.io.chararrayreader, write data to, java.io.chararraywriter)","(java.io.chararrayreader, write data to, java.io.bytearrayoutputstream); (java.io.chararrayreader, write data to, java.io.chararraywriter)","(java.io.chararrayreader, write data to, java.io.bytearrayoutputstream); (java.io.chararrayreader, write data to, java.io.chararraywriter)"
The removeLast() method removes the last element of a Deque - meaning the element at the tail of the Deque.,"(deque, collaboration, removelast)","(deque, collaboration, removelast)","(deque, collaboration, removelast)"
"The HttpServlet class has methods you can override for each HTTP method (GET, POST etc.).","(httpservlet, has methods for, get); (httpservlet, has methods for, post)","(httpservlet, for, get); (httpservlet, for, post)","(httpservlet, has methods for, get); (httpservlet, has methods for, post)"
The walkFileTree() method takes a Path instance and a FileVisitor as parameters.,"(walkfiletree, takes as parameters, path); (walkfiletree, takes as parameters, filevisitor)","(walkfiletree, takes as parameters, path); (walkfiletree, takes as parameters, filevisitor)","(walkfiletree, takes as parameters, path); (walkfiletree, takes as parameters, filevisitor)"
Here is an example of writing a Java Calendar as a RION UTC field to the destination byte array using the RionWriter writeUtc() method:,"(rionwriter, writing, Java Calendar)","(rionwriter, writing, Java Calendar)","(rionwriter, writing, Java Calendar)"
"If not, it processes that char and continues reading until -1 is returned from the BufferedReader read() method.","","",""
"You may be tempted then to always call notifyAll() instead notify(), but this is a bad idea performance wise.","(notifyall(), rather than, notify)","(notifyall(), rather than, notify)","(notifyall(), rather than, notify)"
Here is an example of obtaining the CertPath type via getType():,"(getType, obtaining, CertPath)","(getType, obtaining, CertPath)","(getType, obtaining, CertPath)"
The Java InputStreamReader class java.io.InputStreamReader wraps a Java InputStream thereby turning the byte based InputStream into a character based Reader,"(java.io.inputstreamreader, wraps, java.io.inputstream); (java.io.inputstreamreader, turning into, reader)","(java.io.inputstreamreader, wraps, java.io.inputstream); (java.io.inputstreamreader, turning into, reader)","(java.io.inputstreamreader, wraps, java.io.inputstream); (java.io.inputstreamreader, turning into, reader)"
The assertNull() and assertNotNull() methods test a single variable to see if it is null or not null.,"(assertnull, is different from, assertnotnull)","(assertnull, different, assertnotnull)","(assertnull, is different from, assertnotnull)"
"What matters is, that once the while loop ends, and you are done writing data to the OutputStream, its close() method is called, which closes the OutputStream .","(outputstream, is closed by, close)","(outputstream, is closed by, close)","(outputstream, is closed by, close)"
The package structure (directory structure) from the source directory will be preserved under the class directory.,"","",""
The second method of reading data from an AsynchronousFileChannel is to call the read() method version that takes a CompletionHandler as a parameter.,"(read(), relies on, completionhandler)","(read(), relies on, completionhandler)","(read(), relies on, completionhandler)"
"Assuming that the MyService class implements an interface called IService, you can create a mock implementation of the IService interface using this code:","(myservice, implements, iservice)","(myservice, implements, iservice)","(myservice, implements, iservice)"
"You will typically also get more help from your IDE's code completion when writing it, because the IDE will recognize both the doProcess() and process() methods.","(doprocess(), be simialr with, process)","(doprocess(), simialr, process)","(doprocess(), be simialr with, process)"
"You have to implement the FileVisitor interface yourself, and pass an instance of your implementation to the walkFileTree() method.","(filevisitor, implementation, walkfiletree)","(filevisitor, implementation, walkfiletree)","(filevisitor, implementation, walkfiletree)"
The BlockingQueue put() method inserts the element into the BlockingQueue if it has space for it internally.,"(blockingqueue, inserts, put)","(blockingqueue, inserts, put)","(blockingqueue, inserts, put)"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.","(compareandset(), set, atomicstampedreference);","(compareandset(), set, atomicstampedreference);","(compareandset(), set, atomicstampedreference);"
"The Objects.equals(o, element) statement is used to check if the parameter object o matches a given element in the BlockingQueue.","(objects.equals, checks, blockingqueue)","(objects.equals, checks, blockingqueue)","(objects.equals, checks, blockingqueue)"
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","(calculate(), relies on, add); (calculate(), relies on, subtract); (calculate(), relies on, lock); (add(), relies on, lock); (calculator, includes, lock)","(calculate(), relies on, add); (calculate(), relies on, subtract); (calculate(), relies on, lock); (add(), relies on, lock); (calculator, includes, lock)","(calculate(), relies on, add); (calculate(), relies on, subtract); (calculate(), relies on, lock); (add(), relies on, lock); (calculator, includes, lock)"
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.","","",""
The second way you can iterate the elements of a Java Iterable is by obtaining a Java Iterator from it by calling the Iterable iterator() method.,"(iterable, obtaining, iterator); (iterable, calling, iterator)","(iterable, obtaining, iterator); (iterable, calling, iterator)","(iterable, obtaining, iterator); (iterable, calling, iterator)"
The calls to myUnit.getTheSameObject() are inlined into the assertSame() and assertNotSame() method calls.,"(getTheSameObject, depends on, assertSame); (getTheSameObject, depends on, assertnotsame)","(getTheSameObject, depends on, assertSame); (getTheSameObject, depends on, assertnotsame)","(getTheSameObject, depends on, assertSame); (getTheSameObject, depends on, assertnotsame)"
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.","(java.util.concurrent.concurrentnavigablemap, is a, java.util.navigablemap)","(java.util.concurrent.concurrentnavigablemap, is a, java.util.navigablemap)","(java.util.concurrent.concurrentnavigablemap, is a, java.util.navigablemap)"
You add elements to the beginning end of a Deque using the add() method.,"(deque, add elements to, add)","(deque, add elements to, add)","(deque, add elements to, add)"
When the thread calling lock() right after calls queueObject.wait() it will remain blocked until some other thread calls unlock() which may never happen,"(lock(), relies on, wait); (wait(), relies on, unlock)","(lock(), relies on, wait); (wait(), relies on, unlock)","(lock(), relies on, wait); (wait(), relies on, unlock)"
"One way to solve this problem would be to create a common superclass for the Vehicle and Driver class, which has the storage and serialization methods.","","",""
"The Java Stream findFirst() method finds the first element in the Stream, if any elements are present in the Stream.","(stream, includes, findfirst)","(stream, contain, findfirst)","(stream, includes, findfirst)"
You can set the value of an AtomicBoolean using the set() method.,"(atomicboolean, set(), set)","(atomicboolean, set(), set)","(atomicboolean, set(), set)"
The only difference is that you call beginTransactionScope() and endTransactionScope() instead.,"(begintransactionscope(), is different from, endtransactionscope)","(begintransactionscope(), different, endtransactionscope)","(begintransactionscope(), is different from, endtransactionscope)"
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,"(map, referred to as, size)","(map, referred to as, size)","(map, referred to as, size)"
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.","(compareandset(), set, atomicreference)","(compareandset(), set, atomicreference)","(compareandset(), set, atomicreference)"
Here is an example of obtaining the last key of a SortedMap via its lastKey() method:,"(sortedmap, obtain, lastkey)","(sortedmap, obtain, lastkey)","(sortedmap, obtain, lastkey)"
You can obtain the log level of a Logger using the getLevel() method:,"(logger, obtain, getlevel)","(logger, obtain, getlevel)","(logger, obtain, getlevel)"
By calling iterator() you can obtain an iterator from the given Collection.,"(iterator(), obtain, collection)","(iterator(), obtain, collection)","(iterator(), obtain, collection)"
