"('class', 'collaboration', 'class')"
"('interface', 'modification', 'interface')"
"('class', 'performance', 'class')"
"('class', 'performance', 'method')"
"('class', 'performance', 'function')"
"('class', 'performance', 'library')"
"('class', 'performance', 'property')"
"('class', 'performance', 'interface')"
"('method', 'performance', 'class')"
"('method', 'performance', 'method')"
"('method', 'performance', 'function')"
"('method', 'performance', 'library')"
"('method', 'performance', 'property')"
"('method', 'performance', 'interface')"
"('function', 'performance', 'class')"
"('function', 'performance', 'method')"
"('function', 'performance', 'function')"
"('function', 'performance', 'library')"
"('function', 'performance', 'property')"
"('function', 'performance', 'interface')"
"('library', 'performance', 'class')"
"('library', 'performance', 'method')"
"('library', 'performance', 'function')"
"('library', 'performance', 'library')"
"('library', 'performance', 'property')"
"('library', 'performance', 'interface')"
"('property', 'performance', 'class')"
"('property', 'performance', 'method')"
"('property', 'performance', 'function')"
"('property', 'performance', 'library')"
"('property', 'performance', 'property')"
"('property', 'performance', 'interface')"
"('interface', 'performance', 'class')"
"('interface', 'performance', 'method')"
"('interface', 'performance', 'function')"
"('interface', 'performance', 'library')"
"('interface', 'performance', 'property')"
"('interface', 'performance', 'interface')"
"('class', 'difference', 'class')"
"('class', 'difference', 'method')"
"('class', 'difference', 'function')"
"('class', 'difference', 'library')"
"('class', 'difference', 'property')"
"('class', 'difference', 'interface')"
"('method', 'difference', 'class')"
"('method', 'difference', 'method')"
"('method', 'difference', 'function')"
"('method', 'difference', 'library')"
"('method', 'difference', 'property')"
"('method', 'difference', 'interface')"
"('function', 'difference', 'class')"
"('function', 'difference', 'method')"
"('function', 'difference', 'function')"
"('function', 'difference', 'library')"
"('function', 'difference', 'property')"
"('function', 'difference', 'interface')"
"('library', 'difference', 'class')"
"('library', 'difference', 'method')"
"('library', 'difference', 'function')"
"('library', 'difference', 'library')"
"('library', 'difference', 'property')"
"('library', 'difference', 'interface')"
"('property', 'difference', 'class')"
"('property', 'difference', 'method')"
"('property', 'difference', 'function')"
"('property', 'difference', 'library')"
"('property', 'difference', 'property')"
"('property', 'difference', 'interface')"
"('interface', 'difference', 'class')"
"('interface', 'difference', 'method')"
"('interface', 'difference', 'function')"
"('interface', 'difference', 'library')"
"('interface', 'difference', 'property')"
"('interface', 'difference', 'interface')"
"('class', 'dependency', 'class')"
"('class', 'dependency', 'method')"
"('class', 'dependency', 'function')"
"('class', 'dependency', 'library')"
"('class', 'dependency', 'property')"
"('class', 'dependency', 'interface')"
"('method', 'dependency', 'class')"
"('method', 'dependency', 'method')"
"('method', 'dependency', 'function')"
"('method', 'dependency', 'library')"
"('method', 'dependency', 'property')"
"('method', 'dependency', 'interface')"
"('function', 'dependency', 'class')"
"('function', 'dependency', 'method')"
"('function', 'dependency', 'function')"
"('function', 'dependency', 'library')"
"('function', 'dependency', 'property')"
"('function', 'dependency', 'interface')"
"('library', 'dependency', 'class')"
"('library', 'dependency', 'method')"
"('library', 'dependency', 'function')"
"('library', 'dependency', 'library')"
"('library', 'dependency', 'property')"
"('library', 'dependency', 'interface')"
"('property', 'dependency', 'class')"
"('property', 'dependency', 'method')"
"('property', 'dependency', 'function')"
"('property', 'dependency', 'library')"
"('property', 'dependency', 'property')"
"('property', 'dependency', 'interface')"
"('interface', 'dependency', 'class')"
"('interface', 'dependency', 'method')"
"('interface', 'dependency', 'function')"
"('interface', 'dependency', 'library')"
"('interface', 'dependency', 'property')"
"('interface', 'dependency', 'interface')"
"('class', 'replacement', 'class')"
"('class', 'replacement', 'method')"
"('class', 'replacement', 'function')"
"('class', 'replacement', 'library')"
"('class', 'replacement', 'property')"
"('class', 'replacement', 'interface')"
"('method', 'replacement', 'class')"
"('method', 'replacement', 'method')"
"('method', 'replacement', 'function')"
"('method', 'replacement', 'library')"
"('method', 'replacement', 'property')"
"('method', 'replacement', 'interface')"
"('function', 'replacement', 'class')"
"('function', 'replacement', 'method')"
"('function', 'replacement', 'function')"
"('function', 'replacement', 'library')"
"('function', 'replacement', 'property')"
"('function', 'replacement', 'interface')"
"('library', 'replacement', 'class')"
"('library', 'replacement', 'method')"
"('library', 'replacement', 'function')"
"('library', 'replacement', 'library')"
"('library', 'replacement', 'property')"
"('library', 'replacement', 'interface')"
"('property', 'replacement', 'class')"
"('property', 'replacement', 'method')"
"('property', 'replacement', 'function')"
"('property', 'replacement', 'library')"
"('property', 'replacement', 'property')"
"('property', 'replacement', 'interface')"
"('interface', 'replacement', 'class')"
"('interface', 'replacement', 'method')"
"('interface', 'replacement', 'function')"
"('interface', 'replacement', 'library')"
"('interface', 'replacement', 'property')"
"('interface', 'replacement', 'interface')"
"('class', 'implementation', 'class')"
"('class', 'implementation', 'method')"
"('class', 'implementation', 'function')"
"('class', 'implementation', 'library')"
"('class', 'implementation', 'property')"
"('class', 'implementation', 'interface')"
"('method', 'implementation', 'class')"
"('method', 'implementation', 'method')"
"('method', 'implementation', 'function')"
"('method', 'implementation', 'library')"
"('method', 'implementation', 'property')"
"('method', 'implementation', 'interface')"
"('function', 'implementation', 'class')"
"('function', 'implementation', 'method')"
"('function', 'implementation', 'function')"
"('function', 'implementation', 'library')"
"('function', 'implementation', 'property')"
"('function', 'implementation', 'interface')"
"('library', 'implementation', 'class')"
"('library', 'implementation', 'method')"
"('library', 'implementation', 'function')"
"('library', 'implementation', 'library')"
"('library', 'implementation', 'property')"
"('library', 'implementation', 'interface')"
"('property', 'implementation', 'class')"
"('property', 'implementation', 'method')"
"('property', 'implementation', 'function')"
"('property', 'implementation', 'library')"
"('property', 'implementation', 'property')"
"('property', 'implementation', 'interface')"
"('interface', 'implementation', 'class')"
"('interface', 'implementation', 'method')"
"('interface', 'implementation', 'function')"
"('interface', 'implementation', 'library')"
"('interface', 'implementation', 'property')"
"('interface', 'implementation', 'interface')"
"('class', 'translation', 'class')"
"('class', 'translation', 'method')"
"('class', 'translation', 'function')"
"('class', 'translation', 'library')"
"('class', 'translation', 'property')"
"('class', 'translation', 'interface')"
"('method', 'translation', 'class')"
"('method', 'translation', 'method')"
"('method', 'translation', 'function')"
"('method', 'translation', 'library')"
"('method', 'translation', 'property')"
"('method', 'translation', 'interface')"
"('function', 'translation', 'class')"
"('function', 'translation', 'method')"
"('function', 'translation', 'function')"
"('function', 'translation', 'library')"
"('function', 'translation', 'property')"
"('function', 'translation', 'interface')"
"('library', 'translation', 'class')"
"('library', 'translation', 'method')"
"('library', 'translation', 'function')"
"('library', 'translation', 'library')"
"('library', 'translation', 'property')"
"('library', 'translation', 'interface')"
"('property', 'translation', 'class')"
"('property', 'translation', 'method')"
"('property', 'translation', 'function')"
"('property', 'translation', 'library')"
"('property', 'translation', 'property')"
"('property', 'translation', 'interface')"
"('interface', 'translation', 'class')"
"('interface', 'translation', 'method')"
"('interface', 'translation', 'function')"
"('interface', 'translation', 'library')"
"('interface', 'translation', 'property')"
"('interface', 'translation', 'interface')"
"('class', 'limitation', 'class')"
"('class', 'limitation', 'method')"
"('class', 'limitation', 'function')"
"('class', 'limitation', 'library')"
"('class', 'limitation', 'property')"
"('class', 'limitation', 'interface')"
"('method', 'limitation', 'class')"
"('method', 'limitation', 'method')"
"('method', 'limitation', 'function')"
"('method', 'limitation', 'library')"
"('method', 'limitation', 'property')"
"('method', 'limitation', 'interface')"
"('function', 'limitation', 'class')"
"('function', 'limitation', 'method')"
"('function', 'limitation', 'function')"
"('function', 'limitation', 'library')"
"('function', 'limitation', 'property')"
"('function', 'limitation', 'interface')"
"('library', 'limitation', 'class')"
"('library', 'limitation', 'method')"
"('library', 'limitation', 'function')"
"('library', 'limitation', 'library')"
"('library', 'limitation', 'property')"
"('library', 'limitation', 'interface')"
"('property', 'limitation', 'class')"
"('property', 'limitation', 'method')"
"('property', 'limitation', 'function')"
"('property', 'limitation', 'library')"
"('property', 'limitation', 'property')"
"('property', 'limitation', 'interface')"
"('interface', 'limitation', 'class')"
"('interface', 'limitation', 'method')"
"('interface', 'limitation', 'function')"
"('interface', 'limitation', 'library')"
"('interface', 'limitation', 'property')"
"('interface', 'limitation', 'interface')"
"('class', 'extension', 'class')"
"('class', 'extension', 'method')"
"('class', 'extension', 'function')"
"('class', 'extension', 'library')"
"('class', 'extension', 'property')"
"('class', 'extension', 'interface')"
"('method', 'extension', 'class')"
"('method', 'extension', 'method')"
"('method', 'extension', 'function')"
"('method', 'extension', 'library')"
"('method', 'extension', 'property')"
"('method', 'extension', 'interface')"
"('function', 'extension', 'class')"
"('function', 'extension', 'method')"
"('function', 'extension', 'function')"
"('function', 'extension', 'library')"
"('function', 'extension', 'property')"
"('function', 'extension', 'interface')"
"('library', 'extension', 'class')"
"('library', 'extension', 'method')"
"('library', 'extension', 'function')"
"('library', 'extension', 'library')"
"('library', 'extension', 'property')"
"('library', 'extension', 'interface')"
"('property', 'extension', 'class')"
"('property', 'extension', 'method')"
"('property', 'extension', 'function')"
"('property', 'extension', 'library')"
"('property', 'extension', 'property')"
"('property', 'extension', 'interface')"
"('interface', 'extension', 'class')"
"('interface', 'extension', 'method')"
"('interface', 'extension', 'function')"
"('interface', 'extension', 'library')"
"('interface', 'extension', 'property')"
"('interface', 'extension', 'interface')"
"('class', 'delegation', 'class')"
"('class', 'delegation', 'method')"
"('class', 'delegation', 'function')"
"('class', 'delegation', 'library')"
"('class', 'delegation', 'property')"
"('class', 'delegation', 'interface')"
"('method', 'delegation', 'class')"
"('method', 'delegation', 'method')"
"('method', 'delegation', 'function')"
"('method', 'delegation', 'library')"
"('method', 'delegation', 'property')"
"('method', 'delegation', 'interface')"
"('function', 'delegation', 'class')"
"('function', 'delegation', 'method')"
"('function', 'delegation', 'function')"
"('function', 'delegation', 'library')"
"('function', 'delegation', 'property')"
"('function', 'delegation', 'interface')"
"('library', 'delegation', 'class')"
"('library', 'delegation', 'method')"
"('library', 'delegation', 'function')"
"('library', 'delegation', 'library')"
"('library', 'delegation', 'property')"
"('library', 'delegation', 'interface')"
"('property', 'delegation', 'class')"
"('property', 'delegation', 'method')"
"('property', 'delegation', 'function')"
"('property', 'delegation', 'library')"
"('property', 'delegation', 'property')"
"('property', 'delegation', 'interface')"
"('interface', 'delegation', 'class')"
"('interface', 'delegation', 'method')"
"('interface', 'delegation', 'function')"
"('interface', 'delegation', 'library')"
"('interface', 'delegation', 'property')"
"('interface', 'delegation', 'interface')"
"('class', 'retrieval', 'class')"
"('class', 'retrieval', 'method')"
"('class', 'retrieval', 'function')"
"('class', 'retrieval', 'library')"
"('class', 'retrieval', 'property')"
"('class', 'retrieval', 'interface')"
"('method', 'retrieval', 'class')"
"('method', 'retrieval', 'method')"
"('method', 'retrieval', 'function')"
"('method', 'retrieval', 'library')"
"('method', 'retrieval', 'property')"
"('method', 'retrieval', 'interface')"
"('function', 'retrieval', 'class')"
"('function', 'retrieval', 'method')"
"('function', 'retrieval', 'function')"
"('function', 'retrieval', 'library')"
"('function', 'retrieval', 'property')"
"('function', 'retrieval', 'interface')"
"('library', 'retrieval', 'class')"
"('library', 'retrieval', 'method')"
"('library', 'retrieval', 'function')"
"('library', 'retrieval', 'library')"
"('library', 'retrieval', 'property')"
"('library', 'retrieval', 'interface')"
"('property', 'retrieval', 'class')"
"('property', 'retrieval', 'method')"
"('property', 'retrieval', 'function')"
"('property', 'retrieval', 'library')"
"('property', 'retrieval', 'property')"
"('property', 'retrieval', 'interface')"
"('interface', 'retrieval', 'class')"
"('interface', 'retrieval', 'method')"
"('interface', 'retrieval', 'function')"
"('interface', 'retrieval', 'library')"
"('interface', 'retrieval', 'property')"
"('interface', 'retrieval', 'interface')"
"('class', 'reference', 'class')"
"('class', 'reference', 'method')"
"('class', 'reference', 'function')"
"('class', 'reference', 'library')"
"('class', 'reference', 'property')"
"('class', 'reference', 'interface')"
"('method', 'reference', 'class')"
"('method', 'reference', 'method')"
"('method', 'reference', 'function')"
"('method', 'reference', 'library')"
"('method', 'reference', 'property')"
"('method', 'reference', 'interface')"
"('function', 'reference', 'class')"
"('function', 'reference', 'method')"
"('function', 'reference', 'function')"
"('function', 'reference', 'library')"
"('function', 'reference', 'property')"
"('function', 'reference', 'interface')"
"('library', 'reference', 'class')"
"('library', 'reference', 'method')"
"('library', 'reference', 'function')"
"('library', 'reference', 'library')"
"('library', 'reference', 'property')"
"('library', 'reference', 'interface')"
"('property', 'reference', 'class')"
"('property', 'reference', 'method')"
"('property', 'reference', 'function')"
"('property', 'reference', 'library')"
"('property', 'reference', 'property')"
"('property', 'reference', 'interface')"
"('interface', 'reference', 'class')"
"('interface', 'reference', 'method')"
"('interface', 'reference', 'function')"
"('interface', 'reference', 'library')"
"('interface', 'reference', 'property')"
"('interface', 'reference', 'interface')"
"('class', 'opposition', 'class')"
"('class', 'opposition', 'method')"
"('class', 'opposition', 'function')"
"('class', 'opposition', 'library')"
"('class', 'opposition', 'property')"
"('class', 'opposition', 'interface')"
"('method', 'opposition', 'class')"
"('method', 'opposition', 'method')"
"('method', 'opposition', 'function')"
"('method', 'opposition', 'library')"
"('method', 'opposition', 'property')"
"('method', 'opposition', 'interface')"
"('function', 'opposition', 'class')"
"('function', 'opposition', 'method')"
"('function', 'opposition', 'function')"
"('function', 'opposition', 'library')"
"('function', 'opposition', 'property')"
"('function', 'opposition', 'interface')"
"('library', 'opposition', 'class')"
"('library', 'opposition', 'method')"
"('library', 'opposition', 'function')"
"('library', 'opposition', 'library')"
"('library', 'opposition', 'property')"
"('library', 'opposition', 'interface')"
"('property', 'opposition', 'class')"
"('property', 'opposition', 'method')"
"('property', 'opposition', 'function')"
"('property', 'opposition', 'library')"
"('property', 'opposition', 'property')"
"('property', 'opposition', 'interface')"
"('interface', 'opposition', 'class')"
"('interface', 'opposition', 'method')"
"('interface', 'opposition', 'function')"
"('interface', 'opposition', 'library')"
"('interface', 'opposition', 'property')"
"('interface', 'opposition', 'interface')"
