Text,Result
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"['(method, dependency, class): (addandget(), relies on, atomicintegerarray)']"
"Here is diagram illustrating a class called Vehicle, which has two subclasses called Car and Truck.","['(class, containment, class): (vehicle, has subclass, car)', '(class, containment, class): (vehicle, has subclass, truck)']"
JCA is structured around some central general purpose classes and interfaces.,"['(class, containment, class): (jca, is structured around, classes)']"
The static method matches() creates a new matcher and returns it.,"['(method, creation, class): (matches(), creates, matcher)']"
"The serviceMock instance passed to the getMock() method should be the mock object obtained from the mockService factory, using the container.instance(""mockService"") method call.","['(method, dependency, method): (getmock(), relies on, instance)']"
"However, the Cache class may choose to make the CacheEntry class visible to the outside world, so they can access more than just the cached value (for instance information about when the value was last refreshed etc.","['(class, containment, class): (cache, includes, cacheentry)']"
It is also possible to create other types of KeyStore instance by passing a different parameter to the getInstance() method.,"['(method, creation, class): (getinstance(), create, keystore)']"
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.","['(class, containment, class): (reflection, work with, arrays)', '(class, containment, class): (reflection, work with, generics)', '(class, containment, class): (reflection, work with, dynamic proxies)', '(class, containment, method): (reflection, do, class loading)', '(class, containment, method): (reflection, do, reloading)']"
The Java Map interface has a getOrDefault() method which can return a default value supplied by you - in case no value is stored in the Map by the given key.,"['(interface, containment, method): (map, includes, getordefault)']"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","['(method, dependency, class): (compareto(), relies on, nullpointerexception)']"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"['(class, access, method): (resourcebundle, access, getstring)', '(class, access, method): (resourcebundle, access, getobject)']"
Using Java Reflection you can inspect the constructors of classes and instantiate objects at runtime.,"['(class, containment, method): (reflection, inspect, constructors)']"
"The ReentrantLock hasQueuedThreads() method returns true if any threads are queued up waiting to lock this Lock, and false if not.","['(class, containment, method): (reentrantlock, includes, hasqueuedthreads)']"
"If you have multiple blocks of data to include in the same message digest, call the update() method and finish off with a call to digest().","['(method, execution, method): (update(), finish off with a call to, digest)']"
Reading a byte from a Java RandomAccessFile is done using its read() method.,"['(class, access, method): (randomaccessfile, reading a byte, read)']"
"Non-static nested classes (inner classes) have access to the fields of the enclosing class, even if they are declared private.","['(class, containment, class): (fields, of, enclosing class)']"
Here is an example of removing the first element a Java Deque using the remove() method:,"['(class, execution, method): (deque, removing the first element, remove)']"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"['(class, creation, method): (localdatetime, create, now)']"
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"['(interface, containment, method): (sortedmap, contains, headmap)']"
The AtomicBoolean class is located in the java.util.concurrent.atomic package so the full class name is java.util.concurrent.atomic.AtomicBoolean,"['(package, containment, class): (java.util.concurrent.atomic, includes, java.util.concurrent.atomic.atomicboolean)']"
Only the full Java SDK contains the Java compiler which turns your .java source files into byte code .class files.,"['(class, conversion, class): (.java, turns into, .class)']"
The RionWriter contains a method named writeBytes() which can be used to write a RION Bytes field to the destination byte array.,"['(class, containment, method): (rionwriter, contains, writebytes)']"
Here is an example of obtaining the current position of a RandomAccessFile using its getFilePointer() method:,"['(class, access, method): (randomaccessfile, obtain current position, getfilepointer)']"
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).","['(class, conversion, class): (object, cast, string)']"
Here is an example of obtaining the Comparator used by a SortedSet via the comparator() method:,"['(interface, access, method): (comparator, used by, sortedset))', '(interface, access, interface): (comparator, via, comparator)']"
The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method,"['(method, dependency, method): (dowait(), relies on, unlock)', '(method, dependency, method): (dowait(), relies on, lock)', '(method, dependency, method): (unlock(), relies on, lock)']"
If a thread calls lock() twice without calling unlock() in between the second call to lock() will block,"['(method, dependency, method): (lock(), relies on, unlock)']"
It is worth noting that both unlockRead() and unlockWrite() calls notifyAll() rather than notify().,"['(method, collaboration, method): (unlockread(), notifyall(), unlockwrite)', '(method, collaboration, method): (unlockwrite(), notifyall(), unlockread)']"
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","['(method, collaboration, method): (wait(), must call from inside a synchronized block, notify)']"
The Files.exists() method checks if a given Path exists in the file system.,"['(method, dependency, class): (files.exists(), checks, path)']"
"You don't have to define a constructor for a class, but if you don't define any constructor, the Java compiler will insert a default, no-argument constructor for you.","['(class, creation, method): (java compiler, insert, constructor)']"
"use Integer.valueOf(1) multiple times as monitor object), then you risk that those synchronized blocks all get synchronized on the same object.","['(class, containment, method): (integer, use as monitor object, integer.valueof)']"
After running this code the size variable should contain the value 3 - because the Queue contains 3 elements at the time size() is called.,"['(class, containment, method): (queue, contains, size)']"
java.io.InputStreamReader example creates a FileInputStream and wraps it in a InputStreamReader,"['(class, containment, class): (java.io.fileinputstream, wraps, java.io.inputstreamreader)']"
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.","['(method, equivalence, method): (hashcode(), compares, equals)']"
If your Java SortedMap was created using a Comparator you can obtain the Comparator used via the SortedMap comparator() method,"['(interface, access, method): (sortedmap, obtain, comparator)']"
The AtomicReferenceArray in the java.util.concurrent.atomic package is an array of object references which can be updated atomically.,"['(package, containment, class): (java.util.concurrent.atomic, includes, atomicreferencearray)']"
"As parameter to the Arrays.sort() method we pass the employee array, and a Comparator implementation which can determine the order of Employee objects.","['(method, dependency, interface): (arrays.sort(), relies on, comparator)']"
"If the Deque is empty, poll() returns null. This is different than remove() which throws an exception if the Deque is empty. ","['(method, difference, method): (poll(), returns null if empty, remove)', '(method, difference, method): (remove(), throws exception if empty, poll)']"
If you look at the example in the previous section imagine what happens if an exception is thrown between the call to lock.lock() and lock.unlock(),"['(method, dependency, method): (lock.lock(), relies on, lock.unlock)']"
After running this Java example the removedElement variable will point to the String object element 2 - since that element was the last element of the Deque when removeLast() was called.,"['(method, execution, class): (removelast(), was called, deque)']"
"The channel returned by the SelectionKey.channel() method should be cast to the channel you need to work with, e.g a ServerSocketChannel or SocketChannel etc.","['(method, conversion, class): (selectionkey.channel(), cast to, serversocketchannel)', '(method, conversion, class): (selectionkey.channel(), cast to, socketchannel)']"
Java allows this because the class MyInterfaceImpl implements the MyInterface interface.,"['(class, implementation, interface): (myinterfaceimpl, implements, myinterface)']"
"Once allocated, no other allocate() call can allocate the same block until it has been freed.","['(method, limitation, method): (allocate(), cannot allocate the same block, allocate)']"
"But, since the thread waiting in lock() has not yet called queueObject.wait(), the call to queueObject.notify() passes into oblivion.","['(method, dependency, method): (lock(), relies on, wait)']"
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.","['(method, execution, class): (movetoinsertrow, signal, resultset)']"
Inside the inner() method the thread will again try to lock the Lock instance.,"['(method, execution, class): (inner(), try to lock, lock)']"
You can convert a Java List to a Java Array using the List toArray() method.,"['(class, conversion, class): (list, convert, array)', '(class, implementation, class): (list, toarray(), array)']"
"More precisely, a Java enum type is a special kind of Java class.","['(class, containment, class): (java class, is a special kind of, java enum type)']"
The read() and write() calls on the streams are blocking meaning if you try to use the same thread to both read and write this may result in the thread deadlocking itself,"['(method, limitation, method): (read(), blocking, write)']"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"['(method, dependency, class): (readnumberfromurl(), needs to declare throwing, badurlexception)', '(method, dependency, class): (readnumberfromurl(), needs to declare throwing, badnumberexception)', '(method, dependency, method): (readnumberfromurl(), are thrown from, readdatafromurl)', '(method, dependency, method): (readnumberfromurl(), are thrown from, converdata)']"
"In fact, a subclass constructor is required to call one of the constructors in the superclass as the very first action inside the constructor body.","['(method, dependency, class): (constructor, call, superclass)']"
"The waiting thread would call doWait(), and the notifying thread would call doNotify().","['(method, collaboration, method): (dowait(), communicates_with, donotify)']"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,"['(class, collaboration, class): (stringreader, use, stringwriter)']"
Here is an example of adding an element to the beginning of a Java Deque using the push() method:,"['(class, containment, method): (deque, adding an element, push)']"
java.io.CharArrayReader is also possible to write data to an ByteArrayOutputStream or CharArrayWriter,"['(class, collaboration, class): (java.io.chararrayreader, possible to write data to, java.io.bytearrayoutputstream)', '(class, collaboration, class): (java.io.chararrayreader, possible to write data to, java.io.chararraywriter)']"
The removeLast() method removes the last element of a Deque - meaning the element at the tail of the Deque.,"['(class, containment, method): (deque, includes, removelast)']"
"The HttpServlet class has methods you can override for each HTTP method (GET, POST etc.).","['(class, containment, method): (httpservlet, has methods for, get)', '(class, containment, method): (httpservlet, has methods for, post)']"
The walkFileTree() method takes a Path instance and a FileVisitor as parameters.,"['(method, dependency, class): (walkfiletree, takes, path)', '(method, dependency, interface): (walkfiletree, takes, filevisitor)']"
Here is an example of writing a Java Calendar as a RION UTC field to the destination byte array using the RionWriter writeUtc() method:,"['(class, execution, method): (rionwriter, carries out, writeutc)']"
"If not, it processes that char and continues reading until -1 is returned from the BufferedReader read() method.","['(class, execution, method): (bufferedreader, processes, read)']"
"You may be tempted then to always call notifyAll() instead notify(), but this is a bad idea performance wise.","['(method, preference, method): (notifyall(), is favored over, notify)']"
Here is an example of obtaining the CertPath type via getType():,"['(class, access, method): (certpath, obtain, gettype)']"
The Java InputStreamReader class java.io.InputStreamReader wraps a Java InputStream thereby turning the byte based InputStream into a character based Reader,"['(class, conversion, class): (java.io.inputstreamreader, wraps, java.io.inputstream)', '(class, conversion, class): (java.io.inputstreamreader, turning into, reader)']"
The assertNull() and assertNotNull() methods test a single variable to see if it is null or not null.,"['(method, difference, method): (assertnull, is different from, assertnotnull)']"
"What matters is, that once the while loop ends, and you are done writing data to the OutputStream, its close() method is called, which closes the OutputStream .","['(class, execution, method): (outputstream, is closed by, close)']"
The package structure (directory structure) from the source directory will be preserved under the class directory.,"['(package, containment, class): (package, structure, class)']"
The second method of reading data from an AsynchronousFileChannel is to call the read() method version that takes a CompletionHandler as a parameter.,"['(method, dependency, interface): (read(), relies on, completionhandler)']"
"Assuming that the MyService class implements an interface called IService, you can create a mock implementation of the IService interface using this code:","['(class, implementation, interface): (myservice, implements, iservice)']"
"You will typically also get more help from your IDE's code completion when writing it, because the IDE will recognize both the doProcess() and process() methods.","['(method, equivalence, method): (doprocess(), recognize, process)']"
"You have to implement the FileVisitor interface yourself, and pass an instance of your implementation to the walkFileTree() method.","['(interface, implementation, method): (filevisitor, implementation, walkfiletree)']"
The BlockingQueue put() method inserts the element into the BlockingQueue if it has space for it internally.,"['(class, containment, method): (blockingqueue, inserts, put)']"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.","['(method, dependency, class): (compareandset(), relies on, atomicstampedreference)', '(method, difference, method): (compareandset(), not equal as in, equals)']"
"The Objects.equals(o, element) statement is used to check if the parameter object o matches a given element in the BlockingQueue.","['(method, dependency, class): (objects.equals, checks, blockingqueue)']"
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","['(method, dependency, method): (calculate(), relies on, add)', '(method, dependency, method): (calculate(), relies on, subtract)', '(method, dependency, class): (calculate(), relies on, lock)', '(method, dependency, class): (add(), relies on, lock)', '(method, dependency, class): (subtract(), relies on, lock)', '(class, containment, class): (calculator, includes, lock)']"
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.","['(method, execution, method): (max(), call, max)']"
The second way you can iterate the elements of a Java Iterable is by obtaining a Java Iterator from it by calling the Iterable iterator() method.,"['(interface, access, interface): (iterable, obtaining, iterator)', '(interface, access, interface): (iterable, calling, iterator)']"
The calls to myUnit.getTheSameObject() are inlined into the assertSame() and assertNotSame() method calls.,"['(method, difference, method): (assertsame(), inlined into, assertnotsame)']"
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.","['(class, implementation, interface): (java.util.concurrent.concurrentnavigablemap, is a, java.util.navigablemap)']"
You add elements to the beginning end of a Deque using the add() method.,"['(class, containment, method): (deque, add elements to, add)']"
When the thread calling lock() right after calls queueObject.wait() it will remain blocked until some other thread calls unlock() which may never happen,"['(method, dependency, method): (lock(), relies on, wait)', '(method, dependency, method): (wait(), relies on, unlock)']"
"One way to solve this problem would be to create a common superclass for the Vehicle and Driver class, which has the storage and serialization methods.","['(class, containment, method): (vehicle, has, storage)', '(class, containment, method): (vehicle, has, serialization)', '(class, containment, method): (driver, has, storage)', '(class, containment, method): (driver, has, serialization)']"
"The Java Stream findFirst() method finds the first element in the Stream, if any elements are present in the Stream.","['(class, containment, method): (stream, includes, findfirst)']"
You can set the value of an AtomicBoolean using the set() method.,"['(class, modification, method): (atomicboolean, set(), set)']"
The only difference is that you call beginTransactionScope() and endTransactionScope() instead.,"['(method, difference, method): (begintransactionscope(), is different from, endtransactionscope)']"
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,"['(class, containment, method): (map, referred to as, size)']"
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.","['(method, dependency, class): (compareandset(), relies on, atomicreference)', '(method, difference, method): (compareandset(), not equal as in, equals)']"
Here is an example of obtaining the last key of a SortedMap via its lastKey() method:,"['(interface, access, method): (sortedmap, obtain, lastkey)']"
You can obtain the log level of a Logger using the getLevel() method:,"['(class, access, method): (logger, obtain, getlevel)']"
By calling iterator() you can obtain an iterator from the given Collection.,"['(method, conversion, class): (iterator(), obtain, collection)']"
"If multiple threads are awakened using notifyAll() only one awakened thread at a time can exit the wait() method, since each thread must obtain the lock on the monitor object in turn before exiting wait().","['(method, limitation, method): (notifyall(), must obtain the lock on the monitor object in turn before exiting, wait)']"
"The AtomicBoolean class is located in the java.util.concurrent.atomic package, so the full class name is java.util.concurrent.atomic.AtomicBoolean .","['(package, containment, class): (java.util.concurrent.atomic, contains, java.util.concurrent.atomic.atomicboolean)']"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"['(class, containment, method): (atomicstampedreference, contains, getstamp)']"
You can read a Java long from the DataInputStream using its readLong() method.,"['(class, execution, method): (datainputstream, uses, readlong)']"
"Though the error may seem the same to method1() no matter which of method2() and method3() that called it, this may important to know for the developer investigating the error.","['(method, execution, method): (method2(), called, method1)', '(method, execution, method): (method3(), called, method1)']"
You can write data to the TCP connection via the NetSocket write() method.,"['(class, execution, method): (netsocket, write data to, write)']"
This is true even if the subclass is not located in the same package as the superclass.,"['(package, containment, class): (package, located in, subclass)']"
"The Java Stream allMatch() method is a terminal operation that takes a single Predicate as parameter, starts the internal iteration of elements in the Stream, and applies the Predicate parameter to each element.","['(class, containment, method): (stream, includes, allmatch)', '(method, dependency, interface): (allmatch(), relies on, predicate)']"
"Again, here the first() and next() methods return the unicode index of the found word boundary.","['(method, dependency, method): (first(), return, next)']"
"This class has a compareAndSet() function which will compare the value of the AtomicBoolean instance to an expected value, and if has the expected value, it swaps the value with a new value.","['(class, containment, method): (atomicboolean, has, compareandset)']"
Notice how the readDataFromUrl() method no longer declares that it throws BadUrlException.,"['(method, dependency, class): (readdatafromurl, declares that it throws, badurlexception)']"
"As mentioned earlier, the DataInputStream class is often used together with a DataOutputStream.","['(class, collaboration, class): (datainputstream, used together with, dataoutputstream)']"
FairLock creates a new instance of QueueObject and enqueue it for each thread calling lock().,"['(method, creation, class): (lock(), creates, queueobject)']"
By walking through all directories and deleting all files (inside visitFile()) in each directory and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files,"['(method, execution, method): (visitfile(), delete files, postvisitdirectory)']"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,"['(class, collaboration, class): (resourcebundle, used to localize, logrecord)']"
"But remember, a connection has been opened already when the DaoManager is instantiated, which happens before the doPersistenceAction() method is called.","['(method, dependency, class): (dopersistenceaction(), relies on, daomanager)']"
The exception thrown when attempting to close the resource would be available inside the Throwable array returned by e.getSuppressed().,"['(class, containment, method): (throwable, includes, getsuppressed)']"
"The RION Ops RionWriter class, com.nanosai.rionops.rion.write.RionWriter, enables you to write RION fields easily and efficiently.","['(package, containment, class): (com.nanosai.rionops.rion.write, includes, rionwriter)']"
"The compareAndSet() method of the AtomicReferenceArray can compare the current reference stored in a given element with an expected reference, and if the references are the same, swap the current reference with a new reference.","['(class, containment, method): (atomicreferencearray, method, compareandset)']"
"You don't need to know exactly what class a given object is of, as long as you know what interface it implements.","['(class, implementation, interface): (class, implements, interface)']"
"If the read() method returns -1, there is no more data to read in the FileReader, and it can be closed.","['(method, access, class): (read(), retrieves data from, filereader)']"
The Java NIO Files class also contains a function for moving files from one path to another.,"['(class, containment, method): (files, contains, move)']"
Creating a Duration object is done using one of the Duration class factory methods.,"['(method, creation, class): (factory methods, creates, duration)']"
The getThrown() method returns the Throwable that was marked thrown when logging the message represented by this LogRecord.,"['(method, access, class): (getthrown(), returns, logrecord)']"
"The Java FileWriter class is a subclass of the Java Writer class, by the way.","['(class, implementation, class): (filewriter, subclass of, writer)']"
Exactly how to handle the calls to commit() and / or rollback() is covered in the JDBC Transactions Tutorial.,"['(method, collaboration, method): (commit(), handle, rollback)']"
Here is an example of reading a double from a Java DataInputStream using readDouble():,"['(class, containment, method): (datainputstream, includes, readdouble)']"
If Thread A is executing add() then Thread B cannot execute neither add() nor subtract() until Thread A has exited add().,"['(method, limitation, method): (add(), cannot execute, subtract)']"
"A class can override the implementation of a default method simply by implementing that method explicitly, as is done normally when implementing a Java interface.","['(class, implementation, interface): (class, implementing, interface)']"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"['(method, access, class): (getpublic(), access, publickey)']"
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.","['(method, dependency, method): (addchild, relies on, setparent)']"
The add() and offer() methods differ in how the behave if the Queue is full so no more elements can be added,"['(method, difference, method): (add(), differ in behavior, offer)']"
"Neither is the last reader.close() or the System.out.println(""--- File End ---""); statements.","['(method, difference, method): (reader.close(), is different to, system.out.println)']"
You can create a Java KeyStore instance by calling its getInstance() method.,"['(class, creation, method): (keystore, create, getinstance)']"
The FilterWriter is a base class for implementing your own filtering Writer's.,"['(class, implementation, class): (filterwriter, is a base class for implementing, writer)']"
