"('struct', 'implementation', 'struct')"
"('macro', 'similarity', 'module')"
"('macro', 'similarity', 'function ')"
"('macro', 'similarity', 'method')"
"('macro', 'similarity', 'macro')"
"('struct', 'collaboration', 'struct')"
"('struct', 'collaboration', 'enum')"
"('struct', 'collaboration', 'trait')"
"('struct', 'collaboration', 'module')"
"('struct', 'collaboration', 'function ')"
"('struct', 'collaboration', 'method')"
"('struct', 'collaboration', 'macro')"
"('enum', 'collaboration', 'struct')"
"('enum', 'collaboration', 'enum')"
"('enum', 'collaboration', 'trait')"
"('enum', 'collaboration', 'module')"
"('enum', 'collaboration', 'function ')"
"('enum', 'collaboration', 'method')"
"('enum', 'collaboration', 'macro')"
"('trait', 'collaboration', 'struct')"
"('trait', 'collaboration', 'enum')"
"('trait', 'collaboration', 'trait')"
"('trait', 'collaboration', 'module')"
"('trait', 'collaboration', 'function ')"
"('trait', 'collaboration', 'method')"
"('trait', 'collaboration', 'macro')"
"('module', 'collaboration', 'struct')"
"('module', 'collaboration', 'enum')"
"('module', 'collaboration', 'trait')"
"('module', 'collaboration', 'module')"
"('module', 'collaboration', 'function ')"
"('module', 'collaboration', 'method')"
"('module', 'collaboration', 'macro')"
"('function ', 'collaboration', 'struct')"
"('function ', 'collaboration', 'enum')"
"('function ', 'collaboration', 'trait')"
"('function ', 'collaboration', 'module')"
"('function ', 'collaboration', 'function ')"
"('function ', 'collaboration', 'method')"
"('function ', 'collaboration', 'macro')"
"('method', 'collaboration', 'struct')"
"('method', 'collaboration', 'enum')"
"('method', 'collaboration', 'trait')"
"('method', 'collaboration', 'module')"
"('method', 'collaboration', 'function ')"
"('method', 'collaboration', 'method')"
"('method', 'collaboration', 'macro')"
"('macro', 'collaboration', 'struct')"
"('macro', 'collaboration', 'enum')"
"('macro', 'collaboration', 'trait')"
"('macro', 'collaboration', 'module')"
"('macro', 'collaboration', 'function ')"
"('macro', 'collaboration', 'method')"
"('macro', 'collaboration', 'macro')"
"('struct', 'conversion', 'struct')"
"('struct', 'conversion', 'enum')"
"('struct', 'conversion', 'trait')"
"('struct', 'conversion', 'module')"
"('struct', 'conversion', 'function ')"
"('struct', 'conversion', 'method')"
"('struct', 'conversion', 'macro')"
"('enum', 'conversion', 'struct')"
"('enum', 'conversion', 'enum')"
"('enum', 'conversion', 'trait')"
"('enum', 'conversion', 'module')"
"('enum', 'conversion', 'function ')"
"('enum', 'conversion', 'method')"
"('enum', 'conversion', 'macro')"
"('trait', 'conversion', 'struct')"
"('trait', 'conversion', 'enum')"
"('trait', 'conversion', 'trait')"
"('trait', 'conversion', 'module')"
"('trait', 'conversion', 'function ')"
"('trait', 'conversion', 'method')"
"('trait', 'conversion', 'macro')"
"('module', 'conversion', 'struct')"
"('module', 'conversion', 'enum')"
"('module', 'conversion', 'trait')"
"('module', 'conversion', 'module')"
"('module', 'conversion', 'function ')"
"('module', 'conversion', 'method')"
"('module', 'conversion', 'macro')"
"('function ', 'conversion', 'struct')"
"('function ', 'conversion', 'enum')"
"('function ', 'conversion', 'trait')"
"('function ', 'conversion', 'module')"
"('function ', 'conversion', 'function ')"
"('function ', 'conversion', 'method')"
"('function ', 'conversion', 'macro')"
"('method', 'conversion', 'struct')"
"('method', 'conversion', 'enum')"
"('method', 'conversion', 'trait')"
"('method', 'conversion', 'module')"
"('method', 'conversion', 'function ')"
"('method', 'conversion', 'method')"
"('method', 'conversion', 'macro')"
"('macro', 'conversion', 'struct')"
"('macro', 'conversion', 'enum')"
"('macro', 'conversion', 'trait')"
"('macro', 'conversion', 'module')"
"('macro', 'conversion', 'function ')"
"('macro', 'conversion', 'method')"
"('macro', 'conversion', 'macro')"
"('struct', 'ownership', 'struct')"
"('struct', 'ownership', 'enum')"
"('struct', 'ownership', 'trait')"
"('struct', 'ownership', 'module')"
"('struct', 'ownership', 'function ')"
"('struct', 'ownership', 'method')"
"('struct', 'ownership', 'macro')"
"('enum', 'ownership', 'struct')"
"('enum', 'ownership', 'enum')"
"('enum', 'ownership', 'trait')"
"('enum', 'ownership', 'module')"
"('enum', 'ownership', 'function ')"
"('enum', 'ownership', 'method')"
"('enum', 'ownership', 'macro')"
"('trait', 'ownership', 'struct')"
"('trait', 'ownership', 'enum')"
"('trait', 'ownership', 'trait')"
"('trait', 'ownership', 'module')"
"('trait', 'ownership', 'function ')"
"('trait', 'ownership', 'method')"
"('trait', 'ownership', 'macro')"
"('module', 'ownership', 'struct')"
"('module', 'ownership', 'enum')"
"('module', 'ownership', 'trait')"
"('module', 'ownership', 'module')"
"('module', 'ownership', 'function ')"
"('module', 'ownership', 'method')"
"('module', 'ownership', 'macro')"
"('function ', 'ownership', 'struct')"
"('function ', 'ownership', 'enum')"
"('function ', 'ownership', 'trait')"
"('function ', 'ownership', 'module')"
"('function ', 'ownership', 'function ')"
"('function ', 'ownership', 'method')"
"('function ', 'ownership', 'macro')"
"('method', 'ownership', 'struct')"
"('method', 'ownership', 'enum')"
"('method', 'ownership', 'trait')"
"('method', 'ownership', 'module')"
"('method', 'ownership', 'function ')"
"('method', 'ownership', 'method')"
"('method', 'ownership', 'macro')"
"('macro', 'ownership', 'struct')"
"('macro', 'ownership', 'enum')"
"('macro', 'ownership', 'trait')"
"('macro', 'ownership', 'module')"
"('macro', 'ownership', 'function ')"
"('macro', 'ownership', 'method')"
"('macro', 'ownership', 'macro')"
"('struct', 'construction', 'struct')"
"('struct', 'construction', 'enum')"
"('struct', 'construction', 'trait')"
"('struct', 'construction', 'module')"
"('struct', 'construction', 'function ')"
"('struct', 'construction', 'method')"
"('struct', 'construction', 'macro')"
"('enum', 'construction', 'struct')"
"('enum', 'construction', 'enum')"
"('enum', 'construction', 'trait')"
"('enum', 'construction', 'module')"
"('enum', 'construction', 'function ')"
"('enum', 'construction', 'method')"
"('enum', 'construction', 'macro')"
"('trait', 'construction', 'struct')"
"('trait', 'construction', 'enum')"
"('trait', 'construction', 'trait')"
"('trait', 'construction', 'module')"
"('trait', 'construction', 'function ')"
"('trait', 'construction', 'method')"
"('trait', 'construction', 'macro')"
"('module', 'construction', 'struct')"
"('module', 'construction', 'enum')"
"('module', 'construction', 'trait')"
"('module', 'construction', 'module')"
"('module', 'construction', 'function ')"
"('module', 'construction', 'method')"
"('module', 'construction', 'macro')"
"('function ', 'construction', 'struct')"
"('function ', 'construction', 'enum')"
"('function ', 'construction', 'trait')"
"('function ', 'construction', 'module')"
"('function ', 'construction', 'function ')"
"('function ', 'construction', 'method')"
"('function ', 'construction', 'macro')"
"('method', 'construction', 'struct')"
"('method', 'construction', 'enum')"
"('method', 'construction', 'trait')"
"('method', 'construction', 'module')"
"('method', 'construction', 'function ')"
"('method', 'construction', 'method')"
"('method', 'construction', 'macro')"
"('macro', 'construction', 'struct')"
"('macro', 'construction', 'enum')"
"('macro', 'construction', 'trait')"
"('macro', 'construction', 'module')"
"('macro', 'construction', 'function ')"
"('macro', 'construction', 'method')"
"('macro', 'construction', 'macro')"
"('struct', 'dependency', 'struct')"
"('struct', 'dependency', 'enum')"
"('struct', 'dependency', 'trait')"
"('struct', 'dependency', 'module')"
"('struct', 'dependency', 'function ')"
"('struct', 'dependency', 'method')"
"('struct', 'dependency', 'macro')"
"('enum', 'dependency', 'struct')"
"('enum', 'dependency', 'enum')"
"('enum', 'dependency', 'trait')"
"('enum', 'dependency', 'module')"
"('enum', 'dependency', 'function ')"
"('enum', 'dependency', 'method')"
"('enum', 'dependency', 'macro')"
"('trait', 'dependency', 'struct')"
"('trait', 'dependency', 'enum')"
"('trait', 'dependency', 'trait')"
"('trait', 'dependency', 'module')"
"('trait', 'dependency', 'function ')"
"('trait', 'dependency', 'method')"
"('trait', 'dependency', 'macro')"
"('module', 'dependency', 'struct')"
"('module', 'dependency', 'enum')"
"('module', 'dependency', 'trait')"
"('module', 'dependency', 'module')"
"('module', 'dependency', 'function ')"
"('module', 'dependency', 'method')"
"('module', 'dependency', 'macro')"
"('function ', 'dependency', 'struct')"
"('function ', 'dependency', 'enum')"
"('function ', 'dependency', 'trait')"
"('function ', 'dependency', 'module')"
"('function ', 'dependency', 'function ')"
"('function ', 'dependency', 'method')"
"('function ', 'dependency', 'macro')"
"('method', 'dependency', 'struct')"
"('method', 'dependency', 'enum')"
"('method', 'dependency', 'trait')"
"('method', 'dependency', 'module')"
"('method', 'dependency', 'function ')"
"('method', 'dependency', 'method')"
"('method', 'dependency', 'macro')"
"('macro', 'dependency', 'struct')"
"('macro', 'dependency', 'enum')"
"('macro', 'dependency', 'trait')"
"('macro', 'dependency', 'module')"
"('macro', 'dependency', 'function ')"
"('macro', 'dependency', 'method')"
"('macro', 'dependency', 'macro')"
"('struct', 'modification', 'struct')"
"('struct', 'modification', 'enum')"
"('struct', 'modification', 'trait')"
"('struct', 'modification', 'module')"
"('struct', 'modification', 'function ')"
"('struct', 'modification', 'method')"
"('struct', 'modification', 'macro')"
"('enum', 'modification', 'struct')"
"('enum', 'modification', 'enum')"
"('enum', 'modification', 'trait')"
"('enum', 'modification', 'module')"
"('enum', 'modification', 'function ')"
"('enum', 'modification', 'method')"
"('enum', 'modification', 'macro')"
"('trait', 'modification', 'struct')"
"('trait', 'modification', 'enum')"
"('trait', 'modification', 'trait')"
"('trait', 'modification', 'module')"
"('trait', 'modification', 'function ')"
"('trait', 'modification', 'method')"
"('trait', 'modification', 'macro')"
"('module', 'modification', 'struct')"
"('module', 'modification', 'enum')"
"('module', 'modification', 'trait')"
"('module', 'modification', 'module')"
"('module', 'modification', 'function ')"
"('module', 'modification', 'method')"
"('module', 'modification', 'macro')"
"('function ', 'modification', 'struct')"
"('function ', 'modification', 'enum')"
"('function ', 'modification', 'trait')"
"('function ', 'modification', 'module')"
"('function ', 'modification', 'function ')"
"('function ', 'modification', 'method')"
"('function ', 'modification', 'macro')"
"('method', 'modification', 'struct')"
"('method', 'modification', 'enum')"
"('method', 'modification', 'trait')"
"('method', 'modification', 'module')"
"('method', 'modification', 'function ')"
"('method', 'modification', 'method')"
"('method', 'modification', 'macro')"
"('macro', 'modification', 'struct')"
"('macro', 'modification', 'enum')"
"('macro', 'modification', 'trait')"
"('macro', 'modification', 'module')"
"('macro', 'modification', 'function ')"
"('macro', 'modification', 'method')"
"('macro', 'modification', 'macro')"
"('struct', 'replacement', 'struct')"
"('struct', 'replacement', 'enum')"
"('struct', 'replacement', 'trait')"
"('struct', 'replacement', 'module')"
"('struct', 'replacement', 'function ')"
"('struct', 'replacement', 'method')"
"('struct', 'replacement', 'macro')"
"('enum', 'replacement', 'struct')"
"('enum', 'replacement', 'enum')"
"('enum', 'replacement', 'trait')"
"('enum', 'replacement', 'module')"
"('enum', 'replacement', 'function ')"
"('enum', 'replacement', 'method')"
"('enum', 'replacement', 'macro')"
"('trait', 'replacement', 'struct')"
"('trait', 'replacement', 'enum')"
"('trait', 'replacement', 'trait')"
"('trait', 'replacement', 'module')"
"('trait', 'replacement', 'function ')"
"('trait', 'replacement', 'method')"
"('trait', 'replacement', 'macro')"
"('module', 'replacement', 'struct')"
"('module', 'replacement', 'enum')"
"('module', 'replacement', 'trait')"
"('module', 'replacement', 'module')"
"('module', 'replacement', 'function ')"
"('module', 'replacement', 'method')"
"('module', 'replacement', 'macro')"
"('function ', 'replacement', 'struct')"
"('function ', 'replacement', 'enum')"
"('function ', 'replacement', 'trait')"
"('function ', 'replacement', 'module')"
"('function ', 'replacement', 'function ')"
"('function ', 'replacement', 'method')"
"('function ', 'replacement', 'macro')"
"('method', 'replacement', 'struct')"
"('method', 'replacement', 'enum')"
"('method', 'replacement', 'trait')"
"('method', 'replacement', 'module')"
"('method', 'replacement', 'function ')"
"('method', 'replacement', 'method')"
"('method', 'replacement', 'macro')"
"('macro', 'replacement', 'struct')"
"('macro', 'replacement', 'enum')"
"('macro', 'replacement', 'trait')"
"('macro', 'replacement', 'module')"
"('macro', 'replacement', 'function ')"
"('macro', 'replacement', 'method')"
"('macro', 'replacement', 'macro')"
"('struct', 'association', 'struct')"
"('struct', 'association', 'enum')"
"('struct', 'association', 'trait')"
"('struct', 'association', 'module')"
"('struct', 'association', 'function ')"
"('struct', 'association', 'method')"
"('struct', 'association', 'macro')"
"('enum', 'association', 'struct')"
"('enum', 'association', 'enum')"
"('enum', 'association', 'trait')"
"('enum', 'association', 'module')"
"('enum', 'association', 'function ')"
"('enum', 'association', 'method')"
"('enum', 'association', 'macro')"
"('trait', 'association', 'struct')"
"('trait', 'association', 'enum')"
"('trait', 'association', 'trait')"
"('trait', 'association', 'module')"
"('trait', 'association', 'function ')"
"('trait', 'association', 'method')"
"('trait', 'association', 'macro')"
"('module', 'association', 'struct')"
"('module', 'association', 'enum')"
"('module', 'association', 'trait')"
"('module', 'association', 'module')"
"('module', 'association', 'function ')"
"('module', 'association', 'method')"
"('module', 'association', 'macro')"
"('function ', 'association', 'struct')"
"('function ', 'association', 'enum')"
"('function ', 'association', 'trait')"
"('function ', 'association', 'module')"
"('function ', 'association', 'function ')"
"('function ', 'association', 'method')"
"('function ', 'association', 'macro')"
"('method', 'association', 'struct')"
"('method', 'association', 'enum')"
"('method', 'association', 'trait')"
"('method', 'association', 'module')"
"('method', 'association', 'function ')"
"('method', 'association', 'method')"
"('method', 'association', 'macro')"
"('macro', 'association', 'struct')"
"('macro', 'association', 'enum')"
"('macro', 'association', 'trait')"
"('macro', 'association', 'module')"
"('macro', 'association', 'function ')"
"('macro', 'association', 'method')"
"('macro', 'association', 'macro')"
