"('class', 'dependency', 'class')"
"('method', 'implementation', 'namespace')"
"('interface', 'implementation', 'class')"
"('interface', 'implementation', 'method')"
"('interface', 'implementation', 'interface')"
"('interface', 'implementation', 'struct')"
"('interface', 'implementation', 'namespace')"
"('struct', 'implementation', 'class')"
"('struct', 'implementation', 'method')"
"('struct', 'implementation', 'interface')"
"('struct', 'implementation', 'struct')"
"('struct', 'implementation', 'namespace')"
"('namespace', 'implementation', 'class')"
"('namespace', 'implementation', 'method')"
"('namespace', 'implementation', 'interface')"
"('namespace', 'implementation', 'struct')"
"('namespace', 'implementation', 'namespace')"
"('class', 'containment', 'class')"
"('class', 'containment', 'method')"
"('class', 'containment', 'interface')"
"('class', 'containment', 'struct')"
"('class', 'containment', 'namespace')"
"('method', 'containment', 'class')"
"('method', 'containment', 'method')"
"('method', 'containment', 'interface')"
"('method', 'containment', 'struct')"
"('method', 'containment', 'namespace')"
"('interface', 'containment', 'class')"
"('interface', 'containment', 'method')"
"('interface', 'containment', 'interface')"
"('interface', 'containment', 'struct')"
"('interface', 'containment', 'namespace')"
"('struct', 'containment', 'class')"
"('struct', 'containment', 'method')"
"('struct', 'containment', 'interface')"
"('struct', 'containment', 'struct')"
"('struct', 'containment', 'namespace')"
"('namespace', 'containment', 'class')"
"('namespace', 'containment', 'method')"
"('namespace', 'containment', 'interface')"
"('namespace', 'containment', 'struct')"
"('namespace', 'containment', 'namespace')"
"('class', 'preference', 'class')"
"('class', 'preference', 'method')"
"('class', 'preference', 'interface')"
"('class', 'preference', 'struct')"
"('class', 'preference', 'namespace')"
"('method', 'preference', 'class')"
"('method', 'preference', 'method')"
"('method', 'preference', 'interface')"
"('method', 'preference', 'struct')"
"('method', 'preference', 'namespace')"
"('interface', 'preference', 'class')"
"('interface', 'preference', 'method')"
"('interface', 'preference', 'interface')"
"('interface', 'preference', 'struct')"
"('interface', 'preference', 'namespace')"
"('struct', 'preference', 'class')"
"('struct', 'preference', 'method')"
"('struct', 'preference', 'interface')"
"('struct', 'preference', 'struct')"
"('struct', 'preference', 'namespace')"
"('namespace', 'preference', 'class')"
"('namespace', 'preference', 'method')"
"('namespace', 'preference', 'interface')"
"('namespace', 'preference', 'struct')"
"('namespace', 'preference', 'namespace')"
"('class', 'collaboration', 'class')"
"('class', 'collaboration', 'method')"
"('class', 'collaboration', 'interface')"
"('class', 'collaboration', 'struct')"
"('class', 'collaboration', 'namespace')"
"('method', 'collaboration', 'class')"
"('method', 'collaboration', 'method')"
"('method', 'collaboration', 'interface')"
"('method', 'collaboration', 'struct')"
"('method', 'collaboration', 'namespace')"
"('interface', 'collaboration', 'class')"
"('interface', 'collaboration', 'method')"
"('interface', 'collaboration', 'interface')"
"('interface', 'collaboration', 'struct')"
"('interface', 'collaboration', 'namespace')"
"('struct', 'collaboration', 'class')"
"('struct', 'collaboration', 'method')"
"('struct', 'collaboration', 'interface')"
"('struct', 'collaboration', 'struct')"
"('struct', 'collaboration', 'namespace')"
"('namespace', 'collaboration', 'class')"
"('namespace', 'collaboration', 'method')"
"('namespace', 'collaboration', 'interface')"
"('namespace', 'collaboration', 'struct')"
"('namespace', 'collaboration', 'namespace')"
"('class', 'limitation', 'class')"
"('class', 'limitation', 'method')"
"('class', 'limitation', 'interface')"
"('class', 'limitation', 'struct')"
"('class', 'limitation', 'namespace')"
"('method', 'limitation', 'class')"
"('method', 'limitation', 'method')"
"('method', 'limitation', 'interface')"
"('method', 'limitation', 'struct')"
"('method', 'limitation', 'namespace')"
"('interface', 'limitation', 'class')"
"('interface', 'limitation', 'method')"
"('interface', 'limitation', 'interface')"
"('interface', 'limitation', 'struct')"
"('interface', 'limitation', 'namespace')"
"('struct', 'limitation', 'class')"
"('struct', 'limitation', 'method')"
"('struct', 'limitation', 'interface')"
"('struct', 'limitation', 'struct')"
"('struct', 'limitation', 'namespace')"
"('namespace', 'limitation', 'class')"
"('namespace', 'limitation', 'method')"
"('namespace', 'limitation', 'interface')"
"('namespace', 'limitation', 'struct')"
"('namespace', 'limitation', 'namespace')"
"('class', 'creation', 'class')"
"('class', 'creation', 'method')"
"('class', 'creation', 'interface')"
"('class', 'creation', 'struct')"
"('class', 'creation', 'namespace')"
"('method', 'creation', 'class')"
"('method', 'creation', 'method')"
"('method', 'creation', 'interface')"
"('method', 'creation', 'struct')"
"('method', 'creation', 'namespace')"
"('interface', 'creation', 'class')"
"('interface', 'creation', 'method')"
"('interface', 'creation', 'interface')"
"('interface', 'creation', 'struct')"
"('interface', 'creation', 'namespace')"
"('struct', 'creation', 'class')"
"('struct', 'creation', 'method')"
"('struct', 'creation', 'interface')"
"('struct', 'creation', 'struct')"
"('struct', 'creation', 'namespace')"
"('namespace', 'creation', 'class')"
"('namespace', 'creation', 'method')"
"('namespace', 'creation', 'interface')"
"('namespace', 'creation', 'struct')"
"('namespace', 'creation', 'namespace')"
"('class', 'replacement', 'class')"
"('class', 'replacement', 'method')"
"('class', 'replacement', 'interface')"
"('class', 'replacement', 'struct')"
"('class', 'replacement', 'namespace')"
"('method', 'replacement', 'class')"
"('method', 'replacement', 'method')"
"('method', 'replacement', 'interface')"
"('method', 'replacement', 'struct')"
"('method', 'replacement', 'namespace')"
"('interface', 'replacement', 'class')"
"('interface', 'replacement', 'method')"
"('interface', 'replacement', 'interface')"
"('interface', 'replacement', 'struct')"
"('interface', 'replacement', 'namespace')"
"('struct', 'replacement', 'class')"
"('struct', 'replacement', 'method')"
"('struct', 'replacement', 'interface')"
"('struct', 'replacement', 'struct')"
"('struct', 'replacement', 'namespace')"
"('namespace', 'replacement', 'class')"
"('namespace', 'replacement', 'method')"
"('namespace', 'replacement', 'interface')"
"('namespace', 'replacement', 'struct')"
"('namespace', 'replacement', 'namespace')"
"('class', 'extension', 'class')"
"('class', 'extension', 'method')"
"('class', 'extension', 'interface')"
"('class', 'extension', 'struct')"
"('class', 'extension', 'namespace')"
"('method', 'extension', 'class')"
"('method', 'extension', 'method')"
"('method', 'extension', 'interface')"
"('method', 'extension', 'struct')"
"('method', 'extension', 'namespace')"
"('interface', 'extension', 'class')"
"('interface', 'extension', 'method')"
"('interface', 'extension', 'interface')"
"('interface', 'extension', 'struct')"
"('interface', 'extension', 'namespace')"
"('struct', 'extension', 'class')"
"('struct', 'extension', 'method')"
"('struct', 'extension', 'interface')"
"('struct', 'extension', 'struct')"
"('struct', 'extension', 'namespace')"
"('namespace', 'extension', 'class')"
"('namespace', 'extension', 'method')"
"('namespace', 'extension', 'interface')"
"('namespace', 'extension', 'struct')"
"('namespace', 'extension', 'namespace')"
"('class', 'reference', 'class')"
"('class', 'reference', 'method')"
"('class', 'reference', 'interface')"
"('class', 'reference', 'struct')"
"('class', 'reference', 'namespace')"
"('method', 'reference', 'class')"
"('method', 'reference', 'method')"
"('method', 'reference', 'interface')"
"('method', 'reference', 'struct')"
"('method', 'reference', 'namespace')"
"('interface', 'reference', 'class')"
"('interface', 'reference', 'method')"
"('interface', 'reference', 'interface')"
"('interface', 'reference', 'struct')"
"('interface', 'reference', 'namespace')"
"('struct', 'reference', 'class')"
"('struct', 'reference', 'method')"
"('struct', 'reference', 'interface')"
"('struct', 'reference', 'struct')"
"('struct', 'reference', 'namespace')"
"('namespace', 'reference', 'class')"
"('namespace', 'reference', 'method')"
"('namespace', 'reference', 'interface')"
"('namespace', 'reference', 'struct')"
"('namespace', 'reference', 'namespace')"
"('class', 'delegation', 'class')"
"('class', 'delegation', 'method')"
"('class', 'delegation', 'interface')"
"('class', 'delegation', 'struct')"
"('class', 'delegation', 'namespace')"
"('method', 'delegation', 'class')"
"('method', 'delegation', 'method')"
"('method', 'delegation', 'interface')"
"('method', 'delegation', 'struct')"
"('method', 'delegation', 'namespace')"
"('interface', 'delegation', 'class')"
"('interface', 'delegation', 'method')"
"('interface', 'delegation', 'interface')"
"('interface', 'delegation', 'struct')"
"('interface', 'delegation', 'namespace')"
"('struct', 'delegation', 'class')"
"('struct', 'delegation', 'method')"
"('struct', 'delegation', 'interface')"
"('struct', 'delegation', 'struct')"
"('struct', 'delegation', 'namespace')"
"('namespace', 'delegation', 'class')"
"('namespace', 'delegation', 'method')"
"('namespace', 'delegation', 'interface')"
"('namespace', 'delegation', 'struct')"
"('namespace', 'delegation', 'namespace')"
