text,triplet
"multiprocessing.dummy is exactly the same as multiprocessing module, but uses threads instead ( an important distinction - use multiple processes for CPU-intensive tasks; threads for (and during) I/O ):","(multiprocessing.dummy, is exactly the same as, multiprocessing)"
"If you have a DataFrame with only one row, then access the first (only) row as a Series using iloc , and then the value using the column name:","(DataFrame, includes, Series)"
"With staticmethods , neither self (the object instance) nor cls (the class) is implicitly passed as the first argument","(self, differs from, cls)"
"It's not uncommon to see one collection type use a .length() method while another type uses a .length property, while yet another uses .count() . Having a language-level keyword unifies the entry point for all these types",
"That is to say, you can use either eval('my_func(42)') or exec('my_func(42)') , the difference being that eval returns the value returned by my_func , and exec discards it:","(eval, returns value from function while, exec); (eval, differs from, exec)"
Use the indent= parameter of json.dump() or json.dumps() to specify how many spaces to indent by:,"(json.dump(), related to, json.dumps())"
"For example, you may want to test your code against Python 2.7, 3.6, 3.7 and 3.8, so you'll need a way to switch between them",
"Do not use os.linesep as a line terminator when writing files opened in text mode (the default); use a single '\n' instead, on all platforms.","(os, contains, os.linesep)"
"Unlike the contextlib.nested , this guarantees that a and b will have their __exit__() 's called even if C() or it's __enter__() method raises an exception.","(contextlib.nested, guarantees calling, __exit__())"
"Besides these four statements, there are several Python functions that hide some bool calls (like any , all , filter , ...). These are normally not problematic with pandas.Series , but for completeness I wanted to mention these.","(any, similar to, all)"
"Using these magic methods ( __enter__ , __exit__ ) allows you to implement objects which can be used easily with the with statement.",
It should work well with pip . Official docs | Pypi page | GitHub repo | scikit-build section of Python Package User Guide,
DataFrame.iterrows is a generator which yields both the index and row (as a Series):,"(DataFrame, contains, iterrows), (DataFrame, contains, Series)"
"This means that all data read from the file is returned as bytes objects, not str . You cannot then use a string in a containment test:","(bytes, different from, str)"
"These metaclass-methods are like classmethods in that they can be called on the class without an instance, but they are also not like classmethods in that they cannot be called on an instance of the class. type.__subclasses__() is an example of a method on the type metaclass","(type, has_method, type.__subclasses__())"
Use the nargs option or the 'append' setting of the action option (depending on how you want the user interface to behave).,
"string.index(s, sub[, start[, end]]) Like find() but raise ValueError when the substring is not found.","(string.index(), differs from, find()), (string.index(), raises, ValueError), (find(), raises, ValueError)"
"There is an additional wrinkle: the module's name depends on whether it was imported ""directly"" from the directory it is in or imported via a package.  This only makes a difference if you run Python in a directory, and try to import a file in that same directory (or a subdirectory of it).  For instance, if you start the Python interpreter in the directory package/subpackage1 and then do import moduleX , the name of moduleX will just be moduleX , and not package.subpackage1.moduleX .  This is because Python adds the current directory to its search path when the interpreter is entered interactively; if it finds the to-be-imported module in the current directory, it will not know that that directory is part of a package, and the package information will not become part of the module's name.","(package.subpackage1.moduleX, differs from, moduleX)"
"all_equal2 (in the worst case) and all_equal_6502 create a copy of the list, meaning you need to use double the memory.","(all_equal2, differs from, all_equal_6502)"
"because this will also catch Unicode strings. unicode is not a subclass of str ; both str and unicode are subclasses of basestring . In Python 3, basestring no longer exists since there's a strict separation of strings ( str ) and binary data ( bytes ).","(unicode, is not a subclass of, str)"
"If you need to copy the elements of the list as well, use generic copy.deepcopy() :","(copy, utilized with, copy.deepcopy())"
"Your setup.py file needs setuptools . Some Python packages used to use distutils for distribution, but most now use setuptools , a more complete package","(distutils, replaced by, setuptools)"
"If you want to check the Django version, open a Python console and type",
"Use pathlib.Path().rglob() from the pathlib module, which was introduced in Python 3.5.","(pathlib, contains, pathlib.Path()), (pathlib.Path(), contains, rglob())"
"Sorting by an alternate key >>> sorted([1, 2, 3, 4, 5, 6, 7, 8, 9], key=lambda x: abs(5-x))","(sorted, has parameter, key); (sorted, uses in example, lambda)"
"Keep on adding empty __init__.py to your directories because 99% of the time you just want to create regular packages . Also, Python tools out there such as mypy and pytest require empty __init__.py files to interpret the code structure accordingly",
"If you are not using extended ASCII (i.e., not on a PC), you are stuck with the ASCII characters below 127, and '#' or '@' is probably your best bet for a block",
"David Mertz's article, Iterators and Simple Generators , is a pretty good introduction.","(Iterators and Simple Generators, is article by, David Mertz)"
You can use the two tools side by side (by installing pip with conda install pip ) but they do not interoperate either.,"(pip, used side by side with, conda)"
"b = copy.deepcopy(a) : Deep copying, a and b 's structure and content become completely isolated.","(copy, realized by, copy.deepcopy())"
"If we hit the person with a knife, we can just exit the function because we know there's only one knife and no reason the check rest of the prisoners . If we don't find the prisoner with a knife, we raise an alert",
Jupyter Notebook is a web-based interactive computational environment for creating Jupyter notebook documents,
"For globally setting title and label sizes, mpl.rcParams contains axes.titlesize and axes.labelsize . (From the page):","(axes.titlesize, similar to, axes.labelsize)"
"If you are writing this to a file, you can use io.open() instead of open() to produce a file object that encodes Unicode values for you as you write, then use json.dump() instead to write to that file:","(io.open, alternative to, open); (io.open, works with, json.dump)"
"B uilt-in (Python) — Names preassigned in the built-in names module: open , range , SyntaxError , etc","(builtins.open, is a type of, built-in name); (builtins.range, is a type of, built-in name); (builtins.SyntaxError, is a type of, built-in name)"
"of the meaning of “processor time”, depends on that of the C function",
Warning! I don't really know what is happening when current module is inside an egg file,
"In this code, you should call stop() on the thread when you want it to exit, and wait for the thread to exit properly using join() . The thread should check the stop flag at regular intervals.","(stop(), used with, join())"
"Besides merge , DataFrame.update and DataFrame.combine_first are also used in certain cases to update one DataFrame with another.","(DataFrame.update, used with, DataFrame.combine_first)"
"The compile(source, filename, mode, flags=0, dont_inherit=False, optimize=-1) built-in can be used to speed up repeated invocations of the same code with exec or eval by compiling the source into a code object beforehand","(exec, similar to, eval)"
"""new"" style classes: they have, directly or indirectly (e.g inherit from a built-in type ), object as a base class:",
"In Python 3, they made the / operator do a floating-point division, and added the // operator to do integer division (i.e., quotient without remainder); whereas in Python 2, the / operator was simply integer division, unless one of the operands was already a floating point number.",
string.ascii_uppercase + string.digits just concatenates the list of characters representing uppercase ASCII chars and digits:,"(string.ascii_uppercase, concatenates with, string.digits)"
Use nargs='?' (or nargs='*' if you need more than one dir),
"With our object DataFrame df , we get the following result:",
You can use type=int (or whatever) to get a list of ints (or whatever),
"A good place to start learning would be the iterators section of the tutorial and the iterator types section of the standard types page . After you understand the basics, try the iterators section of the Functional Programming HOWTO .","(iterators section, mentions, iterator types section)"
"Update: if you use anaconda, you may simply use this as well (and hence don't need to add menpo channel):","(anaconda, eliminates need for, menpo channel)"
"Note that file is one of Python's core modules, so I suggest you change the filename of file.py to something else.",
So Conda is a packaging tool and installer that aims to do more than what pip does; handle library dependencies outside of the Python packages as well as the Python packages themselves,
"Using the VIRTUAL_ENV environment variable is not reliable . It is set by the virtualenv activate shell script, but a virtualenv can be used without activation by directly running an executable from the virtualenv's bin/ (or Scripts ) directory, in which case $VIRTUAL_ENV will not be set",
The functionality described above can be enabled starting from Python 3.7 using the following special import:,
The docs describe the attributes available on the request object ( from flask import request ) during a request,"(flask, includes, request)"
pd.DataFrame.set_index because the set of keys are unique for both rows and columns,"(pd.DataFrame, has_method, pd.DataFrame.set_index)"
"Use dir() , vars() or the inspect module to get what you are interested in (I use __builtins__ as an example; you can use any object instead).","(dir(), used as alternative to, inspect)"
"It's been discussed in this question and also this GitHub issue . Tensorflow uses an ad-hoc build system called bazel and building it is not that trivial, but is certainly doable",
"Simply implement an iterator that defines a next() method, and implement an __iter__ method on a class to make it iterable. (the __iter__ of course, should return an iterator object, that is, an object that defines next() )",
"Python 3 has only new-style classes that are declared as class A: , class A(object): or class A(B): .",
"If you want to remove all whitespace and then leave a single space character between words, use str.split() followed by str.join() :","(str.split(), used in conjunction with, str.join())"
You can use PyPNG . It's a pure Python (no dependencies) open source PNG encoder/decoder and it supports writing NumPy arrays as images.,
"If the reason you're checking is so you can do something like if file_exists: open_it() , it's safer to use a try around the attempt to open it",
"You can see that the Resource version of the code is much simpler, more compact, and has more capability (for example it does pagination for you and it exposes properties instead of a raw dictionary). The Client version of the code would actually be more complicated than shown above if you wanted to include pagination.",
Pip installs Python packages whereas conda installs packages which may contain software written in any language,
"Since writing this answer, Anaconda has published a new page on Understanding Conda and Pip , which echoes this as well:",
"You can either use the response.raw file object , or iterate over the response.",
"NumPy's arrays are more compact than Python lists -- a list of lists as you describe, in Python, would take at least 20 MB or so, while a NumPy 3D array with single-precision floats in the cells would fit in 4 MB. Access in reading and writing items is also faster with NumPy.",
importlib was added to Python 3 to programmatically import a module.,
"This solution applies to the system scope or to a virtual environment scope, and covers packages installed by setuptools , pip and ( god forbid ) easy_install .",
"x and y are otherwise evaluated on their own ( False if 0 , True otherwise).",
"This is different from virtualenv , where the directory is typically in the current working directory. pipenv is meant to be used when developing Python applications (as opposed to libraries). There are alternatives to pipenv , such as poetry , which I won't list here since this question is only about the packages that are similarly named.",
"The python-dateutil package also has dateutil.parser.parse . Compared with isoparse , it is presumably less strict, but both of them are quite forgiving and will attempt to interpret the string that you pass in","(python-dateutil, includes, dateutil.parser.parse), (python-dateutil, includes, isoparse), (dateutil.parser.parse, similar to, isoparse), (dateutil.parser.parse, less strict than, isoparse)"
You can pass this parameter to json.loads (if you don't need a Decoder instance for other purposes) like so:,"(json.loads, accepts parameter, json.JSONDecoder)"
First of all you will need to download latest executable geckodriver from here to run latest Firefox using Selenium,
You need to provide explicitly Firefox installed binary location to launch Firefox as below :-,
"The difference is that the second one will also catch KeyboardInterrupt , SystemExit and stuff like that, which are derived directly from BaseException , not Exception .","(KeyboardInterrupt, derived from, BaseException); (SystemExit, derived from, BaseException); (Exception, derived from, BaseException)"
"Whether running scripts inside a package is an antipattern or not is subjective, but personally I find it really useful in a package I have which contains some custom wxPython widgets, so I can run the script for any of the source files to display a wx.Frame containing only that widget for testing purposes.","(wxPython, contains, wx.Frame)"
"Statements (see 1 , 2 ), on the other hand, are everything that can make up a line (or several lines) of Python code.  Note that expressions are statements as well.  Examples:",
"The --host option to flask run , or the host parameter to app.run() , controls what address the development server listens to","(flask run, has option, --host)"
"To use the response.raw file-like object will not, by default, decode compressed responses (with GZIP or deflate). You can force it to decompress for you anyway by setting the decode_content attribute to True ( requests sets it to False to control decoding itself). You can then use shutil.copyfileobj() to have Python stream the data to a file object:","(shutil.copyfileobj(), utilized with, requests)"
"Should Third 's MRO be [First, Second] or [Second, First] ? There's no obvious expectation, and Python will raise an error:","(Third, has, MRO)"
"This is the closest equivalent to Java's final . However, it does not actually prevent reassignment :",
"In addition to rstrip() , there are also the methods strip() and lstrip() . Here is an example with the three of them:","(rstrip(), related to, strip())"
"google_pubsub and google_storage are separate packages but they share the same namespace google/cloud . In order to share the same namespace, it is required to make each directory of the common path a namespace package, i.e. google/ and cloud/ . This should be the only use case for creating namespace packages, otherwise, there is no need for it.",
Typically you would structure your files into packages (see other answers) instead of modifying the search path.,
"Edit 1: This was tested on Windows (8, 8.1, 10), Mac and Linux",
"Python normally interprets the len gth of containers (like list , tuple , ...) as truth-value if it has no explicit Boolean interpretation","(list, similar to, tuple)"
"For example, before using pip, a Python interpreter must be installed via a system package manager or by downloading and running an installer",
"yaml.load() also exists, but yaml.safe_load() should always be preferred to avoid introducing the possibility for arbitrary code execution","(yaml.load(), should be replaced by, yaml.safe_load())"
"A.foo(1) would have raised a TypeError, but A.class_foo(1) works just fine:","(A.foo(1), differs from, A.class_foo(1))"
"HP had a site built with Django 1.5: ePrint center . However, as for novemer/2015 the entire website was migrated and this link is just a redirect",
A couple of alternative approaches are listed in the documentation of itertools.permutations . Here's one:,"(itertools, contains, itertools.permutations)"
Because PyPy is a JIT compiler its main advantages come from long run times and simple types (such as numbers). PyPy's pre-JIT speeds can be bad compared to CPython.,
"pd.DataFrame.pivot_table we pass values=['val0', 'val1'] but we could've left that off completely","(pd.DataFrame, contains, pd.DataFrame.pivot_table)"
"Yes, in CPython 2.7 that it is handily referred to as being a forward-compatibility option (why confuse people over that there is a backward compatibility option at all),",
"In brief, Unicode strings are an entirely separate type of Python string that does not contain any encoding","(Unicode strings, are separate type from, Python string)"
"Named tuples are basically easy-to-create, lightweight object types.  Named tuple instances can be referenced using object-like variable dereferencing or the standard tuple syntax.  They can be used similarly to struct or other common record types, except that they are immutable.  They were added in Python 2.6 and Python 3.0, although there is a recipe for implementation in Python 2.4 .",
"Distribute was merged back into Setuptools 0.7 , so you don't need to use Distribute any more","(Distribute, merged back into, Setuptools)"
"On Python 3.4 and earlier, use subprocess.call instead of .run :","(subprocess.call, replaced by, subprocess.run)"
"np.array(a, copy=False, subok=True) and np.array(m, copy=False, subok=True) will copy neither, because m is a matrix , which is a subclass of ndarray .","(matrix, subclass of, ndarray)"
"It partially works with environments where other AST magics apply, including pytest, ipython, macropy, birdseye, reticulate with R, etc",
"And yes, in Python 2.*, u'...' is of course always distinct from just '...' -- the former is a unicode string, the latter is a byte string","(unicode string, distinct from, byte string)"
Some kinds of projects may have authentication requirements for which Django’s built-in User model is not always appropriate,
"This syntax variant exists mostly because the syntax of regular expression patterns is heavy with backslashes (but never at the end, so the ""except"" clause above doesn't matter) and it looks a bit better when you avoid doubling up each of them -- that's all.  It also gained some popularity to express native Windows file paths (with backslashes instead of regular slashes like on other platforms), but that's very rarely needed (since normal slashes mostly work fine on Windows too) and imperfect (due to the ""except"" clause above).",
"Others may disagree, but I personally would avoid ever using the for-else or while-else blocks in production code.",
"And if the list contains non-string types (such as integers, floats, bools, None) then do:","(int, example of, non-string types)"
"As you are in python3 , use dict.items() instead of dict.iteritems()","(dict.items(), replaces, dict.iteritems())"
What about staticmethod ? It's pretty similar to classmethod but doesn't take any obligatory parameters (like a class method or instance method does).,"(staticmethod, similar to, classmethod)"
"If that's not what you request back, Python will just give you bytes strings in the stdout and stderr strings","(stdout, similar to, stderr)"
"When you tried to print the dates, you printed mylist . If you want to print a date, you must print the date objects, not their container (the list).","(list, contains, date objects)"
"Then delete also the containing directory, e.g. /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/my_module-0.1.egg/ on macOS. It doesn't have any files, but Python will still import an empty module:",
"The collections module provides some abstract base classes, which allow to ask classes or instances if they provide particular functionality, for example: from collections.abc import Iterable","(collections.abc.Iterable, is provided by, collections.abc)"
"There is technically no difference between using Optional[] on a Union[] , or just adding None to the Union[] . So Optional[Union[str, int]] and Union[str, int, None] are exactly the same thing.","(Optional[Union[str, int]], equivalent to, Union[str, int, None])"
You can pass stderr=subprocess.STDOUT to ensure that error messages are included in the returned output,"(stderr, can be set to, subprocess.STDOUT)"
"Just pick a type: you can use a NumPy dtype (e.g. np.int16 ), some Python types (e.g. bool), or pandas-specific types (like the categorical dtype).","(np.int16, example of, NumPy dtype)"
See what the Python tutorial has to say on the subject of classes and class objects .,"(classes, related_to, class objects)"
"Every generator is an iterator, but not vice versa.  A generator is built by calling a function that has one or more yield expressions ( yield statements, in Python 2.5 and earlier), and is an object that meets the previous paragraph's definition of an iterator .","(generator, is a type of, iterator)"
"Handling the end case is a C goto followed by a direct realloc (no making a copy into a smaller tuple ) down to the already known final size, since it's tracking how many elements it has successfully pulled (no complex ""create sentinel for use as fillvalue and do Python level if / else checks for each batch to see if it's empty, with the final batch requiring a search for where the fillvalue appeared last, to create the cut-down tuple "" required by zip_longest -based solutions).",
You can fix that by installing a C++ compiler such as MinGW or Visual C++ . Microsoft actually ships one specifically for use with Python,"(MinGW, similar to, Visual C++)"
"To perform an INNER JOIN, call merge on the left DataFrame, specifying the right DataFrame and the join key (at the very least) as arguments.","(merge, requires, DataFrame)"
With this class you can use the Map object like another dictionary(including json serialization) or with the dot notation,"(Map, supports, json serialization)"
This also applies to pip requirements files .  See the full details on version specifiers in PEP 440 .,
It was removed from Python 3.8 as it had problems (not to mention the confusing name). Running python3 -m venv has exactly the same effect as pyvenv .,"(pyvenv, substituted by, venv)"
"str(x) converts any object x to a string by calling x. __str__() , or repr(x) if x doesn't have a __str__() method.","(str(x), falls back to, repr(x))"
"For Python 3.8+, use statistics.fmean for numerical stability with floats. (Fast.)","(statistics.fmean, is part of, statistics)"
"'period[]' Not to be confused with a timedelta, these objects are actually anchored to specific time periods","(period[], different from, timedelta)"
"So, again as you've found, {{products|count}} (or equivalently {{products|length}} ) in your template will give the ""number of products"" (""length of list"")",
"They are thus suitable for deployment via TensorFlow Serving, TensorFlow Lite, TensorFlow.js, or programs in other programming languages (the C, C++, Java, Go, Rust, C# etc","(TensorFlow Serving, utilized in conjunction with, TensorFlow Lite), (TensorFlow Serving, utilized in conjunction with, TensorFlow.js), (TensorFlow Lite, utilized in conjunction with, TensorFlow.js)"
"From the doc of sys_info : Assigning the traceback return value to a local variable in a function that is handling an exception will cause a circular reference . This will prevent anything referenced by a local variable in the same function or by the traceback from being garbage collected. [...] If you do need the traceback, make sure to delete it after use (best done with a try ... finally statement)","(sys_info, necessitates, traceback)"
"For more information about what os.stat_result contains, refer to the documentation . For the modification time you want fname.stat().st_mtime :","(os.stat_result, contains, modification time)"
"Is this a lambda returning (y, [1,2,3]) (thus map only gets one parameter, resulting in an error)? Or does it return y ? Or is it a syntax error, because the comma on the new line is misplaced? How would Python know what you want?","(lambda, requires, map)"
"The difference is mostly due to ""indirectness"" -- a Python list is an array of pointers to Python objects, at least 4 bytes per pointer plus 16 bytes for even the smallest Python object (4 for type pointer, 4 for reference count, 4 for value -- and the memory allocators rounds up to 16). A NumPy array is an array of uniform values -- single-precision numbers takes 4 bytes each, double-precision ones, 8 bytes","(list, differs from, array)"
"It's pretty cool because if we inherit our Date class, all children will have from_string defined also.",
"pd.DataFrame.pivot_table we pass values=['val0', 'val1'] but we could've left that off completely df.pivot_table(","(pd.DataFrame, contains, pd.DataFrame.pivot_table), (pd.DataFrame, contains, df.pivot_table), (pd.DataFrame.pivot_table, similar to, df.pivot_table)"
"In this case, candidates.extend(node._get_child_candidates(distance, min_dist, max_dist)) exhausts all the values of the generator, but while keeps creating new generator objects which will produce different values from the previous ones since it's not applied on the same node.",
"PS. Can you help me to add features of the above editors to the list (like auto-complete, debugging, etc.)?",
"But do note that typing is not enforced.  Python continues to remain a dynamically-typed language.  The annotation syntax has been developed to help during the development of the code prior to being released into production.  As PEP 484 states, ""no type checking happens at runtime.""",
"Global site-packages ("" dist-packages "") directories are listed in sys.path when you run: python -m site For a more concise list run getsitepackages from the site module in Python code: python -c 'import site; print(site.getsitepackages())' Caution: In virtual environments getsitepackages is not available with older versions of virtualenv , sys.path from above will list the virtualenv's site-packages directory correctly, though",
"If you need to copy the elements of the list as well, use generic copy.deepcopy() : import copy","(copy.deepcopy(), utilized with, copy)"
"Python expects iterables so it will work with strings, lists, tuples, and generators! This is called duck typing and is one of the reasons why Python is so cool","(strings, are examples of, iterables)"
"The above is consistent with numpy advice/error message, to use reshape(1,-1) for a single sample; i.e. single row","(numpy, recommends, numpy.reshape)"
"distutils is still included in the standard library of Python, but is considered deprecated as of Python 3.10",
"has had identical behaviour in possibly every widely released Python version ever; and works in Jython 2.5.2, PyPy 2.3.1 (Python 2.7.6) and IronPython 2.6.1 too (kudos to them following the undocumented behaviour of CPython closely).",
"If you want to be able change the values, you need another type.  There is a handy recipe for mutable recordtypes which allow you to set new values to attributes.",
"You can preserve the stacktrace (and error value) with sys.exc_info() , but this is way more error prone and has compatibility problems between Python 2 and 3 , prefer to use a bare raise to re-raise.","(sys, includes, sys.exc_info())"
"Some examples are: opening files using with open(filename) as fp: , acquiring locks using with lock: (where lock is an instance of threading.Lock ). You can also construct your own context managers using the contextmanager decorator from contextlib . For instance, I often use this when I have to change the current directory temporarily and then return to where I was:","(open(), example similar to, threading.Lock)"
"subprocess runs your shell commands with /bin/sh unless you specifically request otherwise (except of course on Windows, where it uses the value of the COMSPEC variable). This means that various Bash-only features like arrays, [[ etc are not available.","(/bin/sh, is used on Unix/Linux while, COMSPEC)"
"Note that this is the 'nice' way to exit.  @ glyphtwistedmatrix below points out that if you want a 'hard exit', you can use os._exit(*errorcode*) , though it's likely os-specific to some extent (it might not take an errorcode under windows, for example), and it definitely is less friendly since it doesn't let the interpreter do any cleanup before the process dies.  On the other hand, it does kill the entire process, including all running threads, while sys.exit() (as it says in the docs) only exits if called from the main thread, with no other threads running.","(os._exit(), differs from, sys.exit())"
"The printed output will be the same.  Under the hood, the generator object supports the iterator protocol and does something roughly similar to the class Counter.",
"Python 3 returns an iterator from filter , so should be wrapped in a call to list()","(filter, requires wrapping by, list())"
"The fix is to write lambda _: 1.0 . An unused variable is often hiding a bug/typo (e.g. set day but use dya in the next line). The pattern matching feature added in Python 3.10 elevated this usage from ""convention"" to ""language syntax"" where match statements are concerned: in match cases, _ is a wildcard pattern , and the runtime doesn't even bind a value to the symbol in that case",
You can find some of these bitmaps that you can use on the Dwarf Fortress Wiki see ( user-made tilesets ).,
"Regardless of whether GET / POST, you never have to encode parameters again, it simply takes a dictionary as an argument and is good to go:","(GET, similar to, POST)"
"This will give you the absolute path to the file you're looking for.  Note that if you're using setuptools, you should probably use its package resources API instead.","(setuptools, provides, package resources API)"
"Use .set_figwidth and .set_figheight on the matplotlib.figure.Figure object returned by plt.subplots() , or set both with f.set_size_inches(w, h) .","(matplotlib.pyplot.subplots, returns, matplotlib.figure.Figure); (matplotlib.figure.Figure.set_figwidth, sets attribute of, matplotlib.figure.Figure); (matplotlib.figure.Figure.set_figheight, sets attribute of, matplotlib.figure.Figure); (matplotlib.figure.Figure.set_size_inches, sets attribute of, matplotlib.figure.Figure); (matplotlib.figure.Figure.set_figwidth, similar to, matplotlib.figure.Figure.set_figheight); (matplotlib.figure.Figure.set_figwidth, alternative to, matplotlib.figure.Figure.set_size_inches); (matplotlib.figure.Figure.set_figheight, alternative to, matplotlib.figure.Figure.set_size_inches)"
"Remember, the command you need to use with Conda is conda deactivate (for older versions, use source deactivate ). So it may be wise to start a new shell and activate the environment in that before you try","(conda deactivate, replaced by, source deactivate)"
"To explain - the sys.exc_info() returns the type, value, and traceback.","(sys, contains, sys.exc_info())"
"This is why the “eval” thing comes up: if you have enough information so eval(repr(c))==c , that means you know everything there is to know about c . If that’s easy enough, at least in a fuzzy way, do it","(eval, requires input from, repr)"
From April 2008 post: When to use __new__ vs. __init__ ? on mail.python.org.,"(__new__(), different from, __init__())"
"If one looks into eval and exec source code in CPython 3, this is very evident; they both call PyEval_EvalCode with same arguments, the only difference being that exec explicitly returns None .","(eval, similar to, exec)"
"The filename ( ""file.foo"" ) must be included in both the source and destination arguments",
"Once you know how it works, You may want to use an ORM to avoid writing SQL manually and manipulate your tables as they were Python objects","(ORM, avoid writing, SQL)"
"The iteritems() method is also gone, since items() in Python 3 works like viewitems() in Python 2.7.","(iteritems(), replaced by, items()), (items(), similar to, viewitems())"
You can use the zfill() method to pad a string with zeros:,
"If you know from context which variables you want to slice out, you can just return a view of only those columns by passing a list into the __getitem__ syntax (the []'s).",
