Sentence, Relation,Label 1,Label 2,Final
"If you created your SortedSet with a Comparator, you can obtain that Comparator via the SortedSet comparator() method.","['(interface, creation, interface): (sortedset, created with, comparator)', '(interface, access, interface): (sortedset, obtain via, comparator)', '(interface, containment, interface): (sortedset, with, comparator)']","T, T, T","T, T, T","T, T, T"
The second System.out.println() statement is not executed until after the for loop is finished.,[],,,
The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference and the stored stamp with an expected stamp and if they two references and stamps are the same (not equal as in equals() but same as in ==) then a new reference can be set on the AtomicStampedReference instance,"['(method, dependency, class): (compareandset(), relies on, atomicstampedreference)']",T,T,T
"The TokenReplacingReader is itself a subclass of java.io.Reader, so any class that can use a Reader, can use a TokenReplacingReader.",[],,,
The Java PrintWriter class (java.io.PrintWriter) enables you to write formatted data to an underlying Writer.,[],,,
"Its a tree of packages, subpackages and classes inside these classes.","['(package, containment, package): (packages, contains, subpackages)', '(package, containment, class): (packages, contains, classes)', '(package, containment, class): (subpackages, contains, classes)']","F, F, F","F, F, F","F, F, F"
"Once you have a reference to the Class object representing some class, you can see what fields that class contains.",[],,,
"For a full POM file, check out the pom.xml in this github repository: RION Ops for Java GitHub Repository",[],,,
To make it easy for you to write your first JMH benchmark I will just use the generated class in this example.,[],,,
Here is a code example that finds getter and setters of a class:,[],,,
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"['(method, support, method): (marksupported(), supports, mark)', '(method, support, method): (marksupported(), supports, reset)', '(method, support, class): (marksupported(), supports, inputstream)', '(method, support, class): (marksupported(), supports, bufferedinputstream)']","F, F, F, T","F, F, F, T","F, F, F, T"
Here is an example of reading a Java Boolean object using the RionReader readBooleanObj() method:,[],,,
Instead of the class MyCustomObjectMapper you should use your own class.,[],,,
"That means, that the member variable time inside the Clock class cannot be accessed from code outside the Clock class.",[],,,
"After executing the list.subList(1,3) instruction the sublist will contain the elements at index 1 and 2.",[],,,
At the bottom of the class hierarchy you have the subclasses.,[],,,
"In the example above the ""System.out.println(""Division attempt done"");"" statement will always get executed.",[],,,
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().","['(method, dependency, method): (update(), relies on, sign)']",T,T,T
When you do so you can call connect() read() and write() in asynchronous mode,"['(method, collaboration, method): (connect(), call, read)', '(method, collaboration, method): (connect(), call, write)']","T, T","T, T","T, T"
The limit() method returns a new Stream which will at most contain the given number of elements.,"['(class, containment, method): (stream, contain, limit)']",F,F,F
"If you look at the example in the previous section, imagine what happens if an exception is thrown between the call to lock.lock() and lock.unlock() .","['(method, dependency, method): (lock.lock(), relies on, lock.unlock)']",F,F,F
"Java has 3 streams called System.in, System.out, and System.err which are commonly used to provide input to, and output from Java applications.","['(class, collaboration, class): (system.in, provide input to, system.out)', '(class, collaboration, class): (system.in, provide input to, system.err)', '(class, collaboration, class): (system.out, output from, system.err)']","T, T, T","T, T, T","T, T, T"
"Only if you return the exact same object from the initialValue() method, will all threads see the same object.",[],,,
This is different from poll() which returns null if the Deque is empty.,"['(method, difference, interface): (poll(), is different from, deque)']",F,F,F
"After that, the while loop exits, and the InputStream close() method is called.",[],,,
A Duration object (java.time.Duration) represents a period of time between two Instant objects.,"['(class, containment, class): (duration, represents a period of time between, instant)']",F,F,F
The get() method returns the value of the element with the given index.,[],,,
"Notice that the Spaceship class already implements the Comparable interface which compares Spaceship objects on spaceshipClass first, and then registrationNo.","['(class, implementation, interface): (spaceship, implements, comparable)']",T,T,T
In this text I will try to give you an overview of the classes in the Java IO (java.io) package.,[],,,
"For instance, the character class [a-z] will match all characters between a lowercase a and a lowercase z, both a and z included.",[],,,
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.","['(interface, difference, class): (java interface, is a bit like, java class)']",T,T,T
After calling read() the example loops until the isDone() method of the returned Future returns true,"['(method, dependency, class): (read(), relies on, future)']",T,T,T
The Java FileOutputStream class contains a set of different useful constructors.,[],,,
"You can also attach an object already while registering the Channel with the Selector, in the register() method.","['(method, collaboration, class): (register(), with, channel)', '(method, collaboration, class): (register(), with, selector)']","F, F","F, F","F, F"
"This import statement should be at the top of your Java class, right under the package declaration.","['(package, containment, class): (package, includes, class)']",T,T,T
The RionWriter class has functionality that helps you reserve length bytes for composite RION fields and jump back up and fill them in correctly later.,[],,,
The Matcher appendReplacement() and appendTail() methods are used to replace string tokens in an input text and append the resulting string to a StringBuffer,"['(method, modification, class): (matcher.appendreplacement(), replace, stringbuffer)', '(method, modification, class): (matcher.appendtail(), append, stringbuffer)']","T, T","T, T","T, T"
First I will show you the class I want to test:,[],,,
"If you don't know the name at compile time, but have the class name as a string at runtime, you can do like this:",[],,,
Calling addAndGet() is also an atomic operation (like all operations on the AtomicLongArray).,"['(method, dependency, class): (addandget(), relies on, atomiclongarray)']",F,F,F
"Too look at the list of available Maven archetypes, you can pipe the output into a file, and open that file in e.g.",[],,,
A class is a way of grouping data and instructions that belong together.,[],,,
Each of these strings are included in the String array returned by the split() method.,[],,,
"These classes are similar to the classes found in the Java Networking API, except the Java NIO API can work in non-blocking mode.","['(package, equivalence, package): (java networking api, similar to, java nio api)']",T,T,T
See the JavaDoc for the Locale class for more detail about variant.,[],,,
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","['(method, execution, method): (unlock(), awakens, donotify)']",T,T,T
By calling flush() you can assure that any buffered data will be flushed (written) to disk.,[],,,
Notice how notifyAll() is only called from enqueue() and dequeue() if the queue size is equal to the size bounds (0 or limit),"['(method, collaboration, method): (notifyall(), called from, enqueue)', '(method, collaboration, method): (notifyall(), called from, dequeue)']","T, T","T, T","T, T"
"Of course, if the insertIntoArray() method is located in a different class than the above code, you would need an object of that class in order to be able to call the method.",[],,,
"Therefore, everytime you want to reload a class you must use a new instance of your ClassLoader subclass.",[],,,
This is different than remove() which throws an exception if the Deque is empty.,"['(method, difference, class): (remove(), is different than, deque)']",F,F,F
Through the java.sql.DatabaseMetaData interface you can obtain meta data about the database you have connected to.,[],,,
The Java compiler then generates the corresponding fields getter methods and a hashCode() and equals() method,"['(method, equivalence, method): (hashcode(), is similar to, equals)']",F,F,F
The Pattern class is covered separately in my Java Regex Pattern tutorial.,[],,,
The RionReader class has a method named readUtf8String() which can read a RION UTF-8 field into a Java String.,[],,,
"When inspecting a parameterizable type itself at runtime via reflection, like java.util.List, there is no way of knowing what type is has been parameterized to.",[],,,
When you create an instance of a class (an object) the object can have methods you can execute.,"['(class, containment, method): (class, have, methods)']",T,T,T
"More specifically, the elements of each array are compared one by one using their equals() method.",[],,,
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.","['(method, limitation, method): (stop(), no longer create, lambda expression)  )', '(method, limitation, method): (pause(), no longer create, lambda expression)  )', '(interface, creation, method): (runnable, create, lambda expression)']","T, T, T","T, T, T","T, T, T"
For each call to release() a permit is returned to the semaphore.,"['(method, dependency, class): (release(), returns a permit to, semaphore)']",F,F,F
"Using Java generics in your own classes is described in more detail in the tutorials about generic classes, generic methods and using class objects as type literals.",[],,,
"Once all the data is written to it, simply call the method toByteArray() or toCharArray, and all the data written is returned in array form.","['(method, equivalence, method): (tobytearray, is returned in array form, tochararray)']",T,T,T
"In other words: The ImmutableValue class is thread safe, but the use of it is not.",[],,,
You could view the LocalDateTime as a combination of the LocalDate and LocalTime classes of the Java 8 date time API.,"['(class, containment, class): (localdatetime, combination of, localdate)', '(class, containment, class): (localdatetime, combination of, localtime)']","T, T","T, T","T, T"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,"['(class, dependency, method): (chararraywriter, relies on, close)']",F,F,F
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"['(method, difference, method): (poll(), difference, remove)']",F,F,F
The rules for read access are implemented in the lockRead() method.,[],,,
Before you can use a Java Deque you must create an instance of one of the classes that implements the Deque interface.,[],,,
"multiple blocks from a large file, you call the update() once for each block of data, and finish with a call to doFinal() with the last data block.","['(method, execution, method): (update(), calls, dofinal)']",F,F,F
This outline mostly serves to show you the interface of the RollingBufferInputStream class.,[],,,
The list() method returns an array of String's with the file and / or directory names of directory the File object points to.,[],,,
This example starts the server and instructs it to listen on TCP port 10.000 .,[],,,
Notice how the second call to Stream map() is called on the Stream returned by the first map() call.,"['(class, execution, method): (stream, is called on, map)']",F,F,F
The Java Certificate getEncoded() method returns an encoded version of the Certificate as a byte array.,"['(method, conversion, class): (getencoded(), returns an encoded version of, certificate)']",T,T,T
"Once this thread then exits the synchronized block in the doWait() method, the other threads can exit the wait() call and check the wasSignalled member variable inside the while loop.",[],,,
"The expression map instanceof Object will evaluate to true if the map variable references an object that is an instance of class Object, or any subclass of class Object.",[],,,
"Annotations are defined in their own file, just like a Java class or interface.","['(class, containment, interface): (java, defined in, interface)']",F,F,F
"Notice how the buffers are first inserted into an array, then the array passed as parameter to the channel.read() method.",[],,,
"The Java List interface, java.util.List, represents an ordered sequence of objects.",[],,,
"*/ public void incB() { this.countB++; } /** * Many reading threads may call this method */ public long countA() { return this.countA; } /** * Many reading threads may call this method */ public long countB() { return this.countB; } } As you can see, the DoubleWriterCounter now contains two volatile variables, and two pairs of incrementation and read methods.","['(method, access, method): (incb, retrieves, countb)', '(method, access, method): (counta, retrieves, counta)', '(method, access, method): (countb, retrieves, countb)']","T, T, T","T, T, T","T, T, T"
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call,"['(interface, difference, interface): (runnable, difference, callable)', '(method, difference, method): (run(), difference, call)']","T, T","T, T","T, T"
The System class also has a getProperty() and setProperty() method which are shortcuts to the Properties getProperty() and setProperty() methods of the System Properties instance,[],,,
"In this case, these parameters have to match the parameters of the onStateChange() method of the StateChangeListener interface:","['(method, dependency, interface): (onstatechange(), match, statechangelistener)']",F,F,F
Here is how copying a full array using Arrays.copyOfRange() in Java looks:,[],,,
It is these keys you can access via the selectedKeySet() method.,[],,,
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:","['(class, implementation, interface): (poolthreadrunnable, implements, runnable)']",T,T,T
The getFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,"['(method, access, interface): (getfirst(), returns, deque)']",T,T,T
The first way to specify an initial value for a Java ThreadLocal variable is to create a subclass of ThreadLocal which overrides its initialValue() method.,"['(class, creation, method): (threadlocal, specify an initial value for, initialvalue)']",F,F,F
Support for Scala and Clojure should be arriving soon (it was originally planned for v. 3.0 but I am not sure if they got it in).,[],,,
Methods are operations that the class or instances of that class can perform.,"['(class, containment, method): (class, includes, methods)']",T,T,T
Formatting a number as a percentage is also done using the format() method.,[],,,
The hashtable then iterates this area (all keys with the same hash code) and uses the key's equals() method to find the right key.,[],,,
"Therefore, there are several classes in Java that implements the Java Iterable interface.",[],,,
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.","['(class, collaboration, class): (java.sql.preparedstatement, interact with, java.sql.date)', '(class, collaboration, class): (java.sql.resultset, interact with, java.sql.date)']","T, T","T, T","T, T"
Notice the enum keyword which is used in place of class or interface.,"['(class, replacement, interface): (class, used in place of, interface)']",F,F,F
The access modifier determines which object classes that can access the field.,[],,,
"Third, this example calls the myTask doLast() method, passing along another closure as parameter.",[],,,
The doSomethingWithData() method implementation has been left out of this example to keep it short.,[],,,
The getThreadID() method returns the ID of the thread logging the message represented by this LogRecord.,"['(method, access, class): (getthreadid(), returns, logrecord)']",F,F,F
The text parameter passed to the getInstance() method is the name of the concrete message digest algorithm to use.,[],,,
Here is an example of obtaining the last key of a SortedMap via its lastKey() method:,"['(interface, access, method): (sortedmap, obtain, lastkey)']",T,T,T
Make sure that the business logic component does not know anything about the boundary classes.,[],,,
"The assertThat() method just takes care of the ""plumming"" - meaning calling the Matcher with the given object.",[],,,
"Look at the following lines of Java code: Car car = new Car(); car.setLicensePlate(""123""); car.updateLicensePlate(""abc""); System.out.println(""license plate: "" + car.getLicensePlate()); This Java code will print out the text 123.",[],,,
"Therefore, if a thread calls notify() before the thread to signal has called wait(), the signal will be missed by the waiting thread.","['(method, dependency, method): (notify(), signal, wait)']",F,F,F
"In other words, to make the classes using the interface independent of the classes implementing the interface.","['(interface, dependency, class): (interface, independent of, classes)', '(class, implementation, interface): (classes, implementing, interface)']","F, F","F, F","F, F"
"Basically what you will do is call a ThreadLocal.set() method with the Locale to associate with the calling thread, before calling container.instance().",[],,,
The name of a resource bundle is like a class name.,"['(class, equivalence, class): (resource bundle, is like, class name)']",T,T,T
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"['(class, implementation, interface): (java.util.date, implements, java.lang.comparable)']",T,T,T
"Here is an example showing a class referencing an interface, an abstract class implementing that interface, and a subclass extending the abstract class.",[],,,
The Handler's handle() method is called every time the time interval has elapsed.,[],,,
The System class also has a getProperty() and setProperty() method which are shortcuts to the Properties getProperty() and setProperty() methods of the System Properties instance.,"['(class, containment, class): (system, includes, properties)', '(class, containment, class): (system, includes, system properties)', '(class, access, method): (system, retrieves, getproperty)', '(class, access, method): (system, retrieves, setproperty)', '(class, access, class): (system, retrieves, properties)', '(class, access, class): (system, retrieves, system properties)', '(method, access, class): (getproperty(), retrieves, properties)', '(method, access, class): (setproperty(), retrieves, properties)', '(method, access, class): (getproperty(), retrieves, system properties)', '(method, access, class): (setproperty(), retrieves, system properties)']","T, T, T, T, T, T, F, F, T, T","T, T, T, T, T, T, F, F, T, T","T, T, T, T, T, T, F, F, T, T"
Nested classes are Java classes that are defined inside another class.,[],,,
"As you can see, the method call to myUnit.getTheBollean() is inlined inside the assertTrue() assertFalse() calls.","['(method, containment, method): (asserttrue(), inlined inside, assertfalse)']",F,F,F
Note: If you are want to Java NIO (Java's non-blocking IO API) you will have to use the java.nio.FileChannel class instead.,[],,,
"Each factory definition states how a given instance is to be created and configured, when calling the container.instance() method.",[],,,
"After running this Java code the isEmpty variable will contain the value true, because the Set size() method returns 0 - because the Set in the example contains no elements.","['(class, containment, method): (set, contains, size)']",T,T,T
"If the BlockingQueue does not have space for the new element, the put() method will block the thread calling the put() method until the BlockingQueue as space internally for the new element.","['(method, dependency, interface): (put(), relies on, blockingqueue)']",T,T,T
When using Java reflection the starting point is often a Class object representing some Java class you want to inspect via reflection.,[],,,
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.",[],,,
The purpose of abstract classes is to function as base classes which can be extended by subclasses to create a full implementation.,[],,,
"Third, the example loops as long as hasNext() returns true, and iterates through all the RION fields in the source byte array, one by one.",[],,,
"The read() method will start writing data into the byte array starting from the array position provided by the offset parameter, and at most the number of bytes provided by the length parameter.",[],,,
"Second, it sets the expiration to 24 hours using the setMaxAge() method.",[],,,
Having missing modules reported at application startup time is a big advantage compared to at runtime when trying to use the missing module / JAR / class.,[],,,
Here is a Java example of writing a RION Bytes field from a byte array using the RionWriter writeBytes() method:,[],,,
"Note: The two threads must call parent.addChild(child) and child.setParent(parent) at the same time as described above, and on the same two parent and child instances for a deadlock to occur.","['(method, collaboration, method): (addchild, must call at the same time as, setparent)']",F,F,F
The condition to exit the while loop is the return value of the method hasMoreData().,[],,,
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.",[],,,
"When a Java project grows bigger, for instance an app or API, it is useful to split the code into multiple Java classes, and the classes into multiple Java packages.",[],,,
The end() method can take either a String or Buffer as parameter.,[],,,
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,"['(class, preference, class): (file, favored over, filechannel)']",T,T,T
In case you prefer to use Java NIO instead of Java Networking (standard API) then you can also use a ServerSocketChannel instead of the java.net.ServerSocket,"['(class, replacement, class): (serversocketchannel, use instead of, java.net.serversocket)']",T,T,T
Keep in mind that if some of the operations in the transaction fail you would most likely want to call the rollback() method instead of commit(),"['(method, preference, method): (rollback(), want to call instead of, commit)']",F,F,F
You can get and set the nanoseconds using the getNanos() and setNanos(),"['(method, access, method): (getnanos(), get and set, setnanos)']",F,F,F
You may be tempted then to always call notifyAll() instead notify() but this is a bad idea performance wise,"['(method, preference, method): (notifyall(), is favored over, notify)']",T,T,T
"So, the current version of the Lock class makes no different guarantees with respect to fairness than synchronized version of doSynchronized().","['(class, difference, method): (lock, makes no different guarantees with respect to fairness than, dosynchronized)']",F,F,F
"Running the clean task removes the build directory, and thus all compiled classes and created JAR files.","['(method, containment, class): (build, includes, directory)', '(class, containment, class): (directory, includes, classes)', '(class, containment, class): (directory, includes, jar)', '(method, creation, class): (clean, removes, directory)', '(method, creation, class): (clean, removes, classes)', '(method, creation, class): (clean, removes, jar)']","F, T, T, T, T, T","F, T, T, T, T, T","F, T, T, T, T, T"
The trim() method is an easy way to remove such extra white space characters.,[],,,
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"['(class, creation, method): (asynchronousfilechannel, creates, bytebuffer)  )', '(method, execution, method): (inputstream.read(), passed to, read())  )', '(class, containment, class): (asynchronousfilechannel, includes, bytebuffer)']","T, F, F","T, F, F","T, F, F"
The FileInputStream class has a three different constructors you can use to create a FileInputStream instance.,[],,,
"Once you have allocated a block of bytes from the BytesAllocatorAutoDefrag you can access it via the data array, from the offset returned by allocate() and until offset + length - 1.",[],,,
"If there are no more lines to read from the BufferedReader, the readLine() method returns null.","['(class, containment, method): (bufferedreader, includes, readline)']",F,F,F
"This is easier to understand with an example, so here is a Java Function compose() example:",[],,,
"In case you want to pass parameters to the constructor, you include the parameters between the parentheses after the class name, like this:",[],,,
"This example compared to String objects, but the assertEquals() method can compare any two objects to each other.","['(class, difference, method): (string, compared to, assertequals)']",F,F,F
"The order of the sorting in a Java SortedMap is either the natural sorting order of the elements (if they implement java.lang.Comparable), or the order determined by a Comparator that you can give to the SortedSet.","['(interface, implementation, class): (java.lang.comparable, implement, sortedmap)', '(interface, implementation, class): (java.lang.comparable, implement, sortedset)', '(class, dependency, interface): (sortedmap, determined by, comparator)', '(class, dependency, interface): (sortedset, determined by, comparator)']","T, F, T, F","T, F, T, F","T, F, T, F"
The AtomicBoolean class is located in the java.util.concurrent.atomic package so the full class name is java.util.concurrent.atomic.AtomicBoolean,"['(package, containment, class): (java.util.concurrent.atomic, includes, java.util.concurrent.atomic.atomicboolean)']",T,T,T
The compiled classes are written to build/classes and the JAR file to build/libs .,[],,,
The unused classes makes your application distributable bigger than it needs to be.,[],,,
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.",[],,,
Here is an example of calling the static print() method from the above MyInterface interface:,"['(interface, containment, method): (myinterface, includes, print)']",T,T,T
"To access a private method you will need to call the Class.getDeclaredMethod(String name, Class[] parameterTypes) or Class.getDeclaredMethods() method.","['(method, access, method): (class.getdeclaredmethod, call, class.getdeclaredmethods)']",F,F,F
"If you have a single block of data to calculate a message digest from, use the digest() method.",[],,,
"The PrintStream class can format primitive types like int, long etc.",[],,,
"The HttpServlet class reads the HTTP request, and determines if the request is an HTTP GET, POST, PUT, DELETE, HEAD etc.",[],,,
"In fact, a subclass constructor is required to call one of the constructors in the superclass as the very first action inside the constructor body.","['(class, dependency, method): (subclass, required to call, constructor)', '(method, dependency, class): (constructor, call, superclass)']","T, T","T, T","T, T"
The java.text.DecimalFormat class is used to format numbers using a formatting pattern you specify yourself.,[],,,
"To have the run() method executed by a thread, pass an instance of a class, anonymous class or lambda expression that implements the Runnable interface to a Thread in its constructor.","['(class, execution, method): (thread, executed by, run)', '(interface, implementation, method): (runnable, implements, run)']","T, F","T, F","T, F"
"The Java DataInputStream class is a subclass of InputStream, so DataInputStream also has the basic read methods that enable you to read a single byte or an array of bytes from the underlying InputStream, in case you need that.","['(class, implementation, class): (datainputstream, subclass of, inputstream)']",T,T,T
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,[],,,
Here is an example of calling getProperty() with a default value:,[],,,
Being a subclass of Hashtable you can actually use the get() and put() method of the Hashtable class which allow the use of nonstring keys and values,"['(class, containment, method): (hashtable, includes, get)', '(class, containment, method): (hashtable, includes, put)']",T,T,T
"Inside the Cache class you might declare a CacheEntry class which can contain information about a specific cache entry (cached value, time inserted, number of times accessed etc.).","['(class, containment, class): (cache, declare, cacheentry)']",T,T,T
"To test the pom.xml file, open a command prompt and change directory (cd) into the project root directory.",[],,,
The switchValue() method can be use to obtain the value of a switch.,[],,,
"This works with the HSQLDB driver, but the MySQL driver haven't implemented the PreparedStatement.getParameterMetaData() method.",[],,,
The Type[] array typeArguments array will contain one item - a Class instance representing the class java.lang.String.,[],,,
"After executing these two Java statements the roundedDown variable will contain the value 23.0 , and the roundedUp variable will contain the value 24.0.",[],,,
The ZonedDateTime class in the Java 8 date time API represents a date and time with time zone information.,[],,,
"The stripIndent() method is a preview feature, so we don't know if it will stay in Java yet.",[],,,
When you run the the class your command line will look similar to this (including the output from the Java app):,[],,,
"For instance, finest(), finer(), fine(), info(), warning() and severe() each corresponds to one of the log levels.","['(method, equivalence, method): (finest(), corresponds to, finer)', '(method, equivalence, method): (finest(), corresponds to, fine)', '(method, equivalence, method): (finest(), corresponds to, info)', '(method, equivalence, method): (finest(), corresponds to, warning)', '(method, equivalence, method): (finest(), corresponds to, severe)', '(method, equivalence, method): (finer(), corresponds to, fine)', '(method, equivalence, method): (finer(), corresponds to, info)', '(method, equivalence, method): (finer(), corresponds to, warning)', '(method, equivalence, method): (finer(), corresponds to, severe)', '(method, equivalence, method): (fine(), corresponds to, info)', '(method, equivalence, method): (fine(), corresponds to, warning)', '(method, equivalence, method): (fine(), corresponds to, severe)', '(method, equivalence, method): (info(), corresponds to, warning)', '(method, equivalence, method): (info(), corresponds to, severe)', '(method, equivalence, method): (warning(), corresponds to, severe)']","T, T, T, T, T, T, T, T, T, T, T, T, T, T, T","T, T, T, T, T, T, T, T, T, T, T, T, T, T, T","T, T, T, T, T, T, T, T, T, T, T, T, T, T, T"
You can check if a Logger forwards log messages to its parent Logger using the method getUseParentHandlers().,"['(class, access, method): (logger, check if forwards log messages to, getuseparenthandlers)']",T,T,T
The Java StringReader class enables you to turn an ordinary String into a Reader.,"['(class, conversion, class): (string, turn into, reader)']",T,T,T
"A function may have local variables containing temporary state internally, but the function cannot reference any member variables of the class or object the function belongs to.",[],,,
java.io.CharArrayReader is also possible to write data to an ByteArrayOutputStream or CharArrayWriter,"['(class, collaboration, class): (java.io.chararrayreader, possible to write data to, java.io.bytearrayoutputstream)', '(class, collaboration, class): (java.io.chararrayreader, possible to write data to, java.io.chararraywriter)']","F, F","F, F","F, F"
protected and public fields can be called and referenced just like the methods declared directly in the subclass.,[],,,
The character class contains the two square brackets escaped (\\[ and \\]).,[],,,
"You can set the column widths using the setWidths() method, like this:",[],,,
The private constructor is also called from the static method newClock().,[],,,
The Collections min() method can find the minimum element in a List according to the natural ordering of the elements (see my Java List sorting tutorial).,"['(class, containment, class): (collections, includes, list)']",T,T,T
"To remove an element from a SortedSet you call its remove() method, passing the element to remove as parameter.","['(class, execution, method): (sortedset, remove, remove)']",T,T,T
"This example returns the public method named ""doSomething"", in the given class which takes a String as parameter:",[],,,
"In the code example below, the main() method contains the declaration of a single integer variable named number.",[],,,
You can peek at the element at the head of a Queue without taking the element out of the Queue. This is done via the Queue element() or peek() methods.,"['(method, equivalence, method): (queue.element(), similar_functionality, queue.peek)']",T,T,T
It is the method getDescription() that comes from the interface MyInterface.,"['(method, implementation, interface): (getdescription(), comes from, myinterface)']",T,T,T
"If you look at the unlock() implementation shown earlier, you will notice that it calls queueObject.notify().","['(method, implementation, method): (unlock(), calls, queueobject.notify)']",T,T,T
The stamp is inserted into an int[] array that is passed as parameter to the get() method.,"['(class, containment, method): (int[], is inserted into, get)']",T,T,T
