Text,Relations,Label1,Label2,Final Label
"To clarify, if this `while` condition is going to be the sole way to stop the thread, then any `catch` block needs to call `Thread.currentThread().interrupt();` in order to maintain the interrupted status for the `while` condition.","(Thread, contains, Thread.currentThread); (Thread, requires, interrupt); (Thread.currentThread, maintains, interrupt)","T, T, T","T, T, T","T, T, T"
Blocking library methods like `Thread.sleep` and `Object.wait` try to detect when a thread has been interrupted and return early.,"(Thread.sleep, similar in interruption detection, Object.wait)",T,T,T
Brian Goetz in his book suggests using `Thread.currentThread().isInterrupted()` flag and `interrupt()` method for cancellation.,"(Thread, contains, currentThread); (Thread, hasMethod, isInterrupted); (Thread, hasMethod, interrupt); (currentThread, uses, isInterrupted); (currentThread, uses, interrupt)","T, F, F, T, T","T, F, F, T, T","T, F, F, T, T"
thread will continue its work until it reaches `Thread.currentThread().isInterrupted()` check and exit from `run()`.,"(Thread, continues until check, Thread.currentThread); (Thread, continues until check, isInterrupted); (Thread, exits from, run); (Thread.currentThread, checks, isInterrupted); (Thread.currentThread, exits from, run); (isInterrupted, part of, run)","T, T, T, F, F, T","T, T, T, F, F, T","T, T, T, F, F, T"
"Edit: I'm now using `Arrays.asList` instead of `Collections.singleton`: singleton is limited to one entry, whereas the `asList` approach allows you to add other strings to filter out later: `Arrays.asList(""a"", ""b"", ""c"")`.","(Arrays.asList, more flexible than, Collections.singleton);",T,T,T
"Make a `List` out of the array with `Arrays.asList()`, and call `remove()` on all the appropriate elements.","(List, method of creation, Arrays.asList); (List, method of modification, remove); (Arrays.asList, method of modification, remove)","T, T, F","T, T, F","T, T, F"
Use System.arraycopy repeatedly to copy each group of items you wish to retain into your new Array.,,F,F,F
"solution: Iterate over your array and whenever you find an element to remove (let's call it element n), use System.arraycopy to copy the tail of the array over the ""deleted"" element (Source and Destination are same array)--it is smart enough to do the copy in the correct direction so the memory doesn't overwrite itself:",,F,F,F
"The `IllegalAccessException` would be thrown if the field was not accessible (for example, if it is private and has not been made accessible via missing out the `f.setAccessible(true)` line.",,F,F,F
"Of course, now you have to find out the `java.lang.reflect.Field` for `sString` prior to setting the field value.",,F,F,F
Basically on an `ExecutorService` you call `shutdown()` and then `awaitTermination()`:,"(ExecutorService, uses, shutdown); (ExecutorService, uses, awaitTermination); (shutdown, followed by, awaitTermination)","T, T, F","T, T, F","T, T, F"
"Note that `executorService.invokeAll` will wait for all threads to complete, but you will still need to call `executorService.shutdown` to clean up your thread pool.","(executorService.invokeAll, requires cleanup with, executorService.shutdown);",T,T,T
".get() on each Future one at a time, instead of infinite looping calling isDone() on (all or each).",,F,F,F
"While you can use `executor.shutdown()` and `executor.awaitTermination()`, it is not the best practice as the time taken by different threads would be unpredictable.","(executor.shutdown, not best practice, executor.awaitTermination)",T,T,T
"The way you're doing it, there's no guarantee that `sock.close()` will be reached because you catch only `Exception` and not all `Throwable`s.","(Exception, does not catch all, Throwable)",T,T,T
Long.valueOf() should be preferred: it returns cached values of Long for some often-used values instead of constructing a new instance as the constructor does.,,F,F,F
"**Difference between Long.getLong(s), Long.valueOf(s), Long.parseLong(s) where ""s"" is a String Type**","(Long.getLong, different in functionality, Long.valueOf); (Long.getLong, different in functionality, Long.parseLong); (Long.valueOf, different in functionality, Long.parseLong)","T, T, T","T, T, F","T, T, T"
"Using `str.subSequence(begin, end)` returns a CharSequence which is a read-only form of the string represented as a sequence of chars.","(String, returns, CharSequence)",T,T,T
"In Java 1.4, `CharSequence` was added, and somebody apparently realized that it would be useful to have the same functionality there, but which returned a `CharSequence` instead of `String` (for flexibility).","(CharSequence, provides flexibility over, String)",T,T,T
Difference between subSequence and subString methods in java String class,"(subSequence, different in method functionality, subString); (subSequence, part of, String); (subString, part of, String)","T, ,T, T","T, ,T, T","T, ,T, T"
"@Calum and @Pool - as noted below in Alex Miller's answer, using `Arrays.asList(array)` without passing it into a new `ArrayList` object will fix the size of the list.","(Arrays, fixed size, ArrayList)",T,T,T
"To clarify, `Arrays.asList()` creates a `java.util.Arrays.ArrayList` (static nested class in `java.util.Arrays`), not a `java.util.ArrayList`.","(java.util.Arrays.asList, creates, java.util.Arrays.ArrayList); (java.util.Arrays.asList, not creates, java.util.ArrayList)","T, T","T, T","T, T"
Use the `ImmutableList` class and its `of()` and `copyOf()` factory methods (elements can't be null):,"(ImmutableList, uses, of); (ImmutableList, uses, copyOf); (of, related to, copyOf)","T, T, T","T, T, T","T, T, T"
"Use the JDK's `Arrays` class and its `asList()` factory method, wrapped with a `Collections.unmodifiableList()`:","(java.util.Arrays, uses, java.util.Collections.unmodifiableList); (java.util.Arrays, uses, java.util.Arrays.asList); (java.util.Collections, wraps, java.util.Arrays.asList)","T, F, T","T, F, T","T, F, T"
"Note that the returned type for `asList()` is a `List` using a concrete `ArrayList` implementation, but **it is NOT** `java.util.ArrayList`.","(java.util.List, different in implementation, java.util.ArrayList);",T,T,T
Thus this list isn't truly immutable and a call to `asList()` should be wrapped with `Collections.unmodifiableList()`.,"(Collections, should be wrapped with, unmodifiableList);",T,T,T
"I don't think so, the 2 options are valid but the Arrays.stream is slightly 'better' since you can create it with fixed size, using the overload method with 'start', 'end' args.",,F,F,F
It creates a kind of ArrayList named Arrays.ArrayList where the Object[] data points directly to the array.,"(ArrayList, contains, Object)",T,T,T
I fail to see the fundamental difference between your loop at the end of the answer and the new ArrayList<T>(Arrays.asList(myArray)); part which you discourage to use.,"(ArrayList, discouraged use compared to, Arrays)",T,T,T
"`new ArrayList<T>(Arrays.asList(myArray));` does the same, it copies the `asList` to an `ArrayList`.","(ArrayList, copies from, Arrays); (ArrayList, copies from, asList); (Arrays, contains, asList)","T, T, T","T, T,F","T, T, T"
"If you say `String.valueOf(i)`, Java converts the integer to a string and returns the result.","(String, method, valueOf); (valueOf, converts, String)",T,T,T
"Both of the ways are correct, but using `String.valueOf(i)` or `Integer.toString(i)` is more efficient than `"""" + i`.","(String.valueOf, more efficient than, Integer.toString);",T,T,T
As already pointed out `Integer.toString()` or `String.valueOf()` are the way to go.,"(Integer.toString, equivalent to, String.valueOf);",T,T,T
"`Integer.toString(i)` and `String.valueOf(i)` are basically identical in performance, with `Integer.toString(i)` being a tiny bit faster.","(Integer.toString, slightly faster than, String.valueOf);",T,T,T
"* well you miss an important piece, in that String.valueOf and Integer.toString always create a new String object, while """" + int uses String pool.","(String.valueOf, always create a new String object unlike, Integer.toString)",T,T,T
"In `java.util.concurrent.FutureTask`, the mechanism of cancellation by timeout is acted as throwing `TimeoutException`.","(java.util.concurrent.FutureTask, cancellation mechanism involves, TimeoutException);",T,T,T
`io.Source.stdin` is defined (in `scala.io.Source` class) as `def stdin = fromInputStream(System.in)` so probably it's better to stick with the `io.Source.stdin`.,,F,F,F
"You can force it to materialize using `.toStream` or `.toList` on it, depends on the use case.",,F,F,F
"As noted briefly in other comments, `scala.Predef.readLine()` is deprecated since Scala 2.11.0, and you can replace it with `scala.io.StdIn.readLine()`.","(scala.Predef.readLine, deprecated and replaced by, scala.io.StdIn.readLine)",T,T,T
"The Queue interface extends java.util.Collection with additional insertion, extraction, and inspection operations like:",,F,F,F
"Note, `IdentityHashMap` `entrySet` iterator currently has a peculiar implementation which returns the same `Map.Entry` instance for every item in the `entrySet`!","(IdentityHashMap, has entrySet with peculiar implementation, entrySet); (entrySet, returns same instance for every item, Map.Entry)","T, T","T, T","T, T"
Using `entrySet` with EC `Map` implementations results in `Map.Entry` objects being generated dynamically.,"(entrySet, generates, Map.Entry); (Map, implements, entrySet); (Map, contains, Map.Entry)","T, T, T","T, T, T","T, T, T"
The `forEachKeyValue` method is able to avoid creating the `Map.Entry` objects because it can navigate the internal structure of the `Map` implementations directly.,"(Map, avoids creating, Map.Entry)",T,T,T
"The official way to do this is to call `map.entrySet()`, which returns a set of `Map.Entry`, each of which contains a key and a value (`entry.getKey()` and `entry.getValue()`).","(java.util.Map.entrySet, contains, java.util.Map.Entry); (java.util.Map.Entry, contains, java.util.Map.Entry.getKey); (java.util.Map.Entry, contains, java.util.Map.Entry.getValue)","F, T, T","F, T, T","F, T, T"
"In an idiosyncratic implementation, it might make some difference whether you use `map.keySet()`, `map.entrySet()` or something else.","(keySet, difference in implementation, entrySet)",T,T,T
In Java 1.8 (Java 8) this has become a lot easier by using the `forEach` method from Aggregate operations (Stream operations) that looks similar to iterators from the `Iterable` Interface.,"(forEach, used in, Stream); (forEach, similar to, Iterable); (Stream, similar to, Iterable)","T, T, T","T, T, T","T, T, T"
Date.before() and Date.after() seem to be a little awkward to use.,"(Date.before, awkward to use compared to, Date.after)",T,T,T
Supplants the old troublesome classes including `java.util.Date/.Calendar` and `SimpleDateFormat`.,"(java.util.Date, supplants, java.util.Calendar); (java.util.Date, supplants, SimpleDateFormat); (java.util.Calendar, supplants, SimpleDateFormat)","F, F, F","T, F, F","F, F, F"
"If getting `java.sql.Timestamp` objects through JDBC from a database, convert to java.time.Instant in a similar way.","(java.sql.Timestamp, convert to, java.time.Instant);",T,T,T
"(B) The troublesome old classes such as `java.util.Date` and `java.util.Calendar` are now legacy, supplanted by the java.time classes.","(java.util.Date, legacy compared to, java.util.Calendar); (java.util.Date, supplanted by, java.time); (java.util.Calendar, supplanted by, java.time)","T, T, T","T, T, T","T, T, T"
"If is required to consider inclusive endDate, *testDate.before(endDate)* returns false when testDate and endDate are the same day, we can use ""apache commons lang"" package to verify this (org.apache.commons.lang.time.DateUtils).",,F,F,F
"The `TreeMap.putAll` method (and the TreeMap constructor that takes a SortedMap) calls a method called `buildFromSorted` internally, which is described in the docs as: ""Linear time tree building algorithm from sorted data"", so that sounds like it does what you want.","(TreeMap.putAll, calls internally, TreeMap); (TreeMap.putAll, calls internally, SortedMap); (TreeMap, takes as input, SortedMap)","T, T, T","T, T, T","T, T, T"
"Just give the `putAll` method something that implements Map, but where the map's entryset iterator (`Map.entrySet().iterator()`) returns your list of sorted values.","(putAll, requires implementation of, Map); (putAll, uses, Map.entrySet); (putAll, uses, Map.entrySet().iterator); (Map, contains, Map.entrySet); (Map, provides, Map.entrySet().iterator); (Map.entrySet, provides, Map.entrySet().iterator)","T, T, T, T, T, T","T, T, T, T, T, T","T, T, T, T, T, T"
I am trying to use a `java.util.Date` as input and then creating a query with it - so I need a `java.sql.Date`.,"(java.util.Date, conversion required for query, java.sql.Date)",T,T,T
* Use *java.time* classes instead of legacy `java.util.Date` & `java.sql.Date` with JDBC 4.2 or later.,"(java.time, recommended over, java.util.Date); (java.time, recommended over, java.sql.Date)","T, T","T, T","T, T"
"If you are trying to work with date-only values (no time-of-day, no time zone), use the `LocalDate` class rather than `java.util.Date`.","(LocalDate, preferred for date-only values, java.util.Date)",T,T,T
"If your JDBC driver complies with JDBC 4.2 spec, you should be able to pass a `LocalDate` via `setObject` on a `PreparedStatement` to store into a SQL DATE field.","(LocalDate, can be passed via, PreparedStatement);",T,T,T
But note that `Instant` has a resolution up to nanoseconds while `java.util.Date` has only milliseconds resolution.,"(java.time.Instant, different in time resolution, java.util.Date)",T,T,T
"Converting `java.util.Date` to `java.sql.Date` will lose hours, minutes and seconds.","(java.util.Date, loss of time components, java.sql.Date)",T,T,T
* `valueOf` returns a new or cached instance of `java.lang.Integer`,,F,F,F
The `Integer` class also provides the `valueOf(String str)` method:,"(Integer, provides method, valueOf)",T,T,T
"Google Guava has Ints.tryParse(String), which returns `null` if the string couldn't be parsed, for example:",,F,F,F
"But the thing here is, the method `Integer.valueOf()` has the following implementation in `Integer` class:","(Integer.valueOf, implemented in, Integer);",T,T,T
"As you can see, the `Integer.valueOf()` internally calls `Integer.parseInt()` itself.","(Integer.valueOf, calls internally, Integer.parseInt)",T,T,T
You can use `Collections.list()` to convert an `Enumeration` to a `List` in one line:,"(Collections.list, conversion method, Enumeration); (Collections.list, conversion method, List); (Enumeration, converted to, List)","T, T, T","T, T, T","T, T, T"
"If you need `Set` rather than `List`, you can use `EnumSet.allOf()`.",,F,F,F
I want to convert a `java.util.Date` object to a `String` in Java.,"(java.util.Date, conversion to, String);",T,T,T
Convert a **Date** to a **String** using `DateFormat#format` method:,"(Date, formatted by, DateFormat);",T,T,T
"These classes supplant the troublesome old date-time classes such as `java.util.Date`, `.Calendar`, & `java.text.SimpleDateFormat`.","(java.util.Date, supplants, java.util.Calendar); (java.util.Date, supplants, java.text.SimpleDateFormat); (java.util.Calendar, supplants, java.text.SimpleDateFormat)","F, F, F","F, F, F","F, F, F"
"In Java 8, a call like `Instant.now().atOffset(ZoneOffset.UTC).toString()` will run.","(Instant, used with, ZoneOffset)",T,T,T
"You can find out about this by reading the documentation of `List.add()`, which documents this to be an ""(optional operation)"".",,F,F,F
"Many of the List implementation support limited support to add/remove, and `Arrays.asList(membersArray)` is one of that.","(List, supports limited add/remove, Arrays.asList)",T,T,T
You need to insert the record in `java.util.ArrayList` or use the below approach to convert into `ArrayList`.,,F,F,F
"From the above Source you may observe that `java.util.Arrays.ArrayList` class doesn't `@Override add(index, element), set(index, element), remove(index)`.","(java.util.Arrays, does not override methods, java.util.ArrayList)",T,T,T
You will also get this exception if you attempt to `add` to a `List<T>` returned by `Collections.singletonList(T o)`:,"(List, returned by, Collections); (List, returned by, singletonList); (Collections, contains method, singletonList)","T, T, T","T, T, T","T, T, T"
"List `membersList = Arrays.asList(membersArray);` returns immutable list, what you need to do is `new ArrayList<>(Arrays.asList(membersArray));` to make it mutable.","(Arrays, immutable list, ArrayList);",T,T,T
The reason for the UnsupportedOperationException is because the Arrays.asList() method returns a fixed-size list backed by the original array.,"(UnsupportedOperationException, caused by, Arrays.asList)",T,T,T
List.addAll throwing UnsupportedOperationException when trying to add another list,"(List, throws when adding list, UnsupportedOperationException)",T,T,T
just to provide more info related to FLUSH and Close method related to FileOutputStream:,,F,F,F
"In Servlet you can get this header's value by `request.getContentLength()` or `reqest.getHeaders(""Content-Length"")`.","(getContentLength, alternative method to obtain header value, getHeaders)",F,F,F
"To do that, you can do `exception.printStackTrace()` and look at the ""Caused By:"" section instead of the top half/normal section.",,F,F,F
Imagine I have a cascade of `java.lang.reflect.Proxy` instances augmenting a wrapped object.,,F,F,F
"The ""target exception"" that is provided at construction time and accessed via the getTargetException() method is now known as the cause, and may be accessed via the Throwable.getCause() method, as well as the aforementioned ""legacy method.""","(Throwable, accessed via, getCause)",T,T,T
You can compare with the original exception Class using getCause() method like this:,"(Exception, compared with, getCause)",T,T,T
I had a `java.lang.reflect.InvocationTargetException` error from a statement calling a logger object in an external `class` inside a `try` / `catch` block in my `class`.,"(java.lang.reflect.InvocationTargetException, occurs in, class); (java.lang.reflect.InvocationTargetException, occurs in, try); (java.lang.reflect.InvocationTargetException, occurs in, catch); (class, contains, try); (class, contains, catch)","T, T, T, T, T","T, T, T, T, T","T, T, T, T, T"
I used `e.getCause().getCause()` then I found that it was because of wrong parameters I was passing.,,F,F,F
"You can use a `java.util.LinkedList` - it's doubly-linked and circular, so adding to one end and taking from the other are O(1).",,F,F,F
"If you want to implement your own model you should consider inheritance, annotation interface `com.fasterxml.jackson.annotation.JsonTypeInfo` and annotation interface `com.fasterxml.jackson.annotation.JsonSubTypes`.","(com.fasterxml.jackson.annotation.JsonTypeInfo, related to implementation, com.fasterxml.jackson.annotation.JsonSubTypes)",T,T,T
"> equals(Object) method, then calling the hashCode method on each of","(equals, related to hashCode, hashCode)",T,T,T
"The java.time API introduced with Java-8 (March 2014) supplants the error-prone and outdated `java.util` and their formatting API, `SimpleDateFormat`.","(java.time, supplants, java.util); (java.time, supplants, SimpleDateFormat); (java.util, associated with, SimpleDateFormat)","T, T, T","T, T, T","T, T, T"
"You can then use `Collections.sort(List)` or just switch from your `List` to a `SortedSet` implementation like `TreeSet` (if you don't need duplicates, a `Set` drops duplicates)","(Collections.sort, used with, List); (Collections.sort, used with, SortedSet); (Collections.sort, used with, TreeSet); (Collections.sort, used with, Set); (List, can be switched to, SortedSet); (List, can be switched to, TreeSet); (List, can be switched to, Set); (SortedSet, can be implemented as, TreeSet); (SortedSet, can be implemented as, Set); (TreeSet, can be implemented as, Set)","T, T, T, T, T, F, F, T, T, T","T, T, T, T, T, F, F, T, T, T","T, T, T, T, T, F, F, T, T, T"
"Write a `java.util.Comparator` to define an **imposed ordering** and call `Collections.sort(List, Comparator)` or (losing duplicates again) go for a `new TreeSet(Comparator)`.","(java.util.Comparator, defines ordering for, Collections.sort); (java.util.Comparator, defines ordering for, TreeSet)","T, T","T, T","T, T"
You can call `Collections.sort()` providing a `Comparator` which compares the `getCountry()`.,"(Collections.sort, uses, Comparator);",T,T,T
What's the difference between Thread start() and Runnable run(),"(Thread, different in method execution, Runnable)",T,T,T
`Thread.start()` is required to actually create a new thread so that the runnable's `run` method is executed in parallel.,"(Thread.start, initiates execution of, Runnable.run)",T,T,T
"The difference is that `Thread.start()` starts a thread that calls the `run()` method, while `Runnable.run()` just calls the `run()` method on the current thread.","(Thread.start, different in execution context, Runnable.run)",T,T,T
"`Thread.start()` calls the `run()` method asynchronously, which changes the state of the new Thread to Runnable.","(Thread.start, calls asynchronously, Thread.run)",T,T,T
"Most of these answers miss the big picture, which is that, as far as the Java language is concerned, there is no more difference between `t.start()` and `r.run()` than there is between any other two methods.","(Thread.start, no difference with, Runnable.run)",T,T,T
"The biggest difference is that most of the code for `t.start()` is *native* code while, in most cases, the code for `r.run()` is going to be pure Java.","(start, different in code type, run)",T,T,T
`Thread.start()` code registers the Thread with the scheduler and the scheduler calls the `run()` method.,"(Thread.start, initiates, Thread.run)",T,T,T
Need some clarification on Java threads: start() and run(),"(Thread.start, clarification needed on, Thread.run)",T,T,T
See the javadoc of List or Set and check the size before using the above methods by invoking `isEmpty()`,"(List, check size before using, Set); (List, check size before using, isEmpty); (Set, check size before using, isEmpty)","T, T, T","T, T, T","T, T, T"
"It better shows your intent and is possibly more efficient (e.g., LinkedList size() is O(n)).","(LinkedList, has time complexity of O(n), size)",T,T,T
Always use `List.iterator().next()` or `Set.iterator().next()` to avoid O(N) for Linked data structures.,"(List, avoid O(N) for Linked data structures, Set); (List, avoid O(N) for Linked data structures, Iterator); (Set, avoid O(N) for Linked data structures, Iterator)","F, F, F","F, F, F","F, F, F"
"Verify by using `Set.isEmpty()` or `List.isEmpty()` for the same reason, as both cases will always be O(1) instead of a potential O(N) if an implementation of Linked data structure is passed like `LinkedList` or `LinkedHashSet`.","(Set.isEmpty, more efficient than, List.isEmpty); (Set.isEmpty, more efficient than, LinkedList); (Set.isEmpty, more efficient than, LinkedHashSet); (List.isEmpty, more efficient than, LinkedList); (List.isEmpty, more efficient than, LinkedHashSet)","T, T, F, F","T, T, F, F","T, T, F, F"
"This may have meaning for LinkedHashSet and TreeSet, but not for HashSet.)","(LinkedHashSet, similar in meaning, TreeSet); (LinkedHashSet, different in meaning, HashSet); (TreeSet, different in meaning, HashSet)","T, T, T","T, T, T","T, T, T"
Use a HashMap unless you have some need for ordering. HashMap is faster.,,T,F,T
"ArrayDeque is better than LinkedList, because ArrayDeque doesn't have the overhead of node allocations that LinkedList doesï¿?
It's more efficient than using StringWriter
Have Country implement the java.util.Comparable interface to define a natural ordering on your Country objects","(ArrayDeque, more efficient than, LinkedList); (ArrayDeque, more efficient than, StringWriter); (Country, implements, java.util.Comparable)","T, T, T","T, T, T","T, T, T"
"In this case I would use DataInputStream and DataOutputStream, and the readUTF()/writeUTF() methods for the messages and filenames ","(DataInputStream, used with, DataOutputStream); (DataInputStream, uses, readUTF); (DataInputStream, uses, writeUTF); (DataOutputStream, uses, readUTF); (DataOutputStream, uses, writeUTF); (readUTF, used with, writeUTF)","T, T, T, T, F, T","T, T, T, T, F, T","T, T, T, T, F, T"
Basically you need to implement the UIKeyboardInteractive interface (together with the UserInfo interface) and associate the implementation with the session using the Session.setUserInfo,"(UIKeyboardInteractive, implements with, UserInfo); (UIKeyboardInteractive, associated with, Session); (UserInfo, associated with, Session)","T, T, F","T, T, F","T, T, F"
"Also, JSON Object with type latlng contains list of objects which are represented in JSON in form of array.","(JSONObject, contains, JSONArray);",T,T,T
"Use a Swing Timer and a DocumentListener, each time the Document is updated, reset the Timer ","(Timer, reset by, DocumentListener); (Timer, updated by, Document); (DocumentListener, updates, Document)","T, T, T","T, T, T","T, T, T"
use a Matcher object and use Matcher.find() to find matches within the input string:,"(Matcher, usage, Matcher.find)",T,T,T
Basically on an ExecutorService you call shutdown() and then awaitTermination():,"(ExecutorService, uses, shutdown); (ExecutorService, uses, awaitTermination); (shutdown, used with, awaitTermination)","T, ,T, T","T, ,T, T","T, ,T, T"
"Once you have the count, then you compute the right values for skip and limit based on the count and the percentages you want ",,F,F,F
"In Java, to send data via the socket, you get an OutputStream (1) from it, and write to the OutputStream (you output some data). n your case, the server has another socket (the other end of the connection) and another pair of streams. It uses its InputStream (2) to read from the network, and its OutputStream (3) to write the same data back across the network to your client, which reads it again via its InputStream (4) completing the round trip. ","(OutputStream, sends data to, InputStream); (InputStream, receives data from, OutputStream)","T, T","T, T","T, T"
"You should avoid overriding paint and instead use paintComponent You should avoid extending from JFrame and instead use something like JPanel, which actually has a paintComponent method. ","(JPanel, has method, paintComponent); (JFrame, lacks method, paintComponent)","T, T","T, T","T, T"
Instant instead of java.util.Date LocalDate instead of java.sql.Date,"(java.time.Instant, replacement for, java.time.LocalDate)",T,T,T
"So, if you want to split on e.g. period/dot . which means ""any character"" in regex, use either backslash \ to escape the individual special character like so split(""\\."") use character class [] to represent literal character(s) like so split(""[.]""), or use Pattern#quote() to escape the entire string like so split(Pattern.quote(""."")). To test beforehand if the string contains certain character(s), just use String#contains().","(split, uses for escaping, Pattern.quote); (split, uses for testing, String.contains)","T, T","T, T","T, T"
To manipulate data you actually need executeUpdate() rather than executeQuery().,"(executeUpdate, used for data manipulation, executeQuery)",T,T,T
"The most straight-forward looking approach will just use readLine() which is part of Predef. this is so verbose, you'd rather use java.util.Scanner instead.  ","(readLine, alternative to, java.util.Scanner); (java.util.Scanner, preferred over, readLine)","T, T","T, T","T, T"
"isConnectedOrConnecting() (used in most answers) checks for any network connection To know whether any of those networks have internet access, use one of the following ","(isConnectedOrConnecting, checks for network connection, network connection)",T,T,T
"Indeed rather use ExecutorService instead of Timer, here's an SSCCE:  ","(ExecutorService, preferred over, Timer)",T,T,T
using Arrays.asList instead of Collections.singleton,"(Arrays.asList, alternative to, Collections.singleton);",T,T,T
"An alternative is to write your own class which implements the necessary Queue interface. It is not needed except in those rare cases where you wish to do something special while providing the rest of your program with a Queue An even less used alternative is to construct an anonymous class that implements Queue. You probably don't want to do this, but it's listed as an option for the sake of covering all the bases. ",,F,F,F
"If you look at the documentation of Collectors#toList(), it states that - ""There are no guarantees on the type, mutability, serializability, or thread-safety of the List returned"". If you want a particular implementation to be returned, you can use Collectors#toCollection(Supplier) instead.  ","(Collectors#toList, alternative for specific implementation, Collectors#toCollection)",T,T,T
"you'd only need to change HashSet to ArrayList, PriorityQueue, or any other class that implements Collection. it's generally better to use Collection objects (in particular List objects) rather than arrays. ","(HashSet, change to, ArrayList); (HashSet, change to, PriorityQueue); (HashSet, implements, Collection); (HashSet, better to use, Collection); (HashSet, better to use, List); (ArrayList, change to, PriorityQueue); (ArrayList, implements, Collection); (ArrayList, better to use, Collection); (ArrayList, better to use, List); (PriorityQueue, implements, Collection); (PriorityQueue, better to use, Collection); (PriorityQueue, better to use, List); (Collection, better to use, List)","T, T, T, T, T, T, T, T, T, T, T, T, F, F","T, T, T, T, T, T, T, T, T, T, T, T, F, F","T, T, T, T, T, T, T, T, T, T, T, T, F, F"
"You can use ListIterator instead of Iterator. ListIterator has previous() and hasPrevious() methods. Not directly, as others pointed out, but if you e.g. need to access one previous element you could easily save that in a separate variable ","(ListIterator, can use instead of, Iterator)",T,T,T
"If you look at the Date(long) constructor, you'll see that it expects the value to be the number of milliseconds since the epoch, UTC: Regarding your desire to force GMT instead of your local time zone: ",,F,F,F
"readLine() won't return until it's read a carriage return or a line feed, which is what you normally get when you read from a terminal or a text file.",,F,F,F
Instead of using the ChromeDriver implementation use the WebDriver interface,,F,F,F
"You can use JOptionPane's setLocation(...) method. OR Instead of using JOptionPane you can extends a JDialog, and then specify it's location on the screen.","(JOptionPane, alternative to, JDialog); (JDialog, alternative to, JOptionPane)","T, T","T, T","T, T"
"use this overload rather than the List<T>.toArray() overload, you can choose the actual type of the array. ","(List, type selection, toArray)",T,T,T
use a javax.swing.Timer to perform the animation rather than Thread sleeps,,F,F,F
"In general, it's not at all safe to compare the hashCode instead of using equals  ","(hashCode, not safe to compare instead of, equals)",T,T,T
" it will initialize an immutable List rather than an ArrayList, and furthermore, it's not available yet, if it ever will be ","(List, initialization type, ArrayList)",T,T,T
"If you are working with a source other than a file, you can use the lines() method in BufferedReader instead.",,F,F,F
"Also, if the right-hand side of the for (:) idiom is an array rather than an Iterable object, the internal code uses an index counter and checks against array.length instead. See the Java Language Specification.  ","(Iterable, compared to, array); (array, uses, index); (array, compared to, length)","T, T, T","T, T, F","T, T, T"
To overwrite file foo.log with FileOutputStream or with FileWriter :,"(FileOutputStream, overwrite file, FileWriter)",T,T,T
"you can use Comparable, or custom Comparator to do this. ","(Comparable, used with, Comparator)",T,T,T
Thread.sleep or using java.nio Channel operations using standard InputStream/OutputStream which are not interruptable,"(Thread.sleep, not interruptable, java.nio.channels.Channel); (Thread.sleep, not interruptable, java.io.InputStream); (Thread.sleep, not interruptable, java.io.OutputStream)","F, T, T","F, T, T","F, T, T"
"If you a resource is needed for you application and is packaged in the jar, it should be read from an URL, either via getClass().getResource() which returns an actual URL to a resource, or getClass().getResourceAsStream() which return the resource as a stream in the form of InputStream, obtained from the URL. You can also getClassLoader(), but here are the main differences ","(URL, provides resource as, InputStream)",T,T,T
