Sentence, Entity,Label 1,Label 2,Final
"If the BlockingQueue does not have space for the new element, the put() method will block the thread calling the put() method until the BlockingQueue as space internally for the new element.",blockingqueue: interface; put(): method,"T, T","T, T","T, T"
When using Java reflection the starting point is often a Class object representing some Java class you want to inspect via reflection.,class: class,F,F,F
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.",,F,F,F
The purpose of abstract classes is to function as base classes which can be extended by subclasses to create a full implementation.,abstract classes: class,F,F,F
"Third, the example loops as long as hasNext() returns true, and iterates through all the RION fields in the source byte array, one by one.",,F,F,F
"The read() method will start writing data into the byte array starting from the array position provided by the offset parameter, and at most the number of bytes provided by the length parameter.",read(): method,T,T,T
"Second, it sets the expiration to 24 hours using the setMaxAge() method.",setmaxage(): method,T,T,T
Having missing modules reported at application startup time is a big advantage compared to at runtime when trying to use the missing module / JAR / class.,,F,F,F
Here is a Java example of writing a RION Bytes field from a byte array using the RionWriter writeBytes() method:,rionwriter.writebytes(): method,T,T,T
"Note: The two threads must call parent.addChild(child) and child.setParent(parent) at the same time as described above, and on the same two parent and child instances for a deadlock to occur.",addchild: method; setparent: method,"T, T","T, T","T, T"
The condition to exit the while loop is the return value of the method hasMoreData().,hasmoredata(): method,T,T,T
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.",,F,F,F
"When a Java project grows bigger, for instance an app or API, it is useful to split the code into multiple Java classes, and the classes into multiple Java packages.",,F,F,F
The end() method can take either a String or Buffer as parameter.,end(): method,T,T,T
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,file: class; filechannel: class,"T, T","T, T","T, T"
In case you prefer to use Java NIO instead of Java Networking (standard API) then you can also use a ServerSocketChannel instead of the java.net.ServerSocket,serversocketchannel: class; java.net.serversocket: class,"T, T","T, T","T, T"
Keep in mind that if some of the operations in the transaction fail you would most likely want to call the rollback() method instead of commit(),rollback(): method; commit(): method,"T, T","T, T","T, T"
You can get and set the nanoseconds using the getNanos() and setNanos(),getnanos(): method; setnanos(): method,"T, T","T, T","T, T"
You may be tempted then to always call notifyAll() instead notify() but this is a bad idea performance wise,notifyall(): method; notify(): method,"T, T","T, T","T, T"
"So, the current version of the Lock class makes no different guarantees with respect to fairness than synchronized version of doSynchronized().",lock: class; dosynchronized(): method,"T, T","T, T","T, T"
"Running the clean task removes the build directory, and thus all compiled classes and created JAR files.",clean: method; build: method; directory: class; classes: class; jar: class,F,F,F
The trim() method is an easy way to remove such extra white space characters.,trim(): method,T,T,T
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,inputstream.read(): method; asynchronousfilechannel: class; bytebuffer: class; read(): method,"T, T, T, T","T, T, T, T","T, T, T, T"
The FileInputStream class has a three different constructors you can use to create a FileInputStream instance.,fileinputstream: class,T,T,T
"Once you have allocated a block of bytes from the BytesAllocatorAutoDefrag you can access it via the data array, from the offset returned by allocate() and until offset + length - 1.",,F,F,F
"If there are no more lines to read from the BufferedReader, the readLine() method returns null.",bufferedreader: class; readline(): method,"T, T","T, T","T, T"
"This is easier to understand with an example, so here is a Java Function compose() example:",compose(): method,T,T,T
"In case you want to pass parameters to the constructor, you include the parameters between the parentheses after the class name, like this:",,F,F,F
"This example compared to String objects, but the assertEquals() method can compare any two objects to each other.",string: class; assertequals(): method,"T, T","T, T","T, T"
"The order of the sorting in a Java SortedMap is either the natural sorting order of the elements (if they implement java.lang.Comparable), or the order determined by a Comparator that you can give to the SortedSet.",java.lang.comparable: interface; comparator: interface; sortedmap: class; sortedset: class,"T, T, T, T","T, T, T, T","T, T, T, T"
The AtomicBoolean class is located in the java.util.concurrent.atomic package so the full class name is java.util.concurrent.atomic.AtomicBoolean,java.util.concurrent.atomic.atomicboolean: class; java.util.concurrent.atomic: package,"T, T","T, T","T, T"
The compiled classes are written to build/classes and the JAR file to build/libs .,,F,F,F
The unused classes makes your application distributable bigger than it needs to be.,classes: class,F,F,F
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.",chunk: class; setunderline(): method,T,T,T
Here is an example of calling the static print() method from the above MyInterface interface:,print(): method; myinterface: interface,"T, T","T, T","T, T"
"To access a private method you will need to call the Class.getDeclaredMethod(String name, Class[] parameterTypes) or Class.getDeclaredMethods() method.",class.getdeclaredmethod: method; class.getdeclaredmethods: method,"T, T","T, T","T, T"
"If you have a single block of data to calculate a message digest from, use the digest() method.",digest(): method,T,T,T
"The PrintStream class can format primitive types like int, long etc.",printstream: class,T,T,T
"The HttpServlet class reads the HTTP request, and determines if the request is an HTTP GET, POST, PUT, DELETE, HEAD etc.",httpservlet: class,T,T,T
"In fact, a subclass constructor is required to call one of the constructors in the superclass as the very first action inside the constructor body.",constructor: method; subclass: class; superclass: class,"T, T, T","T, T, T","T, T, T"
The java.text.DecimalFormat class is used to format numbers using a formatting pattern you specify yourself.,java.text.decimalformat: class,T,T,T
"To have the run() method executed by a thread, pass an instance of a class, anonymous class or lambda expression that implements the Runnable interface to a Thread in its constructor.",run(): method; thread: class; runnable: interface,"T, T, T","T, T, T","T, T, T"
"The Java DataInputStream class is a subclass of InputStream, so DataInputStream also has the basic read methods that enable you to read a single byte or an array of bytes from the underlying InputStream, in case you need that.",datainputstream: class; inputstream: class,"T, T","T, T","T, T"
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,,F,F,F
Here is an example of calling getProperty() with a default value:,getproperty(): method,T,T,T
Being a subclass of Hashtable you can actually use the get() and put() method of the Hashtable class which allow the use of nonstring keys and values,hashtable: class; get(): method; put(): method,"T, T, T","T, T, T","T, T, T"
"Inside the Cache class you might declare a CacheEntry class which can contain information about a specific cache entry (cached value, time inserted, number of times accessed etc.).",cache: class; cacheentry: class,"T, T","T, T","T, T"
"To test the pom.xml file, open a command prompt and change directory (cd) into the project root directory.",,F,F,F
The switchValue() method can be use to obtain the value of a switch.,switchvalue(): method,T,T,T
"This works with the HSQLDB driver, but the MySQL driver haven't implemented the PreparedStatement.getParameterMetaData() method.",preparedstatement.getparametermetadata(): method,T,T,T
The Type[] array typeArguments array will contain one item - a Class instance representing the class java.lang.String.,java.lang.string: class,T,T,T
"After executing these two Java statements the roundedDown variable will contain the value 23.0 , and the roundedUp variable will contain the value 24.0.",,F,F,F
The ZonedDateTime class in the Java 8 date time API represents a date and time with time zone information.,zoneddatetime: class,T,T,T
"The stripIndent() method is a preview feature, so we don't know if it will stay in Java yet.",stripindent(): method,T,T,T
When you run the the class your command line will look similar to this (including the output from the Java app):,,F,F,F
"For instance, finest(), finer(), fine(), info(), warning() and severe() each corresponds to one of the log levels.",finest(): method; finer(): method; fine(): method; info(): method; warning(): method; severe(): method,"T, T, T, T, T, T","T, T, T, T, T, T","T, T, T, T, T, T"
You can check if a Logger forwards log messages to its parent Logger using the method getUseParentHandlers().,logger: class; getuseparenthandlers(): method,"T, T","T, T","T, T"
The Java StringReader class enables you to turn an ordinary String into a Reader.,stringreader: class; string: class; reader: class,"T, T, T","T, T, T","T, T, T"
"A function may have local variables containing temporary state internally, but the function cannot reference any member variables of the class or object the function belongs to.",,F,F,F
java.io.CharArrayReader is also possible to write data to an ByteArrayOutputStream or CharArrayWriter,java.io.chararrayreader: class; java.io.bytearrayoutputstream: class; java.io.chararraywriter: class,"T, T, T","T, T, T","T, T, T"
protected and public fields can be called and referenced just like the methods declared directly in the subclass.,,F,F,F
The character class contains the two square brackets escaped (\\[ and \\]).,character class: class,F,F,F
"You can set the column widths using the setWidths() method, like this:",setwidths: method,T,T,T
The private constructor is also called from the static method newClock().,newclock(): method,T,T,T
The Collections min() method can find the minimum element in a List according to the natural ordering of the elements (see my Java List sorting tutorial).,collections: class; min(): method; list: class,"T, T","T, T","T, T"
"To remove an element from a SortedSet you call its remove() method, passing the element to remove as parameter.",sortedset: class; remove(): method,"T, T","T, T","T, T"
"This example returns the public method named ""doSomething"", in the given class which takes a String as parameter:",,F,F,F
"In the code example below, the main() method contains the declaration of a single integer variable named number.",main(): method,T,T,T
You can peek at the element at the head of a Queue without taking the element out of the Queue. This is done via the Queue element() or peek() methods.,queue.element(): method; queue.peek(): method,"T, T","T, T","T, T"
It is the method getDescription() that comes from the interface MyInterface.,getdescription(): method; myinterface: interface,"T, T","T, T","T, T"
"If you look at the unlock() implementation shown earlier, you will notice that it calls queueObject.notify().",unlock(): method; queueobject.notify(): method,"T, T","T, T","T, T"
The stamp is inserted into an int[] array that is passed as parameter to the get() method.,int[]: class; get(): method,F,F,F
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.",hashcode(): method; equals(): method; hashtable: class,"T, T, T","T, T, T","T, T, T"
The RionWriter methods writeFloat32() and writeFloat64() writes a 32 bit and 64 bit floating point number as a RION Float field to the destination byte array.,writefloat32(): method; writefloat64(): method,"T, T","T, T","T, T"
"Other times the nested class is visible outside its enclosing class, but can only be used in conjunction with the enclosing class.",nested class: class; enclosing class: class,F,F,F
The original stop() method would not provide any guarantees about in what state the thread was stopped.,stop(): method,T,T,T
The problem is that since the doNotify() call only calls notify() and not notifyAll() only one thread is awakened even if 4 threads are waiting on the same string instance (the empty string),notify(): method; notifyall(): method,"T, T","T, T","T, T"
Notice how a generic type is now also specified for the Iterator obtained from map.keySet().iterator().,iterator: interface; map: class; keyset: method; iterator: method,"T, T, T, T","T, T, T, T","T, T, T, T"
"The compareAndSet() method is atomic, so only a single thread can execute it at the same time.",compareandset(): method,T,T,T
"If your application contains multiple automatic modules, each automatic module can read the classes of all other automatic modules.",,F,F,F
Another way to create a ZonedDateTime object is to use the of() method which can create a ZonedDateTime object from a concrete date and time.,zoneddatetime: class; of(): method,"T, T","T, T","T, T"
There are also versions of the writeObjectBegin() and writeObjectEnd() method that does not use the internal nested field stack.,writeobjectbegin(): method; writeobjectend(): method,"T, T","T, T","T, T"
Here is an example of reading a RION Int64 field using the RionReader readInt64() method:,readint64(): method,T,T,T
The reduce() method can reduce the elements of a stream to a single value.,reduce(): method,T,T,T
By far the best book on the java.util.concurrent package in Java 5 and forward.,java.util.concurrent: package,T,T,T
"Whenever you need to work with regular expressions in Java, you start with Java's Pattern class.",pattern: class,T,T,T
The method name pollFirst() is just a bit more saying about from where the method removes elements.,pollfirst(): method,T,T,T
You can write the fully qualified class name instead of just the name of the class itself.,,F,F,F
If you want the value of a switch parsed into a long or double you can use the switchLongValue() and switchDoubleValue() methods.,switchlongvalue(): method; switchdoublevalue(): method,"T, T","T, T","T, T"
The Mem Ops ObjectPool class is capable of pooling instances of objects which can be reused.,objectpool: class,T,T,T
The AtomicInteger class contains a few methods you can use to add a value to the AtomicInteger and get its value returned.,atomicinteger: class; add: method; get: method,"T, T, T","T, T, T","T, T, T"
