Text,Entities,Label1,Label2,Final Label
"* well you miss an important piece, in that String.valueOf and Integer.toString always create a new String object, while """" + int uses String pool.","String.valueOf, Integer.toString","T, T","T, T","T, T"
"In `java.util.concurrent.FutureTask`, the mechanism of cancellation by timeout is acted as throwing `TimeoutException`.","java.util.concurrent.FutureTask, TimeoutException","T, T","T, T","T, T"
`io.Source.stdin` is defined (in `scala.io.Source` class) as `def stdin = fromInputStream(System.in)` so probably it's better to stick with the `io.Source.stdin`.,System.in,F,F,F
"You can force it to materialize using `.toStream` or `.toList` on it, depends on the use case.","toStream, toList","T, T","T, T","T, T"
"As noted briefly in other comments, `scala.Predef.readLine()` is deprecated since Scala 2.11.0, and you can replace it with `scala.io.StdIn.readLine()`.","scala.Predef.readLine, scala.io.StdIn.readLine","T, T","T, T","T, T"
"The Queue interface extends java.util.Collection with additional insertion, extraction, and inspection operations like:",java.util.Collection,T,T,T
"Note, `IdentityHashMap` `entrySet` iterator currently has a peculiar implementation which returns the same `Map.Entry` instance for every item in the `entrySet`!","IdentityHashMap, entrySet, Map.Entry","T, T, T","T, T, F","T, T, T"
Using `entrySet` with EC `Map` implementations results in `Map.Entry` objects being generated dynamically.,"entrySet, Map, Map.Entry","T, T, T","T, T, T","T, T, T"
The `forEachKeyValue` method is able to avoid creating the `Map.Entry` objects because it can navigate the internal structure of the `Map` implementations directly.,"Map, Map.Entry","T, T","T, T","T, T"
"The official way to do this is to call `map.entrySet()`, which returns a set of `Map.Entry`, each of which contains a key and a value (`entry.getKey()` and `entry.getValue()`).","java.util.Map.entrySet, java.util.Map.Entry, java.util.Map.Entry.getKey, java.util.Map.Entry.getValue","F, F, F, F","F, F, F, F","F, F, F, F"
"In an idiosyncratic implementation, it might make some difference whether you use `map.keySet()`, `map.entrySet()` or something else.","keySet, entrySet","F, F","F, F","F, F"
In Java 1.8 (Java 8) this has become a lot easier by using the `forEach` method from Aggregate operations (Stream operations) that looks similar to iterators from the `Iterable` Interface.,"forEach, Stream, Iterable","T, T, T","T, T, T","T, T, T"
Date.before() and Date.after() seem to be a little awkward to use.,"Date.before, Date.after","T, T","T, T","T, T"
Supplants the old troublesome classes including `java.util.Date/.Calendar` and `SimpleDateFormat`.,"java.util.Date, java.util.Calendar, SimpleDateFormat","T, T, T","T, T, T","T, T, T"
"If getting `java.sql.Timestamp` objects through JDBC from a database, convert to java.time.Instant in a similar way.","java.sql.Timestamp, java.time.Instant","T, T","T, T","T, T"
"(B) The troublesome old classes such as `java.util.Date` and `java.util.Calendar` are now legacy, supplanted by the java.time classes.","java.util.Date, java.util.Calendar, java.time","T, T, T","T, T, F","T, T, T"
"If is required to consider inclusive endDate, *testDate.before(endDate)* returns false when testDate and endDate are the same day, we can use ""apache commons lang"" package to verify this (org.apache.commons.lang.time.DateUtils).",org.apache.commons.lang.time.DateUtils,T,T,T
"The `TreeMap.putAll` method (and the TreeMap constructor that takes a SortedMap) calls a method called `buildFromSorted` internally, which is described in the docs as: ""Linear time tree building algorithm from sorted data"", so that sounds like it does what you want.","TreeMap.putAll, TreeMap, SortedMap","T, T, T","T, T, T","T, T, T"
"Just give the `putAll` method something that implements Map, but where the map's entryset iterator (`Map.entrySet().iterator()`) returns your list of sorted values.","putAll, Map, Map.entrySet, Map.entrySet().iterator","T, F, T","T, F, T","T, F, T"
I am trying to use a `java.util.Date` as input and then creating a query with it - so I need a `java.sql.Date`.,"java.util.Date, java.sql.Date","T, T","T, T","T, T"
* Use *java.time* classes instead of legacy `java.util.Date` & `java.sql.Date` with JDBC 4.2 or later.,"java.time, java.util.Date, java.sql.Date","T, T, T","T, T, T","T, T, T"
"If you are trying to work with date-only values (no time-of-day, no time zone), use the `LocalDate` class rather than `java.util.Date`.","LocalDate, java.util.Date","T, T","T, T","T, T"
"If your JDBC driver complies with JDBC 4.2 spec, you should be able to pass a `LocalDate` via `setObject` on a `PreparedStatement` to store into a SQL DATE field.","LocalDate, PreparedStatement","T, T","T, T","T, T"
But note that `Instant` has a resolution up to nanoseconds while `java.util.Date` has only milliseconds resolution.,"java.time.Instant, java.util.Date","F, T","F, T","F, T"
"Converting `java.util.Date` to `java.sql.Date` will lose hours, minutes and seconds.","java.util.Date, java.sql.Date","T, T","T, T","T, T"
* `valueOf` returns a new or cached instance of `java.lang.Integer`,java.lang.Integer,T,T,T
The `Integer` class also provides the `valueOf(String str)` method:,"Integer, valueOf","T, T","T, T","T, T"
"Google Guava has Ints.tryParse(String), which returns `null` if the string couldn't be parsed, for example:",Ints.tryParse,T,T,T
"But the thing here is, the method `Integer.valueOf()` has the following implementation in `Integer` class:","Integer.valueOf, Integer","T, T","T, T","T, T"
"As you can see, the `Integer.valueOf()` internally calls `Integer.parseInt()` itself.","Integer.valueOf, Integer.parseInt","T, T","T, T","T, T"
You can use `Collections.list()` to convert an `Enumeration` to a `List` in one line:,"Collections.list, Enumeration, List","T, T, T","T, T, T","T, T, T"
"If you need `Set` rather than `List`, you can use `EnumSet.allOf()`.",EnumSet,F,F,F
I want to convert a `java.util.Date` object to a `String` in Java.,"java.util.Date, String","T, T","T, T","T, T"
Convert a **Date** to a **String** using `DateFormat#format` method:,"Date, DateFormat","T, T","T, T","T, T"
"These classes supplant the troublesome old date-time classes such as `java.util.Date`, `.Calendar`, & `java.text.SimpleDateFormat`.","java.util.Date, java.util.Calendar, java.text.SimpleDateFormat","T, F, T","T, F, T","T, F, T"
"In Java 8, a call like `Instant.now().atOffset(ZoneOffset.UTC).toString()` will run.","Instant, ZoneOffset","F, F","F, F","F, F"
"You can find out about this by reading the documentation of `List.add()`, which documents this to be an ""(optional operation)"".",List.add,T,T,T
"Many of the List implementation support limited support to add/remove, and `Arrays.asList(membersArray)` is one of that.","List, Arrays.asList","T, T","T, T","T, T"
You need to insert the record in `java.util.ArrayList` or use the below approach to convert into `ArrayList`.,java.util.ArrayList,T,T,T
"From the above Source you may observe that `java.util.Arrays.ArrayList` class doesn't `@Override add(index, element), set(index, element), remove(index)`.","java.util.Arrays, java.util.ArrayList","F, F","F, F","F, F"
You will also get this exception if you attempt to `add` to a `List<T>` returned by `Collections.singletonList(T o)`:,"List, Collections, singletonList","T, F, F","T, F, F","T, F, F"
"List `membersList = Arrays.asList(membersArray);` returns immutable list, what you need to do is `new ArrayList<>(Arrays.asList(membersArray));` to make it mutable.","Arrays, ArrayList","F, T","F, T","F, T"
The reason for the UnsupportedOperationException is because the Arrays.asList() method returns a fixed-size list backed by the original array.,"UnsupportedOperationException, Arrays.asList","T, T","T, T","T, T"
List.addAll throwing UnsupportedOperationException when trying to add another list,"List, UnsupportedOperationException","T, T","T, T","T, T"
just to provide more info related to FLUSH and Close method related to FileOutputStream:,FileOutputStream,T,T,T
"In Servlet you can get this header's value by `request.getContentLength()` or `reqest.getHeaders(""Content-Length"")`.","getContentLength, getHeaders","F, F","F, F","F, F"
"To do that, you can do `exception.printStackTrace()` and look at the ""Caused By:"" section instead of the top half/normal section.",printStackTrace,F,F,F
Imagine I have a cascade of `java.lang.reflect.Proxy` instances augmenting a wrapped object.,java.lang.reflect.Proxy,T,T,T
"The ""target exception"" that is provided at construction time and accessed via the getTargetException() method is now known as the cause, and may be accessed via the Throwable.getCause() method, as well as the aforementioned ""legacy method.""","Throwable, getCause","F, F","F, F","F, F"
You can compare with the original exception Class using getCause() method like this:,"Exception, getCause","T, T","T, T","T, T"
I had a `java.lang.reflect.InvocationTargetException` error from a statement calling a logger object in an external `class` inside a `try` / `catch` block in my `class`.,"java.lang.reflect.InvocationTargetException, class, try, catch, class","T, T, T, T, T","T, T, T, T, T","T, T, T, T, T"
I used `e.getCause().getCause()` then I found that it was because of wrong parameters I was passing.,getCause,F,F,F
"You can use a `java.util.LinkedList` - it's doubly-linked and circular, so adding to one end and taking from the other are O(1).",java.util.LinkedList,T,T,T
"If you want to implement your own model you should consider inheritance, annotation interface `com.fasterxml.jackson.annotation.JsonTypeInfo` and annotation interface `com.fasterxml.jackson.annotation.JsonSubTypes`.","com.fasterxml.jackson.annotation.JsonTypeInfo, com.fasterxml.jackson.annotation.JsonSubTypes","T, T","T, T","T, T"
"> equals(Object) method, then calling the hashCode method on each of","equals, hashCode","T, T","T, T","T, T"
"The java.time API introduced with Java-8 (March 2014) supplants the error-prone and outdated `java.util` and their formatting API, `SimpleDateFormat`.","java.time, java.util, SimpleDateFormat","T, T, T","T, T, T","T, T, T"
"You can then use `Collections.sort(List)` or just switch from your `List` to a `SortedSet` implementation like `TreeSet` (if you don't need duplicates, a `Set` drops duplicates)","Collections.sort, List, SortedSet, TreeSet, Set","T, T, T, T","T, T, T, T","T, T, T, T"
"Write a `java.util.Comparator` to define an **imposed ordering** and call `Collections.sort(List, Comparator)` or (losing duplicates again) go for a `new TreeSet(Comparator)`.","java.util.Comparator, Collections.sort, TreeSet","T, T, T","T, T, T","T, T, T"
You can call `Collections.sort()` providing a `Comparator` which compares the `getCountry()`.,"Collections.sort, Comparator","T, T","T, T","T, T"
What's the difference between Thread start() and Runnable run(),"Thread, Runnable","T, T","T, T","T, T"
`Thread.start()` is required to actually create a new thread so that the runnable's `run` method is executed in parallel.,"Thread.start, Runnable.run","T, F","T, F","T, F"
"The difference is that `Thread.start()` starts a thread that calls the `run()` method, while `Runnable.run()` just calls the `run()` method on the current thread.","Thread.start, Runnable.run","T, T","T, T","T, T"
"`Thread.start()` calls the `run()` method asynchronously, which changes the state of the new Thread to Runnable.","Thread.start, Thread.run","T, F","T, F","T, F"
"Most of these answers miss the big picture, which is that, as far as the Java language is concerned, there is no more difference between `t.start()` and `r.run()` than there is between any other two methods.","Thread.start, Runnable.run","F, F","F, F","F, F"
"The biggest difference is that most of the code for `t.start()` is *native* code while, in most cases, the code for `r.run()` is going to be pure Java.","start, run","T, T","T, T","T, T"
`Thread.start()` code registers the Thread with the scheduler and the scheduler calls the `run()` method.,"Thread.start, Thread.run","T, T","T, T","T, T"
Need some clarification on Java threads: start() and run(),"Thread.start, Thread.run","F, F","F, F","F, F"
See the javadoc of List or Set and check the size before using the above methods by invoking `isEmpty()`,"List, Set, isEmpty","T, T, T","T, T, T","T, T, T"
"It better shows your intent and is possibly more efficient (e.g., LinkedList size() is O(n)).","LinkedList, size","T, T","T, T","T, T"
Always use `List.iterator().next()` or `Set.iterator().next()` to avoid O(N) for Linked data structures.,"List, Set, Iterator","F, F, F","F, F, F","F, F, F"
"Verify by using `Set.isEmpty()` or `List.isEmpty()` for the same reason, as both cases will always be O(1) instead of a potential O(N) if an implementation of Linked data structure is passed like `LinkedList` or `LinkedHashSet`.","Set.isEmpty, List.isEmpty, LinkedList, LinkedHashSet","T, T, T, T","T, T, T, T","T, T, T, T"
"This may have meaning for LinkedHashSet and TreeSet, but not for HashSet.)","LinkedHashSet, TreeSet, HashSet","T, T, T","T, T, T","T, T, T"
Use a HashMap unless you have some need for ordering. HashMap is faster.,HashMap,T,T,T
"ArrayDeque is better than LinkedList, because ArrayDeque doesn't have the overhead of node allocations that LinkedList doesï¿?
It's more efficient than using StringWriter
Have Country implement the java.util.Comparable interface to define a natural ordering on your Country objects","ArrayDeque, LinkedList, StringWriter, java.util.Comparable","T, T, T, T","T, T, T, T","T, T, T, T"
"In this case I would use DataInputStream and DataOutputStream, and the readUTF()/writeUTF() methods for the messages and filenames ","DataInputStream, DataOutputStream, readUTF, writeUTF","T, T, T, T","T, T, T, T","T, T, T, T"
Basically you need to implement the UIKeyboardInteractive interface (together with the UserInfo interface) and associate the implementation with the session using the Session.setUserInfo,"UIKeyboardInteractive, UserInfo, Session","T, T, F","T, T, F","T, T, F"
"Also, JSON Object with type latlng contains list of objects which are represented in JSON in form of array.","JSONObject, JSONArray","F, F","F, F","F, F"
"Use a Swing Timer and a DocumentListener, each time the Document is updated, reset the Timer ","Timer, DocumentListener, Document","T, T, T","T, T, T","T, T, T"
use a Matcher object and use Matcher.find() to find matches within the input string:,"Matcher, Matcher.find","T, T","T, T","T, T"
Basically on an ExecutorService you call shutdown() and then awaitTermination():,"ExecutorService, shutdown, awaitTermination","T, T, T","T, T, T","T, T, T"
"Once you have the count, then you compute the right values for skip and limit based on the count and the percentages you want ",count,T,T,T
"In Java, to send data via the socket, you get an OutputStream (1) from it, and write to the OutputStream (you output some data). n your case, the server has another socket (the other end of the connection) and another pair of streams. It uses its InputStream (2) to read from the network, and its OutputStream (3) to write the same data back across the network to your client, which reads it again via its InputStream (4) completing the round trip. ","OutputStream, InputStream","T, T","T, T","T, T"
"You should avoid overriding paint and instead use paintComponent You should avoid extending from JFrame and instead use something like JPanel, which actually has a paintComponent method. ","JFrame, JPanel, paintComponent","T, T, T","T, T, T","T, T, T"
Instant instead of java.util.Date LocalDate instead of java.sql.Date,"java.time.Instant, java.time.LocalDate","F, F","F, F","F, F"
"So, if you want to split on e.g. period/dot . which means ""any character"" in regex, use either backslash \ to escape the individual special character like so split(""\\."") use character class [] to represent literal character(s) like so split(""[.]""), or use Pattern#quote() to escape the entire string like so split(Pattern.quote(""."")). To test beforehand if the string contains certain character(s), just use String#contains().","split, Pattern.quote, String.contains","T, T, T","T, T, T","T, T, T"
To manipulate data you actually need executeUpdate() rather than executeQuery().,"executeUpdate, executeQuery","T, T","T, T","T, T"
"The most straight-forward looking approach will just use readLine() which is part of Predef. this is so verbose, you'd rather use java.util.Scanner instead.  ","readLine, java.util.Scanner","T, T","T, T","T, T"
"isConnectedOrConnecting() (used in most answers) checks for any network connection To know whether any of those networks have internet access, use one of the following ",isConnectedOrConnecting,T,T,T
"Indeed rather use ExecutorService instead of Timer, here's an SSCCE:  ","ExecutorService, Timer","T, T","T, T","T, T"
using Arrays.asList instead of Collections.singleton,"Arrays.asList, Collections.singleton","T, T","T, T","T, T"
"An alternative is to write your own class which implements the necessary Queue interface. It is not needed except in those rare cases where you wish to do something special while providing the rest of your program with a Queue An even less used alternative is to construct an anonymous class that implements Queue. You probably don't want to do this, but it's listed as an option for the sake of covering all the bases. ",Queue,T,T,T
"If you look at the documentation of Collectors#toList(), it states that - ""There are no guarantees on the type, mutability, serializability, or thread-safety of the List returned"". If you want a particular implementation to be returned, you can use Collectors#toCollection(Supplier) instead.  ","Collectors#toList, Collectors#toCollection","T, T","T, T","T, T"
"you'd only need to change HashSet to ArrayList, PriorityQueue, or any other class that implements Collection. it's generally better to use Collection objects (in particular List objects) rather than arrays. ","HashSet, ArrayList, PriorityQueue, Collection, List","T, T, T, T, T","T, T, T, T, T","T, T, T, T, T"
"You can use ListIterator instead of Iterator. ListIterator has previous() and hasPrevious() methods. Not directly, as others pointed out, but if you e.g. need to access one previous element you could easily save that in a separate variable ","ListIterator, Iterator","T, T","T, T","T, T"
"If you look at the Date(long) constructor, you'll see that it expects the value to be the number of milliseconds since the epoch, UTC: Regarding your desire to force GMT instead of your local time zone: ",Date,T,T,T
"readLine() won't return until it's read a carriage return or a line feed, which is what you normally get when you read from a terminal or a text file.",readLine,T,T,T
Instead of using the ChromeDriver implementation use the WebDriver interface,WebDriver,T,T,T
"You can use JOptionPane's setLocation(...) method. OR Instead of using JOptionPane you can extends a JDialog, and then specify it's location on the screen.","JOptionPane, JDialog","T, T","T, T","T, T"
"use this overload rather than the List<T>.toArray() overload, you can choose the actual type of the array. ","List, toArray","F, F","F, F","F, F"
use a javax.swing.Timer to perform the animation rather than Thread sleeps,javax.swing.Timer,T,T,T
"In general, it's not at all safe to compare the hashCode instead of using equals  ","hashCode, equals","T, T","T, T","T, T"
" it will initialize an immutable List rather than an ArrayList, and furthermore, it's not available yet, if it ever will be ","List, ArrayList","T, T","T, T","T, T"
"If you are working with a source other than a file, you can use the lines() method in BufferedReader instead.",BufferedReader,T,T,T
"Also, if the right-hand side of the for (:) idiom is an array rather than an Iterable object, the internal code uses an index counter and checks against array.length instead. See the Java Language Specification.  ","Iterable, array, index, length","T, T, T, T","T, T, T, T","T, T, T, T"
To overwrite file foo.log with FileOutputStream or with FileWriter :,"FileOutputStream, FileWriter","T, T","T, T","T, T"
"you can use Comparable, or custom Comparator to do this. ","Comparable, Comparator","T, T","T, T","T, T"
Thread.sleep or using java.nio Channel operations using standard InputStream/OutputStream which are not interruptable,"Thread.sleep, java.nio.channels.Channel, java.io.InputStream, java.io.OutputStream","T, F, F, F","T, F, F, F","T, F, F, F"
"If you a resource is needed for you application and is packaged in the jar, it should be read from an URL, either via getClass().getResource() which returns an actual URL to a resource, or getClass().getResourceAsStream() which return the resource as a stream in the form of InputStream, obtained from the URL. You can also getClassLoader(), but here are the main differences ","URL, InputStream","T, T","T, T","T, T"
"The subclasses DecimalFormat and ChoiceFormat have a method toPattern(), so you must check using instanceof and call toPattern() ","DecimalFormat, ChoiceFormat","T, T","T, T","T, T"
"In Servlet you can get this header's value by request.getContentLength() or reqest.getHeaders(""Content-Length"") ","HttpServletRequest.getContentLength, HttpServletRequest.getHeaders","F, F","F, F","F, F"
"If at any point you need bigger numbers, you can try java.math.BigInteger (if integer), or java.math.BigDecimal (if decimal) ","java.math.BigInteger, java.math.BigDecimal","T, T","T, T","T, T"
Use scheduler.pauseJob() or scheduler.pauseTrigger(). Use the pauseJob or pauseJobGroup methods of JobStore,,,,
A nice way to do this is using Apache commons IOUtils to copy the InputStream into a StringWriter or use ByteArrayOutputStream if you don't want to mix your Streams and Writers,"InputStream, StringWriter, ByteArrayOutputStream","T, T, T","T, T, T","T, T, T"
Normal ways would be Integer.toString(i) or String.valueOf(i).,"Integer.toString, String.valueOf","T, T","T, T","T, T"
"use the getters of java.time.LocalDateTime Or, when you're not on Java 8 yet, make use of java.util.Calendar. ","java.time.LocalDateTime, java.util.Calendar","T, T","T, T","T, T"
You might want to check for next element before getting it in Scanner with scanInput.hasNextInt(). If you use the above Scanner coord = new Scanner(System.in); and then call the function with Scanner scanInput = new Scanner(System.in);,"Scanner, System","T, F","T, F","T, F"
The TreeMap.putAll method (and the TreeMap constructor that takes a SortedMap) calls a method called buildFromSorted internally,"TreeMap.putAll, TreeMap, SortedMap","T, T, T","T, T, T","T, T, T"
"r1 and r2 are just two different objects of classes that implement the Runnable interface and thus implement the run() method. When you call r1.run() you are executing it in the current thread. t1 and t2 are objects of the class Thread. When you call t1.start(), it starts a new thread and calls the run() method of r1 internally to execute it within that new thread.","Runnable, Thread","T, T","T, T","T, T"
The cast ensures that the internal class used by Java to implement the lambda will implements Serializable,Serializable,T,T,T
"If you properly override the equals method, you can then just use the remove method ","equals, remove","T, T","T, T","T, T"
It seems there is space at end. Do a trim() before passing to Integer.parseInt(str);,"String.trim, Integer.parseInt","T, T","T, T","T, T"
wait() suspend the current thread until another thread calls notify() to wake up.,"wait, notify","T, T","T, T","T, T"
"Typically anything that needs to be done after a SwingWorker completes its background work is done by overriding the done() method in it This method is called on the Swing event thread after completion, allowing you to update the GUI or print something out or whatever","SwingWorker, done","T, T","T, T","T, T"
Put a Scanner.nextLine call after each Scanner.nextInt to consume rest of that line including newline,"Scanner, nextLine, nextInt","T, T, T","T, T, T","T, T, T"
"the difference is in the contract, that when element can not be added to collection the add method throws an exception and offer doesn't.",Collection,F,F,F
"In TreeMap - Elements are sorted
In HashMap - Elements are not sorted       ","TreeMap, HashMap","T, F","T, F","T, F"
"sleep() causes the thread to definitely stop executing for a given amount of time; if no other thread or process needs to be run, the CPU will be idle (and probably enter a power saving mode).
yield() basically means that the thread is not doing anything particularly important and if any other threads or processes need to be run, they should. Otherwise, the current thread will continue","Thread.sleep, Thread.yield","F, F","F, F","F, F"
"Servlets can render complete web pages, whereas portlets renders html fragments. These fragments are aggregated by the portal into a complete web page. The content type of JSR 168 portlets can be only cHTML, XHTML, WML. It does not support other content types. Portlets are not allowed to generate HTML code that contains tags such as body, frame, frameset, head, html, or title A Portlet unlike a servlet doesnâ€™t have URL attached to it so it cannot be accessed directly. Access is only through the portal page which holds the portlet. Portlets can be provided with controls to manipulate its window states or portlet modes. Multiple instances of a single portlet can be placed onto the same page. Portlets support persistent configuration and customization, profile information. Portlets can have two types of request viz. render request and action request.","Servlet, Portlet","T, T","T, T","T, T"
"The difference is that using new Long() you will always create a new object, while using Long.valueOf(), may return you the cached value of long if the value is between [-128 to 127] If you see the source code for Long.valueOf(String), it internally invokes Long.valueOf(long), whose source code I have posted below: -      ","Long, Long.valueOf, Long.valueOf(), Long.valueOf()","T, T, T, T","T, T, T, T","T, T, T, T"
Comparable and Comparator are generic interfaces that allow to compare instances of the type defined in the generic (subclasses included). The main difference between them is that Comparable is directly implemented in the class which you want to compare objects.,"Comparable, Comparator","T, T","T, T","T, T"
